Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Ch	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	Counter	Count
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	49	0	49	49	49	774.666687	710	774.5	709.5	0	774	710	1	1	1.128379167	1.128379167	0	0	0	49	49	NaN	NaN	100	49	1	774	789	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	49	0	49	49	49	779	705.333313	779.5	705.5	0	779	706	1	1	1.128379167	1.128379167	0	0	0	49	49	NaN	NaN	100	49	1	779	793	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	54	0	54	54	54	786.333313	700.333313	786.5	700.5	0	786	701	1	1	1.128379167	1.128379167	0	0	0	54	54	NaN	NaN	100	54	1	786	798	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	51	0	51	51	51	793.666687	699.666687	793.5	699.5	0	793	700	1	1	1.128379167	1.128379167	0	0	0	51	51	NaN	NaN	100	51	1	793	799	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	63	0	63	63	63	802	706	802.5	705.5	0	802	706	1	1	1.128379167	1.128379167	0	0	0	63	63	NaN	NaN	100	63	1	802	793	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	130	0	130	130	130	778.666687	710	778.5	709.5	0	778	710	1	1	1.128379167	1.128379167	0	0	0	130	130	NaN	NaN	100	130	2	778	789	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	64	0	64	64	64	783.333313	707.666687	783.5	707.5	0	783	708	1	1	1.128379167	1.128379167	0	0	0	64	64	NaN	NaN	100	64	2	783	791	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	126	0	126	126	126	784.333313	705	784.5	704.5	0	784	705	1	1	1.128379167	1.128379167	0	0	0	126	126	NaN	NaN	100	126	2	784	794	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	96	0	96	96	96	785.333313	704.666687	785.5	704.5	0	785	705	1	1	1.128379167	1.128379167	0	0	0	96	96	NaN	NaN	100	96	2	785	794	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	65	0	65	65	65	789.333313	704.333313	789.5	704.5	0	789	705	1	1	1.128379167	1.128379167	0	0	0	65	65	NaN	NaN	100	65	2	789	794	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	39	0	39	39	39	790	704.333313	790.5	704.5	0	790	705	1	1	1.128379167	1.128379167	0	0	0	39	39	NaN	NaN	100	39	2	790	794	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	82	0	82	82	82	792.666687	704.666687	792.5	704.5	0	792	705	1	1	1.128379167	1.128379167	0	0	0	82	82	NaN	NaN	100	82	2	792	794	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	57	0	57	57	57	794.333313	705	794.5	704.5	0	794	705	1	1	1.128379167	1.128379167	0	0	0	57	57	NaN	NaN	100	57	2	794	794	0	0	0	0	NaN	0	60
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	76	0	76	76	76	796.333313	706	796.5	705.5	0	796	706	1	1	1.128379167	1.128379167	0	0	0	76	76	NaN	NaN	100	76	2	796	793	0	0	0	0	NaN	0	60
