"x","y","z.1","z.2","z.3","z.4","z.5","z.6","z.7","z.8","z.9","z.10","z.11","z.12","z.13","z.14","z.15","z.16","z.17","z.18","z.19","z.20","z.21","z.22","z.23","z.24","z.25","z.26","z.27","z.28","z.29","z.30","z.31","z.32","z.33","z.34","z.35","z.36","z.37","z.38","z.39","z.40","z.41","z.42","z.43","z.44","z.45","z.46","z.47","z.48","z.49","z.50","z.51","z.52","z.53","z.54","z.55","z.56","z.57","z.58","z.59","z.60","z.61","z.62","z.63","z.64","z.65","z.66","z.67","z.68","z.69","z.70","z.71","z.72","z.73","z.74","z.75","z.76","z.77","z.78","z.79","z.80","z.81","z.82","z.83","z.84","z.85","z.86","z.87","z.88","z.89","z.90","z.91","z.92","z.93","z.94","z.95","z.96","z.97","z.98","z.99","z.100"
-1.5,-1.5,4.5214929564182e-11,6.10907035740701e-11,8.18131322524359e-11,1.08599125713513e-10,1.42884829626594e-10,1.86339034213193e-10,2.40869291604593e-10,3.08618205067873e-10,3.91947335684734e-10,4.93406391593251e-10,6.1568589079423e-10,7.61552386899405e-10,9.33766675980604e-10,1.13498720625253e-09,1.36766321692632e-09,1.63392494309504e-09,1.93548152219227e-09,2.27354098475657e-09,2.648770848924e-09,3.0613222891582e-09,3.51094552644946e-09,3.99722888648729e-09,4.5199987704076e-09,5.0799224207981e-09,5.67935962530388e-09,6.32351306853155e-09,7.02192946902335e-09,7.79040428493772e-09,8.65334077264921e-09,9.64660841014195e-09,1.08209347650902e-08,1.22458471930049e-08,1.40141545783603e-08,1.62469230287299e-08,1.90988516620159e-08,2.27638946951196e-08,2.74809042775752e-08,3.35389866721321e-08,4.12821760275395e-08,5.11129407709938e-08,6.34939554396792e-08,7.89475055457726e-08,9.80518564837465e-08,1.21433922114569e-07,1.49757626858756e-07,1.83707477601218e-07,2.23967055826266e-07,2.71192408454032e-07,3.25980653439257e-07,3.88834510980902e-07,4.60123902277108e-07,5.40046195913573e-07,6.28587090878319e-07,7.25484463782861e-07,8.30197733672772e-07,9.41885371134943e-07,1.05939306695504e-06,1.18125475903698e-06,1.30570819034866e-06,1.43072594981185e-06,1.55406206678755e-06,1.67331324166904e-06,1.78599276957717e-06,1.88961423148313e-06,1.98178117127767e-06,2.06027832816495e-06,2.12315961862612e-06,2.16882800843397e-06,2.19610270428736e-06,2.20426971870429e-06,2.19311278311297e-06,2.16292273758466e-06,2.11448482460784e-06,2.04904465818592e-06,1.96825492352723e-06,1.87410598754402e-06,1.76884448214082e-06,1.65488449938141e-06,1.53471627643952e-06,1.4108171451448e-06,1.28556910136901e-06,1.16118666410632e-06,1.03965781256975e-06,9.22699792981677e-07,8.11730559089813e-07,7.07855631062866e-07,6.11869294007214e-07,5.2426836106252e-07,4.45276228692226e-07,3.74874665231902e-07,3.12840691275358e-07,2.58786009802172e-07,2.121966913876e-07,1.72471174893437e-07,1.38955064010382e-07,1.10971644071759e-07,8.78474759503754e-08,6.89328161513839e-08,5.36169444118185e-08,4.13387407435476e-08
-1.46969696969697,-1.46969696969697,1.28300014046224e-10,1.73348124540095e-10,2.32148523295153e-10,3.08153941231879e-10,4.05438961775597e-10,5.28737904359225e-10,6.83461912195976e-10,8.75687984635313e-10,1.11211260971178e-09,1.39996322493813e-09,1.74686215237133e-09,2.16064009539271e-09,2.64909990095597e-09,3.21973619148417e-09,3.87942270843914e-09,4.63408677273353e-09,5.48839907438136e-09,6.44551690756395e-09,7.50692976253203e-09,8.67246762209478e-09,9.94054410385025e-09,1.13087184272423e-08,1.27746717175002e-08,1.43377039712433e-08,1.60008675652074e-08,1.77738607512996e-08,1.96768090992333e-08,2.17450628431532e-08,2.40351315366424e-08,2.66318616706497e-08,2.96569346720161e-08,3.32787181450167e-08,3.77234382149026e-08,4.32875513751805e-08,5.03510770639537e-08,5.93915055742619e-08,7.09977205959792e-08,8.58831759321513e-08,1.04897350391644e-07,1.29034287333561e-07,1.59436825084811e-07,1.97394965913654e-07,2.44336743023208e-07,3.01809958007666e-07,3.71453305767509e-07,4.54955706319242e-07,5.54003141379753e-07,6.702129536771e-07,8.05056397778323e-07,9.59771202422391e-07,1.13526696441654e-06,1.3320272711026e-06,1.55001345280432e-06,1.78857569743253e-06,2.04637781206247e-06,2.32134209319631e-06,2.61062048924263e-06,2.91059745572026e-06,3.21692860548382e-06,3.52461747890134e-06,3.82813058758753e-06,4.12154845210805e-06,4.39874783030735e-06,4.6536079161648e-06,4.88023118614096e-06,5.07316797709806e-06,5.22763296252143e-06,5.33970156806784e-06,5.40647508577487e-06,5.42620478864457e-06,5.39836762029144e-06,5.32368887738517e-06,5.20411050184349e-06,5.0427069075236e-06,4.84355342452396e-06,4.61155520929938e-06,4.35224663386503e-06,4.07157258159703e-06,3.77566365830166e-06,3.47061706699153e-06,3.16229385632168e-06,2.85614156100323e-06,2.55704907954731e-06,2.26923817999212e-06,1.99619349484559e-06,1.74063045730263e-06,1.5044985082259e-06,1.28901519300295e-06,1.09472554713508e-06,9.21580468061324e-07,7.69027571405604e-07,6.36108277495534e-07,5.21555485526405e-07,4.23887068374494e-07,3.41491455677729e-07,2.72702665947633e-07,2.15863212314315e-07,1.69374271199449e-07,1.31733319663388e-07,1.01560087309415e-07
-1.43939393939394,-1.43939393939394,3.52217752572404e-10,4.75886044444386e-10,6.37307132082806e-10,8.45958912096705e-10,1.11302585619302e-09,1.45150261683767e-09,1.87624029178321e-09,2.4039152691329e-09,3.05290026132168e-09,3.84301858747462e-09,4.79516647915070e-09,5.93079462972199e-09,7.27124976765092e-09,8.83698996866961e-09,1.06467038272512e-08,1.2716383388665e-08,1.50584236029487e-08,1.76808465129439e-08,2.05867757775486e-08,2.37743156825983e-08,2.72370176493108e-08,3.0965145508657e-08,3.49479775142442e-08,3.91774071612807e-08,4.36531250947231e-08,4.83896790530365e-08,5.34257155767545e-08,5.88357028349175e-08,6.474441386943e-08,7.13444078518361e-08,7.89166760966449e-08,8.78545107678627e-08,9.86904978679812e-08,1.12126322837869e-07,1.29064799207769e-07,1.50643184068509e-07,1.78266430328598e-07,2.13638554644363e-07,2.58789791882132e-07,3.16096694530738e-07,3.8829186416554e-07,4.78459629789709e-07,5.90013782526733e-07,7.26653511071121e-07,8.92294029755253e-07,1.09096911365991e-06,1.32670389601022e-06,1.60335785552895e-06,1.92443989957437e-06,2.2928997603008e-06,2.71090244305462e-06,3.17959502721076e-06,3.69887750662871e-06,4.26719132907667e-06,4.88134060255681e-06,5.53636134919537e-06,6.22545351563102e-06,6.93998857464182e-06,7.66960245211572e-06,8.40237927295136e-06,9.12512624276057e-06,9.82373418466163e-06,1.04836122405119e-05,1.10901794945428e-05,1.16293912770394e-05,1.20882741235319e-05,1.24554411942984e-05,1.27215596754052e-05,1.28797434094779e-05,1.29258476930755e-05,1.28586486039796e-05,1.26798960024194e-05,1.23942369749794e-05,1.20090143684643e-05,1.15339525788367e-05,1.0980749337162e-05,1.03625973787198e-05,9.69366323499552e-06,8.98855175663971e-06,8.2617843402069e-06,7.52731634423595e-06,6.79811514001662e-06,6.08581505917983e-06,5.40045964980224e-06,4.75033562808517e-06,4.1418971778678e-06,3.57977420086467e-06,3.06685405489197e-06,2.60442342016597e-06,2.19235527269942e-06,1.82932547791771e-06,1.51304411509544e-06,1.24048810569267e-06,1.00812380832275e-06,8.12110709513506e-07,6.48479943522852e-07,5.13283907298213e-07,4.02715532240645e-07,3.13197716192009e-07,2.41444940514436e-07
-1.40909090909091,-1.40909090909091,9.35482043948644e-10,1.26394030482494e-09,1.69266701967524e-09,2.24683348032468e-09,2.95614227208839e-09,3.85510153639011e-09,4.98314635619751e-09,6.3845535936171e-09,8.10809549044593e-09,1.02063809184944e-08,1.27348426259036e-08,1.57503453507072e-08,1.9309414215398e-08,2.34661159747617e-08,2.82696676022871e-08,3.37618969727612e-08,3.99747380739385e-08,4.69280067693115e-08,5.46277706976556e-08,6.30656961684963e-08,7.22198234472718e-08,8.20572871069291e-08,9.25395576283777e-08,1.03630831556011e-07,1.15310237347163e-07,1.27588548974768e-07,1.4053010443825e-07,1.54280604706741e-07,1.69101410657785e-07,1.85410848411682e-07,2.0383286073895e-07,2.25253084458932e-07,2.50882069536261e-07,2.82324863754101e-07,3.21655549777688e-07,3.71494529400545e-07,4.35085406166646e-07,5.16367244436425e-07,6.20036826321319e-07,7.51594361819473e-07,9.17365035979389e-07,1.12448793265933e-06,1.38086341321401e-06,1.69505011881754e-06,2.07610357330438e-06,2.53335003352598e-06,3.07609186566354e-06,3.71324434957454e-06,4.45290836946636e-06,5.30188877098081e-06,6.26517396933347e-06,7.34539828505004e-06,8.54231397203362e-06,9.85230443227794e-06,1.12679731093583e-05,1.27778434840496e-05,1.43662040261577e-05,1.60131276160854e-05,1.76946877839791e-05,1.93833843246631e-05,2.10487789041309e-05,2.26583279064525e-05,2.41783859213141e-05,2.55753400280488e-05,2.68168235270245e-05,2.78729490793073e-05,2.87174962455963e-05,2.93289877983505e-05,2.96915931984883e-05,2.97958061643984e-05,2.96388557971053e-05,2.92248263747884e-05,2.85644785145212e-05,2.76747825577212e-05,2.65781923521121e-05,2.53017027404675e-05,2.38757458940098e-05,2.23329893234221e-05,2.07071015177731e-05,1.90315496618256e-05,1.73384881177296e-05,1.56577870195454e-05,1.40162383650084e-05,1.24369634957912e-05,1.09390319716202e-05,9.53728863361123e-06,8.24237402844776e-06,7.06091401320892e-06,5.9958477044076e-06,5.04685912804722e-06,4.21087687401786e-06,3.48260745275983e-06,2.85507143660226e-06,2.32011629388355e-06,1.86888551371001e-06,1.49222962225377e-06,1.18105052688699e-06,9.26575910442191e-07,7.20564866711803e-07,5.55449467553773e-07
-1.37878787878788,-1.37878787878788,2.40380562748078e-09,3.24780479374746e-09,4.34944817794455e-09,5.77341172259676e-09,7.59601196868299e-09,9.90590876121496e-09,1.28044138256937e-08,1.64052665371146e-08,2.08337351693612e-08,2.62249104806389e-08,3.27210818838237e-08,4.0468127587856e-08,4.9610911265287e-08,6.02877603346115e-08,7.26242049408648e-08,8.67262808402774e-08,1.02673840810371e-07,1.2051447366125e-07,1.40258791974565e-07,1.6187801307085e-07,1.85304915722154e-07,2.10439401088978e-07,2.37160013806065e-07,2.65342881821776e-07,2.94889605074748e-07,3.25765655901571e-07,3.5805083842811e-07,3.92003276399509e-07,4.28138239620457e-07,4.6732285202119e-07,5.10887315199319e-07,5.60752688816557e-07,6.19574447413332e-07,6.90899935956082e-07,7.79336434837159e-07,8.90724797035188e-07,1.03231154210472e-06,1.21290993100505e-06,1.44303800288666e-06,1.7350189925774e-06,2.10302719524438e-06,2.56306049622682e-06,3.13281978497746e-06,3.83147569714727e-06,4.67930494799822e-06,5.69718225477197e-06,6.90591971715686e-06,8.32545360277053e-06,9.97388863607049e-06,1.18664217422194e-05,1.40141801216825e-05,1.64230216449388e-05,1.90923577646035e-05,2.20140692071503e-05,2.51715913505709e-05,2.85392482259747e-05,3.20819105343709e-05,3.5755043343127e-05,3.95051931029257e-05,4.32709417576017e-05,4.69843290604966e-05,5.0572714389667e-05,5.3961018475604e-05,5.70742559426128e-05,5.98402439501021e-05,6.21923528999522e-05,6.40721541656025e-05,6.5431818503764e-05,6.62361278526726e-05,6.64639823368313e-05,6.61093123227274e-05,6.51813403201146e-05,6.37041767676763e-05,6.17157742417198e-05,5.92663032232737e-05,5.64160462739726e-05,5.32329337861908e-05,4.97898615591647e-05,4.61619373241219e-05,4.24237999168513e-05,3.86471418684267e-05,3.48985453017601e-05,3.12377142982766e-05,2.77161567846444e-05,2.43763380186018e-05,2.1251298307162e-05,1.83647016969825e-05,1.5731261560602e-05,1.33574742037915e-05,1.12425831772416e-05,9.37969467148115e-06,7.75696752346733e-06,6.35880894247435e-06,5.16701784692638e-06,4.16183040527837e-06,3.32283576532047e-06,2.62974296610466e-06,2.0629918054219e-06,1.60421038814036e-06,1.23652986874739e-06
-1.34848484848485,-1.34848484848485,5.97589473531861e-09,8.07408001121273e-09,1.0812762502798e-08,1.43527189725133e-08,1.88836584635985e-08,2.46259648329945e-08,3.18314566680378e-08,4.07828181725938e-08,5.17913461654658e-08,6.51926782909714e-08,8.1340223722778e-08,1.00596117045595e-07,1.23319663970813e-07,1.4985344695211e-07,1.80507509296483e-07,2.15542334012551e-07,2.55151670542204e-07,2.99446627183768e-07,3.4844282491554e-07,4.02052782896139e-07,4.60086059705607e-07,5.22259990239054e-07,5.88224120072971e-07,6.57601632522958e-07,7.30051174754008e-07,8.05352503599684e-07,8.83519271016042e-07,9.6494202797452e-07,1.0505641075782e-06,1.14209240210632e-06,1.24224410672165e-06,1.35502918091981e-06,1.48606648237067e-06,1.64292915988367e-06,1.83551186974866e-06,2.07640865396915e-06,2.38128590076599e-06,2.76922979495587e-06,3.26304226937474e-06,3.88945403340828e-06,4.67921827020743e-06,5.6670446885105e-06,6.89133152957584e-06,8.39365367010752e-06,1.02179689247886e-05,1.24095127300074e-05,1.50133640628491e-05,1.80726828670944e-05,2.16266411363841e-05,2.5708095342399e-05,3.03410757334522e-05,3.55381962642322e-05,4.1298115188046e-05,4.76031979792775e-05,5.44175484997432e-05,6.16855786084835e-05,6.93312786591449e-05,7.72583302391497e-05,8.53511678342109e-05,9.34770488334656e-05,0.000101489133707815,0.000109230513816879,0.000116539057677102,0.000123252882888401,0.000129216205732336,0.000134285278890839,0.000138334104131492,0.000141259604187186,0.000142985957753631,0.000143467842951682,0.00014269239522532,0.000140679761178295,0.000137482214604511,0.000133181888376486,0.00012788725910536,0.000121728594151317,0.00011485262721927,0.000107416765486726,9.9583145865184e-05,9.15128504336828e-05,8.33605630283564e-05,7.52699037770861e-05,6.7369620606436e-05,5.97707517094617e-05,5.25648061176191e-05,4.58229460042861e-05,3.95960985295586e-05,3.39158801986743e-05,2.87961848689942e-05,2.42352684243262e-05,2.02181582597109e-05,1.67192226017032e-05,1.37047511133391e-05,1.11354215534386e-05,8.96855469783205e-06,7.16008863759747e-06,5.66623163734899e-06,4.4447781351558e-06,3.45609391426433e-06,2.66379325004271e-06
-1.31818181818182,-1.31818181818182,1.43729621084481e-08,1.94194085109145e-08,2.60063304047419e-08,3.45204033103719e-08,4.54178760372946e-08,5.92287525440024e-08,7.65586045819112e-08,9.80871784727591e-08,1.24562937178385e-07,1.56792724012964e-07,1.95625865342009e-07,2.41932262703223e-07,2.96574372114899e-07,3.60373435886619e-07,4.34070918078456e-07,5.18286787808589e-07,6.13477074284291e-07,7.19893954142765e-07,8.37552488450255e-07,9.66208961627722e-07,1.1053565439434e-06,1.25424466070537e-06,1.41192896656558e-06,1.57735915939806e-06,1.74951199669759e-06,1.927576771586e-06,2.11120013443399e-06,2.30079646699654e-06,2.49792896514095e-06,2.70576507081481e-06,2.92960778626891e-06,3.17750154154587e-06,3.46090748153979e-06,3.79543809610485e-06,4.20163486433752e-06,4.70576491789654e-06,5.34060366342161e-06,6.14616003376366e-06,7.17028998846349e-06,8.46913276081064e-06,1.01072941584585e-05,1.21576932651482e-05,1.47009846998722e-05,1.78244698414255e-05,2.16204187802598e-05,2.61837416623341e-05,3.16089745444349e-05,3.79865812060553e-05,4.53986179705056e-05,5.39138618087795e-05,6.35825599993641e-05,7.44310184269387e-05,8.64563002917247e-05,9.96213519966915e-05,0.00011385090252911,0.000129028491394143,0.000144994963751852,0.00016154872716381,0.000178447991769476,0.000195415116852825,0.000212143066409488,0.000228303841848679,0.000243558620873086,0.000257569198809135,0.000270010213618088,0.00028058154929367,0.000289020263393396,0.000295111379351231,0.000298696925726365,0.000299682691403063,0.000298042292661536,0.000293818306000172,0.000287120397705868,0.000278120563725488,0.000267045767149448,0.00025416841217258,0.00023979521143541,0.000224255079979861,0.000207886719293035,0.000191026538759713,0.00017399750293043,0.000157099398362689,0.000140600892975467,0.000124733624929463,0.000109688418431645,9.56135912821509e-05,8.26152025433338e-05,7.07589952521443e-05,6.00737228147844e-05,5.05555101030234e-05,4.21728902922079e-05,3.48721730302032e-05,2.85828339674025e-05,2.32226644791945e-05,1.87024777696203e-05,1.49302279313603e-05,1.18144571362666e-05,9.26703912863961e-06,7.20523192468131e-06,5.55308757950988e-06
-1.28787878787879,-1.28787878787879,3.344486628775e-08,4.51875558558459e-08,6.05147822419188e-08,8.03262765175521e-08,1.05683634948561e-07,1.37820031286359e-07,1.78144404178504e-07,2.28238165845464e-07,2.8984242271952e-07,3.64833798212648e-07,4.55187244234384e-07,5.62924758343561e-07,6.90049714302336e-07,8.38467577348349e-07,1.00989510484366e-06,1.20576169946383e-06,1.42710833439054e-06,1.67449133533397e-06,1.94790019240757e-06,2.24670038432057e-06,2.56961382283485e-06,2.9147508663247e-06,3.27970881869868e-06,3.66175235120833e-06,4.05809130340913e-06,4.46627079030408e-06,4.88468741963283e-06,5.31324364356798e-06,5.75414973334372e-06,6.21287941832205e-06,6.69928064762844e-06,7.22883691488093e-06,7.82406677791637e-06,8.51603922601088e-06,9.34597005517284e-06,1.03668491901304e-05,1.16450309533119e-05,1.32616989898829e-05,1.53140957427492e-05,1.79163844208252e-05,2.11999913157765e-05,2.53132606877501e-05,3.04202463397568e-05,3.66984667996403e-05,4.43354680726517e-05,5.35240721392067e-05,6.44562427854854e-05,7.73155736251886e-05,9.22684951233132e-05,0.000109454404709741,0.000128975040956896,0.00015088354128239,0.000175173732767859,0.000201770296204997,0.000230520502770496,0.000261188239966333,0.000293451009883995,0.000326900493039045,0.000361047123984167,0.000395328924848086,0.000429124599558544,0.000461770619699726,0.000492581751968722,0.000520874209142732,0.000545990374403007,0.000567323874569245,0.000584343679535483,0.000596615895638111,0.000603822005326234,0.000605772481750766,0.000602414963954704,0.00059383649801389,0.000580259707658589,0.000562033126860234,0.000539616277819098,0.000513560383664638,0.000484485843156878,0.000453057748253161,0.00041996078578068,0.000385874831085661,0.000351452421814009,0.000317299108162927,0.00028395743139889,0.000251895007530437,0.000221496910843234,0.000193062284198878,0.000166804867948895,0.000142856950802404,0.000121276112450665,0.000102054052156499,8.51267777584129e-05,7.03854592996408e-05,5.76873213795807e-05,4.68660471494797e-05,3.77412829035284e-05,3.01269542868499e-05,2.38382235313966e-05,1.86970241477271e-05,1.45361997752009e-05,1.1202344397628e-05
-1.25757575757576,-1.25757575757576,7.52926593635037e-08,1.01728292649045e-07,1.3623352751654e-07,1.80833812847549e-07,2.37918943838024e-07,3.10264890450427e-07,4.01043164726606e-07,5.13813314585505e-07,6.52493999420061e-07,8.21308315602238e-07,1.02469969102126e-06,1.26721583779088e-06,1.553359998805e-06,1.88741107034631e-06,2.27321710937747e-06,2.71397017034456e-06,3.21197423995256e-06,3.76842207809324e-06,4.38320081765203e-06,5.05474998858127e-06,5.77999896872071e-06,6.55441349470806e-06,7.37218259153745e-06,8.22657794339914e-06,9.11051722326789e-06,1.00173611550085e-05,1.09419710472097e-05,1.18820491432192e-05,1.28397782485884e-05,1.38237694949839e-05,1.48513174122969e-05,1.59509491928307e-05,1.71652394988959e-05,1.85538426791138e-05,2.01966701610415e-05,2.21971116376212e-05,2.46851644492023e-05,2.7820296931408e-05,3.17938299972126e-05,3.68305794810792e-05,4.31894636182079e-05,5.11627504549471e-05,6.10736049514894e-05,7.3271601587428e-05,8.81259019357304e-05,0.000106015863647295,0.000127318951581969,0.000152395964745946,0.000181573771987853,0.000215125958539177,0.000253252013318878,0.000296055917823841,0.000343525211948947,0.000395511788232709,0.000451715781101395,0.000511673950530976,0.000574753893059971,0.00064015523669511,0.000706918688055001,0.00077394340836147,0.000840012718621087,0.000903827602745222,0.00096404692810027,0.00101933277932064,0.00106839884823746,0.00111005948305017,0.00114327680903851,0.00116720331587568,0.00118121747360628,0.00118495028540691,0.00117830118914484,0.0011614423457602,0.00113481105343942,0.00109909074812895,0.00105518173688023,0.00100416340791252,0.000947250125565013,0.000885743317316012,0.00082098237668314,0.000754296939141608,0.00068696285279317,0.000620163789345564,0.000554959961972663,0.000492264878595864,0.000432830507214411,0.000377240706426501,0.000325912315117287,0.000279102927324666,0.000236924117955471,0.000199358738027421,0.000166280860270651,0.000137477014821803,0.000112667491975576,9.15266826177088e-05,7.37016541011964e-05,5.88283981224835e-05,4.65454186167304e-05,3.65045368089371e-05,2.8378966862735e-05,2.18688531729929e-05
-1.22727272727273,-1.22727272727273,1.63989495418604e-07,2.21566930524303e-07,2.96720045783521e-07,3.93860200536064e-07,5.18192213135858e-07,6.75761835501153e-07,8.73476042898487e-07,1.11908650256617e-06,1.42112628243139e-06,1.78879030352697e-06,2.23175142660237e-06,2.75990656674073e-06,3.38305096951396e-06,4.11048380247465e-06,4.95055446411573e-06,5.91016632537434e-06,6.99426271715966e-06,8.20532847369452e-06,9.54294876015419e-06,1.10034747234754e-05,1.25798521636538e-05,1.42616744192242e-05,1.60355235619525e-05,1.78856644789104e-05,1.97951542852962e-05,2.1747424670343e-05,2.37283872139272e-05,2.57291014085575e-05,2.77490319814068e-05,2.97999058577101e-05,3.19101592079047e-05,3.41299406474527e-05,3.65366067077257e-05,3.92406089007382e-05,4.23916268357171e-05,4.61847480427122e-05,5.08664323042137e-05,5.67399274854746e-05,6.41697278447035e-05,7.35845893917023e-05,8.54785471019244e-05,0.000100409324964678,0.000118993503104114,0.00014189781885136,0.000169826042964394,0.000203500999010355,0.000243641490847764,0.000290934172731705,0.000346000734622797,0.000409361169552676,0.000481394319391438,0.000562297330566877,0.000652046055458112,0.000750358766757275,0.000856665768129434,0.00097008754500055,0.00108942397193945,0.00121315675791439,0.0013394667641642,0.00146626708724874,0.00159125189808512,0.00171196002178367,0.00182585120420862,0.00193039202130664,0.00202314753167336,0.00210187413207787,0.00216460871707495,0.00220974921398398,0.00223612188335413,0.00224303143253468,0.00223029094577951,0.00219822982062881,0.0021476792277025,0.00207993597668044,0.00199670696862547,0.00190003754386849,0.00179222791122201,0.00167574240762961,0.00155311655537315,0.00142686675509379,0.00129940700495735,0.00117297632240524,0.00104957963703248,0.000930943904140851,0.000818490143894554,0.000713321120776108,0.00061622351002992,0.00052768270272613,0.000447907909915332,0.000376864949737992,0.000314314031244705,0.000259849961468553,0.000212942463054511,0.000172974656994175,0.000139278195299053,0.000111163980495326,8.79478467423742e-05,6.89709728131531e-05,5.36151303791764e-05,4.13131309357149e-05
