"x","y","z.1","z.2","z.3","z.4","z.5","z.6","z.7","z.8","z.9","z.10","z.11","z.12","z.13","z.14","z.15","z.16","z.17","z.18","z.19","z.20","z.21","z.22","z.23","z.24","z.25","z.26","z.27","z.28","z.29","z.30","z.31","z.32","z.33","z.34","z.35","z.36","z.37","z.38","z.39","z.40","z.41","z.42","z.43","z.44","z.45","z.46","z.47","z.48","z.49","z.50","z.51","z.52","z.53","z.54","z.55","z.56","z.57","z.58","z.59","z.60","z.61","z.62","z.63","z.64","z.65","z.66","z.67","z.68","z.69","z.70","z.71","z.72","z.73","z.74","z.75","z.76","z.77","z.78","z.79","z.80","z.81","z.82","z.83","z.84","z.85","z.86","z.87","z.88","z.89","z.90","z.91","z.92","z.93","z.94","z.95","z.96","z.97","z.98","z.99","z.100"
-1.5,-1.5,1.28104260039721e-72,1.3313335802152e-70,1.22049909585826e-68,9.84597737825388e-67,6.97590079329143e-65,4.3340860262605e-63,2.35854022344347e-61,1.12319866368661e-59,4.67793975295609e-58,1.70305770055964e-56,5.41787099412658e-55,1.50571155515775e-53,3.65500854910161e-52,7.74837009332147e-51,1.43438471499643e-49,2.3185899974346e-48,3.27237773938728e-47,4.03244385811136e-46,4.33837775160155e-45,4.07504601358707e-44,3.34178386281033e-43,2.39255532621792e-42,1.49549283472141e-41,8.16121867191187e-41,3.88872799663411e-40,1.6182488077144e-39,5.88542144704141e-39,1.87465596890978e-38,5.26213646811054e-38,1.32464823562775e-37,3.1285532346619e-37,7.59431331402731e-37,2.098024713282e-36,6.60854407940189e-36,2.14592958725477e-35,6.54976132619785e-35,1.7942062193293e-34,4.33259424802113e-34,9.16417104293021e-34,1.69421423232773e-33,2.73565725027223e-33,3.85724114263193e-33,4.74890689358095e-33,5.10533071789509e-33,4.79290125759118e-33,3.9297802551835e-33,2.81456237933182e-33,1.76134293452092e-33,9.63487622148348e-34,4.60989118801267e-34,1.93106406883246e-34,7.0926439770865e-35,2.28934193685477e-35,6.51620094259154e-36,1.64383621890711e-36,3.70176984441196e-37,7.511545681598e-38,1.38864887015798e-38,2.36383854745126e-39,3.73209404682924e-40,5.47164033291145e-41,7.40993891029154e-42,9.18002521894439e-43,1.02909001957864e-43,1.03362413075516e-44,9.23006404733351e-46,7.28687129155564e-47,5.06626442563428e-48,3.09391910558746e-49,1.65669547583648e-50,7.76917854782838e-52,3.18826353696085e-53,1.14428438521091e-54,3.59036323975436e-56,9.84551967743351e-58,2.35905703161603e-59,4.9381524999952e-61,9.0294289007326e-63,1.44205479553002e-64,2.0113815660575e-66,2.45002987336445e-68,2.6061021301259e-70,2.42068536832712e-72,1.9633593240352e-74,1.39048632230697e-76,8.59870186983605e-79,4.64295492377765e-81,2.18902011962156e-83,9.01153953705815e-86,3.23924826620865e-88,1.0166916700943e-90,2.78637511973477e-93,6.66810510915124e-96,1.39343560306627e-98,2.54275211419426e-101,4.05197732654525e-104,5.63886228512192e-107,6.85323937431455e-110,7.27448006294931e-113,6.74427551063354e-116
-1.46969696969697,-1.46969696969697,4.93780167822286e-70,5.03165439938027e-68,4.54196087708069e-66,3.62076036342955e-64,2.54236437154042e-62,1.56900066837025e-60,8.49606311948622e-59,4.03137577222019e-57,1.67455830628927e-55,6.08469056632848e-54,1.93299877526851e-52,5.36668716045371e-51,1.30177608921911e-49,2.75822608701101e-48,5.10411593349304e-47,8.24822014444164e-46,1.16389636610349e-44,1.43402831121765e-43,1.54266805442018e-42,1.4489243624857e-41,1.18814210501e-40,8.50618349364744e-40,5.31670862900193e-39,2.90133511651459e-38,1.38236612618308e-37,5.75165958632656e-37,2.09090511420899e-36,6.6514995736299e-36,1.8600680562719e-35,4.63278795209748e-35,1.06428618304792e-34,2.43716366706428e-34,6.20176036575675e-34,1.82428941095404e-33,5.71366908629434e-33,1.71859581054581e-32,4.68299733901467e-32,1.12874838549236e-31,2.38594979507867e-31,4.40998401819437e-31,7.12029921512163e-31,1.00395024998882e-30,1.23608971241918e-30,1.32900078591143e-30,1.24789212980132e-30,1.02345821468767e-30,7.33337103129377e-31,4.59227854161587e-31,2.51462286126825e-31,1.20500144794134e-31,5.05951046626657e-32,1.86490084537251e-32,6.05164830786777e-33,1.73626571444804e-33,4.4315206787873e-34,1.01463801625364e-34,2.10561145251674e-35,4.0042927340334e-36,7.04172593093794e-37,1.14977208115381e-37,1.73885203643079e-38,2.41649513355365e-39,3.05342290154049e-40,3.47165186727994e-41,3.52098187159457e-42,3.1647575645184e-43,2.50939763633772e-44,1.74979751195354e-45,1.07072227544375e-46,5.74138685515505e-48,2.69516046082572e-49,1.10684331695459e-50,3.97477308359719e-52,1.24770301153686e-53,3.4227083664638e-55,8.20357078246986e-57,1.71768979440918e-58,3.14155341528359e-60,5.01836682840435e-62,7.00112208240832e-64,8.52974708424945e-66,9.07505922285668e-68,8.43128443477148e-70,6.84004508095712e-72,4.84549782420334e-74,2.99728589119761e-76,1.61892567153294e-78,7.63546666868431e-81,3.14454153236104e-83,1.13083021821148e-85,3.55110201886826e-88,9.73787259278195e-91,2.33191135759719e-93,4.87664687780873e-96,8.9065394386343e-99,1.42067705556774e-101,1.9792671146636e-104,2.40859933159844e-107,2.56041127347661e-110,2.37782948337503e-113
-1.43939393939394,-1.43939393939394,1.5781538045201e-67,1.56635615542322e-65,1.38373294108465e-63,1.08433151213115e-61,7.5132183347776e-60,4.59006622313974e-58,2.46672482475546e-56,1.16389741178682e-54,4.81466523672004e-53,1.7441816461888e-51,5.5287822411161e-50,1.53253764038292e-48,3.71312496533937e-47,7.86087182734656e-46,1.45378385252174e-44,2.34828594507346e-43,3.31260131323369e-42,4.08051257035252e-41,4.38893360926595e-40,4.12174836411462e-39,3.37961689559611e-38,2.41939629413062e-37,1.51214874211262e-36,8.25145955281368e-36,3.93125020189891e-35,1.63548855765202e-34,5.94355144794799e-34,1.88894625461101e-33,5.2677610011022e-33,1.30163566877611e-32,2.92702575222282e-32,6.38463286708631e-32,1.50224475365169e-31,4.09570703564726e-31,1.22647115991563e-30,3.61875873573619e-30,9.7908198044342e-30,2.35399129156283e-29,4.97150855226285e-29,9.18606825548224e-29,1.48302191945374e-28,2.09102543164816e-28,2.57468156402555e-28,2.76857260382606e-28,2.6001943299237e-28,2.13331794625636e-28,1.52943846247134e-28,9.58578551297147e-29,5.25576459369166e-29,2.52350519791519e-29,1.06271323276444e-29,3.93468662321469e-30,1.28541617336799e-30,3.7247033951301e-31,9.64333238626656e-32,2.25192019435206e-32,4.79475594759975e-33,9.40322621881052e-34,1.70970924823459e-34,2.8835767017556e-35,4.48595532739674e-36,6.37550117780477e-37,8.19014159413557e-38,9.42035563607251e-39,9.62967731023893e-40,8.70125574579104e-41,6.92393301168773e-42,4.83972706087653e-43,2.96646838174061e-44,1.59257908978853e-45,7.48260610691153e-47,3.07501202178282e-48,1.10484993592872e-49,3.46968312479305e-51,9.5215291063169e-53,2.28285234586793e-54,4.78128261633635e-56,8.74703468732219e-58,1.39762827624567e-59,1.95033639299709e-61,2.37680482859358e-63,2.52946200771738e-65,2.35072826693871e-67,1.90769594347101e-69,1.35189987542278e-71,8.36580510007825e-74,4.52064879999343e-76,2.13318344971537e-78,8.79016897073397e-81,3.16313400436875e-83,9.94035238999149e-86,2.7281306519853e-88,6.53922553600856e-91,1.36901255917798e-93,2.50342700836897e-96,3.99889763872855e-99,5.58034644038314e-102,6.80366685352029e-105,7.24838945381509e-108,6.74878517144227e-111
-1.40909090909091,-1.40909090909091,4.22101532088244e-65,4.05459680623615e-63,3.48187608497128e-61,2.66501220656213e-59,1.8119289633291e-57,1.0906822666019e-55,5.79519733427522e-54,2.71109287489267e-52,1.11436537929989e-50,4.0180109891244e-49,1.26926613031805e-47,3.50948686004295e-46,8.48750023151421e-45,1.7944735217596e-43,3.31551699310985e-42,5.35183643219302e-41,7.54579433938542e-40,9.29169186981076e-39,9.99141320221091e-38,9.38142020526896e-37,7.69123948427931e-36,5.50546038639566e-35,3.44072376695252e-34,1.87741661029741e-33,8.94403904458872e-33,3.72053609763383e-32,1.35174669678679e-31,4.29303174769822e-31,1.19476902812368e-30,2.93484463593478e-30,6.49314497583964e-30,1.36156994278647e-29,2.98241208740435e-29,7.49953515905113e-29,2.127058154724e-28,6.12099561080261e-28,1.64037392072629e-27,3.93059080050892e-27,8.29135283333903e-27,1.53138918865071e-26,2.47198015497861e-26,3.48540205182738e-26,4.29190739991194e-26,4.61588777282006e-26,4.33640362263321e-26,3.55941498245019e-26,2.55366484803569e-26,1.60225565388309e-26,8.79948259508912e-27,4.23555884981246e-27,1.79044054975859e-27,6.66669241559836e-28,2.19628777095657e-28,6.44227110497779e-29,1.69680624835051e-29,4.05439344357885e-30,8.88257911176727e-31,1.79937030774756e-31,3.38163966076396e-32,5.87861090913412e-33,9.37704556867763e-34,1.35832103952487e-34,1.76894286383636e-35,2.05391980784759e-36,2.11299080279861e-37,1.91749664561136e-38,1.53029400368488e-39,1.07182072404913e-40,6.57909297461455e-42,3.53578257575961e-43,1.66258940188141e-44,6.83678841670046e-46,2.45771369697012e-47,7.72157812874693e-49,2.11976673584103e-50,5.0840450402812e-52,1.06516660716186e-53,1.94926987193354e-55,3.11559875796354e-57,4.34913256449655e-59,5.30197950919984e-61,5.64463265119961e-63,5.24793007876909e-65,4.26080405932904e-67,3.02096909770216e-69,1.87049071722645e-71,1.01140694131097e-73,4.77603054958471e-76,1.9696632063366e-78,7.09441965911703e-81,2.23183366101438e-83,6.13268977276762e-86,1.47201889008718e-88,3.08662386692588e-91,5.65462407013314e-94,9.05157402387428e-97,1.26621360197584e-99,1.54820971927904e-102,1.65497241250883e-105,1.54709411679026e-108
-1.37878787878788,-1.37878787878788,9.51251599789891e-63,8.8045379177799e-61,7.30582373269324e-59,5.42526581127779e-57,3.59557905098402e-55,2.11976121245366e-53,1.10791669111821e-51,5.11751844529483e-50,2.08330243182867e-48,7.45763487022359e-47,2.34326851960556e-45,6.4536932063168e-44,1.55632190037624e-42,3.28360648229013e-41,6.05771244337717e-40,9.76753843484538e-39,1.3760812429285e-37,1.69350428821962e-36,1.8202872238087e-35,1.70864947244882e-34,1.4005159051032e-33,1.00234776374746e-32,6.26362498898478e-32,3.41742802091639e-31,1.62794364664759e-30,6.7712476126399e-30,2.45964281097534e-29,7.80751125339702e-29,2.16959081938527e-28,5.30617658899721e-28,1.15963499786642e-27,2.35687464257655e-27,4.84821272046755e-27,1.12272314082038e-26,2.98794152040742e-26,8.32766720826701e-26,2.20363029549612e-25,5.25617272611348e-25,1.10697883666687e-24,2.04340587563226e-24,3.29788104041441e-24,4.64982415581325e-24,5.72632208734878e-24,6.15988483438473e-24,5.78902180608065e-24,4.7545243106423e-24,3.41416776953857e-24,2.14512708510791e-24,1.1805638786944e-24,5.7005865419018e-25,2.42123634426111e-25,9.07963629690085e-26,3.02247663374646e-26,8.9981749605319e-27,2.41853792591354e-27,5.9314190024732e-28,1.34014666115334e-28,2.80580751207431e-29,5.44283524678451e-30,9.7246844787528e-31,1.58515276329218e-31,2.33311751315913e-32,3.07267376336995e-33,3.59513760299248e-34,3.71778671755047e-35,3.38575285183967e-36,2.70866456311327e-37,1.90043347637812e-38,1.16800341765651e-39,6.28315103215722e-41,2.95666183456218e-42,1.2165600654715e-43,4.37559580356326e-45,1.37533932776355e-46,3.77722685766621e-48,9.06288527050218e-50,1.89951932548222e-51,3.47751797416349e-53,5.56053992989365e-55,7.76546111410238e-57,9.47124767337787e-59,1.00885572801821e-60,9.38490386739895e-63,7.62448872787208e-65,5.40974761857219e-67,3.35226068646709e-69,1.81428734309898e-71,8.57627891748943e-74,3.54109528652609e-76,1.27716900087793e-78,4.02404490628786e-81,1.10769233093181e-83,2.66417988356919e-86,5.59953916832567e-89,1.02861952317992e-91,1.65180131512905e-94,2.31938033152189e-97,2.84865964414893e-100,3.06162973723199e-103,2.88112198294802e-106
-1.34848484848485,-1.34848484848485,1.81014553909739e-60,1.61296579469111e-58,1.2887497776001e-56,9.23456092487985e-55,5.92697977473657e-53,3.3992560103249e-51,1.73665601163509e-49,7.87684295293799e-48,3.16136732381684e-46,1.11946415479128e-44,3.48888101536463e-43,9.550752799059e-42,2.29291285053949e-40,4.82190175160609e-39,8.87443742726361e-38,1.42845280447524e-36,2.00992911087509e-35,2.47132410932832e-34,2.65460234118254e-33,2.49062211927544e-32,2.04077620916554e-31,1.46022364978999e-30,9.12325140621191e-30,4.97698495300749e-29,2.37061379853415e-28,9.85924666712376e-28,3.58074057549911e-27,1.13615729507841e-26,3.15368075169488e-26,7.68808558966473e-26,1.66481453447756e-25,3.30236598963275e-25,6.44093962246968e-25,1.37655227636793e-24,3.40909109321637e-24,9.12787543471967e-24,2.37533437594531e-23,5.63104199961433e-23,1.18335642398175e-22,2.18273138091845e-22,3.52187347317679e-22,4.9655245718649e-22,6.11584896062542e-22,6.58066843940108e-22,6.18732916239808e-22,5.08541269801422e-22,3.65596772308217e-22,2.30108397805546e-22,1.26976714707435e-22,6.15593573757678e-23,2.6303371973068e-23,9.95122136199808e-24,3.35506457726479e-24,1.0166980609657e-24,2.79742674871351e-25,7.06069455195161e-26,1.6474741510458e-26,3.56302505969291e-27,7.11804278012099e-28,1.30292106186685e-28,2.16322550967317e-29,3.22630374371538e-30,4.28809185380333e-31,5.04867723733283e-32,5.24320888292606e-33,4.78900148712026e-34,3.83924664303183e-35,2.69773080712075e-36,1.65990644541116e-37,8.93724358923904e-39,4.20865364472202e-40,1.73277967768251e-41,6.23569231785729e-43,1.96099493801785e-44,5.38827034336325e-46,1.29345223069339e-47,2.71231036077816e-49,4.96805694552591e-51,7.94823527746817e-53,1.11065156023542e-54,1.3555020517543e-56,1.44489270276173e-58,1.34520055061414e-60,1.093861369402e-62,7.7691566398343e-65,4.81991266932133e-67,2.61204468613115e-69,1.23659130772056e-71,5.11458351943102e-74,1.84830937571193e-76,5.83673910076358e-79,1.61086639963085e-81,3.88615143421123e-84,8.19687081050261e-87,1.51205962859515e-89,2.4403037985231e-92,3.44736227738074e-95,4.26564824434713e-98,4.6272973785487e-101,4.40599826670854e-104
-1.31818181818182,-1.31818181818182,2.8988882976991e-58,2.49425114791121e-56,1.91951201626723e-54,1.32392303020151e-52,8.19001831741592e-51,4.54119157074383e-49,2.25253531114777e-47,9.96653547056569e-46,3.92051081637639e-44,1.36649110689818e-42,4.20719141683452e-41,1.14114511635132e-39,2.72083524642225e-38,5.69277299136718e-37,1.04381925272398e-35,1.67558839987477e-34,2.35300178499824e-33,2.88900275793185e-32,3.10003751248987e-31,2.90636263136321e-30,2.38014015589945e-29,1.70238277186342e-28,1.06332302938204e-27,5.79953061506928e-27,2.76197645492456e-26,1.1485357422594e-25,4.17063165770579e-25,1.32289942185719e-24,3.66894189441209e-24,8.92281420213397e-24,1.91899616726114e-23,3.736279106663e-23,6.97516717753653e-23,1.3832637412485e-22,3.16819254018106e-22,8.07652876237474e-22,2.05642359370568e-21,4.83514017240296e-21,1.01312866088869e-20,1.86682364611378e-20,3.01114873151715e-20,4.24529415113468e-20,5.229556635662e-20,5.62892487509699e-20,5.29557281760618e-20,4.3565539086627e-20,3.13654230486249e-20,1.97854791298259e-20,1.09546476112255e-20,5.33774774651811e-21,2.2978467206195e-21,8.7884000194434e-22,3.0089231856649e-22,9.30951745420957e-23,2.6299127954193e-23,6.84525828525559e-24,1.64998903800494e-24,3.68046381809702e-25,7.55040024737259e-26,1.41124923481014e-26,2.37946233615574e-27,3.58759696235514e-28,4.80414307226737e-29,5.68535090720187e-30,5.92535884508006e-31,5.42556756313325e-32,4.35743491654757e-33,3.0660057759769e-34,1.8885089697952e-35,1.01769010239747e-36,4.79596903858266e-38,1.9758895764641e-39,7.11491299056487e-41,2.23881110528744e-42,6.15525073535444e-44,1.47845813028921e-45,3.10222976731806e-47,5.68613567495341e-49,9.10382638317794e-51,1.27317108146518e-52,1.55526644378843e-54,1.65952346861097e-56,1.54679855607986e-58,1.25942680246139e-60,8.9582674135291e-63,5.56694149588413e-65,3.02264947268947e-67,1.4341115085248e-69,5.94645273212324e-72,2.15517198513965e-74,6.82874347708982e-77,1.89209623689078e-79,4.58594361379661e-82,9.72701085515088e-85,1.80649524072392e-87,2.93985157170145e-90,4.19647508227188e-93,5.26152371356926e-96,5.80514578265444e-99,5.65022170657992e-102
-1.28787878787879,-1.28787878787879,3.8778594690738e-56,3.24035575928165e-54,2.41141680557579e-52,1.60324172075389e-50,9.54636374952742e-49,5.09757674259221e-47,2.4408866185174e-45,1.0465576288879e-43,4.0078233392818e-42,1.36646255213e-40,4.13387509178277e-39,1.10606962218067e-37,2.60994693989088e-36,5.41835197367461e-35,9.87770532833977e-34,1.578880494523e-32,2.21030455524066e-31,2.70765642403648e-30,2.9006705868473e-29,2.71621649155281e-28,2.22250971124078e-27,1.58865230216424e-26,9.91841800991374e-26,5.40790760792374e-25,2.57485481660708e-24,1.0705219005274e-23,3.88662282529959e-23,1.23246472886869e-22,3.41591129770422e-22,8.2926503724706e-22,1.77440694285322e-21,3.40626590648698e-21,6.13982545495059e-21,1.13874588478364e-20,2.40452727218344e-20,5.78239520716513e-20,1.43162118015561e-19,3.32952627762457e-19,6.94910420792084e-19,1.27869368222935e-18,2.06157932558515e-18,2.90637421411767e-18,3.58088347008727e-18,3.85599892273089e-18,3.63033156628972e-18,2.99014338305546e-18,2.1567499927297e-18,1.36431582762841e-18,7.58587049051478e-19,3.71967293925894e-19,1.61616451901814e-19,6.26359818579339e-20,2.1839841568405e-20,6.91998705045584e-21,2.01208517981744e-21,5.4067661489055e-22,1.34532082720042e-22,3.08776078274711e-23,6.48422064962321e-24,1.23367135325384e-24,2.10682567256741e-25,3.20502316711484e-26,4.31834025129424e-27,5.13224670094065e-28,5.364950486801e-29,4.92307857025092e-30,3.96029361403024e-31,2.79010304446193e-32,1.72034906252907e-33,9.27894310387298e-35,4.37627428167769e-36,1.8043194227714e-37,6.50180070613255e-39,2.04736948792697e-40,5.63312999608427e-42,1.35411985132856e-43,2.84375884490768e-45,5.21724559122599e-47,8.36172587383268e-49,1.17073305328684e-50,1.43197594909172e-52,1.53018955267799e-54,1.42859613107361e-56,1.16535759300506e-58,8.30680013501445e-61,5.17466569442486e-63,2.81751281561173e-65,1.341098198179e-67,5.58163850785474e-70,2.03184446416952e-72,6.47147295519383e-75,1.80428242401728e-77,4.40622557712394e-80,9.43312281586678e-83,1.77241524348884e-85,2.92729075920843e-88,4.25848160981575e-91,5.47162389220948e-94,6.23108719713368e-97,6.31600314106848e-100
-1.25757575757576,-1.25757575757576,4.29313962083705e-54,3.50744144941148e-52,2.5398206022375e-50,1.63560120077335e-48,9.39828054842802e-47,4.83207563941698e-45,2.22707104217678e-43,9.20622370500906e-42,3.41030028291978e-40,1.12965293611662e-38,3.33616283551964e-37,8.75468310304585e-36,2.03458377317025e-34,4.1747888847221e-33,7.54382571737945e-32,1.1979239530472e-30,1.6688762078948e-29,2.03713769465497e-28,2.17669950932482e-27,2.03444491826852e-26,1.66238763143986e-25,1.18710424400856e-24,7.4061572783749e-24,4.03604707395708e-23,1.92095456347616e-22,7.98431692498634e-22,2.89808462306683e-21,9.18737259448734e-21,2.54503746548497e-20,6.17015800872404e-20,1.31525523148039e-19,2.49811928200564e-19,4.38048132001534e-19,7.66861763817626e-19,1.49344656688566e-18,3.35865929036605e-18,8.02659640522096e-18,1.84007002050017e-17,3.82024911189468e-17,7.01650926409784e-17,1.13055261131505e-16,1.59369837263739e-16,1.96402065899542e-16,2.11605774008546e-16,1.99408524777487e-16,1.64490579939704e-16,1.18920957854818e-16,7.54934335343196e-17,4.21990920879622e-17,2.08547551784767e-17,9.16445880103767e-18,3.6086021901659e-18,1.28522885140776e-18,4.18194961988885e-19,1.25375708778638e-19,3.47841738502443e-20,8.91926970409677e-21,2.10034444944484e-21,4.50049230831567e-22,8.6909807182093e-23,1.49998869169832e-23,2.29871518892162e-24,3.11307765718121e-25,3.71314935956324e-26,3.89160110453781e-27,3.57802300044192e-28,2.88265494580916e-29,2.03340960271706e-30,1.25511804812106e-31,6.77616241155214e-33,3.19876567916866e-34,1.32000429493538e-35,4.76084403062246e-37,1.50054945495865e-38,4.13269251017125e-40,9.94499868379931e-42,2.09097779975851e-43,3.84115418295771e-45,6.16517953083462e-47,8.645983777028e-49,1.05947260622447e-50,1.13449561031096e-52,1.06168296231316e-54,8.68397223469761e-57,6.20926001067391e-59,3.88188321090955e-61,2.12242185649991e-63,1.01517841523622e-65,4.24961101695726e-68,1.55769282203447e-70,5.00318003924535e-73,1.40946122898474e-75,3.48704447059242e-78,7.58936924636369e-81,1.45643487240739e-83,2.47175985272341e-86,3.7236864661235e-89,5.00169165474896e-92,6.01928239588706e-95,6.52077792931749e-98
-1.22727272727273,-1.22727272727273,3.89896519518545e-52,3.13395411395378e-50,2.22307630986554e-48,1.39579293416952e-46,7.78260174650184e-45,3.86663867690565e-43,1.71704587621801e-41,6.83077318243178e-40,2.43715505021151e-38,7.79644480786515e-37,2.23254120555069e-35,5.70731973812935e-34,1.29832237116972e-32,2.61926106264749e-31,4.67128557674471e-30,7.34419162011847e-29,1.01553768366093e-27,1.23279174177059e-26,1.31190375271357e-25,1.22252929156297e-24,9.96797978713886e-24,7.10694973478226e-23,4.42889195275362e-22,2.41158586545275e-21,1.14711285347695e-20,4.76582256150747e-20,1.72927469837692e-19,5.48029671586601e-19,1.51740935254522e-18,3.67493941823592e-18,7.81146071078128e-18,1.47187593909959e-17,2.52654114434919e-17,4.2149129711749e-17,7.59989607616619e-17,1.58712284779537e-16,3.63104362385022e-16,8.16923958914967e-16,1.68418154556601e-15,3.0855613447509e-15,4.96761702891934e-15,7.0018059515222e-15,8.63127930535064e-15,9.30576389197329e-15,8.7797322891239e-15,7.25604506489212e-15,5.26123332130531e-15,3.35477141673959e-15,1.88765962780191e-15,9.41916659392599e-16,4.19626172407286e-16,1.68350098080926e-16,6.14220131345357e-17,2.05704288537251e-17,6.36412860467846e-18,1.82127047367479e-18,4.8009577563441e-19,1.1563234638921e-19,2.52052029820601e-20,4.92818631977297e-21,8.58031624343667e-22,1.32298578875167e-22,1.79942032694384e-23,2.15296544037404e-24,2.2616930134307e-25,2.08323220685314e-26,1.68087072943846e-27,1.18720188975755e-28,7.33651252091429e-30,3.96522230288118e-31,1.87386193703915e-32,7.74123685220153e-34,2.79524977979377e-35,8.82109815971645e-37,2.43269070452703e-38,5.86270001435302e-40,1.23467218488472e-41,2.27225448006751e-43,3.65453987037609e-45,5.1369951000575e-47,6.31144035841668e-49,6.77869715044062e-51,6.36551765777476e-53,5.2273533114567e-55,3.75497175153042e-57,2.36024810266471e-59,1.29876200737269e-61,6.26007306559378e-64,2.64514723074702e-66,9.80846947519039e-69,3.19633919217951e-71,9.17134444997784e-74,2.3229128026497e-76,5.21016706950268e-79,1.03898168685082e-81,1.85047166424237e-84,2.95769984012927e-87,4.26104470020808e-90,5.55033797689177e-93,6.54423899885166e-96
