"x"	"y"	"z.1"	"z.2"	"z.3"	"z.4"	"z.5"	"z.6"	"z.7"	"z.8"	"z.9"	"z.10"	"z.11"	"z.12"	"z.13"	"z.14"	"z.15"	"z.16"	"z.17"	"z.18"	"z.19"	"z.20"	"z.21"	"z.22"	"z.23"	"z.24"	"z.25"	"z.26"	"z.27"	"z.28"	"z.29"	"z.30"	"z.31"	"z.32"	"z.33"	"z.34"	"z.35"	"z.36"	"z.37"	"z.38"	"z.39"	"z.40"	"z.41"	"z.42"	"z.43"	"z.44"	"z.45"	"z.46"	"z.47"	"z.48"	"z.49"	"z.50"	"z.51"	"z.52"	"z.53"	"z.54"	"z.55"	"z.56"	"z.57"	"z.58"	"z.59"	"z.60"	"z.61"	"z.62"	"z.63"	"z.64"	"z.65"	"z.66"	"z.67"	"z.68"	"z.69"	"z.70"	"z.71"	"z.72"	"z.73"	"z.74"	"z.75"	"z.76"	"z.77"	"z.78"	"z.79"	"z.80"	"z.81"	"z.82"	"z.83"	"z.84"	"z.85"	"z.86"	"z.87"	"z.88"	"z.89"	"z.90"	"z.91"	"z.92"	"z.93"	"z.94"	"z.95"	"z.96"	"z.97"	"z.98"	"z.99"	"z.100"
-1.5	-1.5	6.61643115206571e-37	1.44549486157005e-36	3.11011380466003e-36	6.58796952964814e-36	1.37339247860792e-35	2.8168508139728e-35	5.68231600348525e-35	1.12707984783703e-34	2.19754118220345e-34	4.21083068152831e-34	7.9277942875575e-34	1.46624291634941e-33	2.66350035897896e-33	4.75144556941182e-33	8.32272789951469e-33	1.4312665436355e-32	2.41626545647832e-32	4.00403881391709e-32	6.51248557799415e-32	1.03958508587628e-31	1.62859086127459e-31	2.50368719292058e-31	3.77698075824551e-31	5.5909974868325e-31	8.12080653810552e-31	1.15734255504905e-30	1.61832921456912e-30	2.22026516060613e-30	2.98860123283056e-30	3.94684008971503e-30	5.11380048948658e-30	6.50048596778225e-30	8.10683814976283e-30	9.91875772871803e-30	1.19058438194358e-29	1.4020312291258e-29	1.61974891776451e-29	1.83581310886041e-29	2.04126106453744e-29	2.22667473618449e-29	2.38288025045813e-29	2.50169365399429e-29	2.57662938830362e-29	2.60348639014302e-29	2.58073816052814e-29	2.50967641531236e-29	2.39428951620515e-29	2.24089161038412e-29	2.05755046840663e-29	1.85338613576458e-29	1.63782502917196e-29	1.41989360990114e-29	1.20762327231591e-29	1.00761666508479e-29	8.24799655663712e-30	6.62357197745871e-30	5.21829489424237e-30	4.03329747541139e-30	3.05837799788764e-30	2.27524102178402e-30	1.66065141766338e-30	1.18921249134579e-30	8.35592816333534e-31	5.76134425907705e-31	3.89862779244518e-31	2.58979396792754e-31	1.68950529128462e-31	1.08313547758229e-31	6.83133497474535e-32	4.24610423509472e-32	2.60828703663746e-32	1.59035723964351e-32	9.68811067638914e-33	5.95038422089452e-33	3.72723291871949e-33	2.41011262034943e-33	1.62424270557478e-33	1.14471777336283e-33	8.40091376414378e-34	6.35564605261748e-34	4.89664727057773e-34	3.79901108456023e-34	2.94210784613688e-34	2.26026546076037e-34	1.71543661891512e-34	1.28278416390009e-34	9.43577002079916e-35	6.82029760620567e-35	4.84129236436038e-35	3.37354995112621e-35	2.30717934662685e-35	1.54840197283692e-35	1.01966555898659e-35	6.5884208571295e-36	4.17677431561917e-36	2.59793671389724e-36	1.58540043723105e-36	9.49224919587092e-37	5.57592766628395e-37	3.21352591473354e-37
-1.46969696969697	-1.46969696969697	9.43925068284033e-35	2.04624138361724e-34	4.37129645486784e-34	9.19915960860073e-34	1.90641976061677e-33	3.88929241491531e-33	7.80832346776598e-33	1.54219806712952e-32	2.99561476217575e-32	5.72101213022766e-32	1.07396090159503e-31	1.98120989587944e-31	3.59092736733661e-31	6.39343371945305e-31	1.11799403699042e-30	1.91980606310027e-30	3.23690746991997e-30	5.35806256846362e-30	8.70654151509476e-30	1.38869041480149e-29	2.1739700096054e-29	3.34011111120473e-29	5.03619266420071e-29	7.45171145682362e-29	1.08194004348864e-28	1.5414435682591e-28	2.15484182859986e-28	2.95566032414193e-28	3.97772478707631e-28	5.25227224695682e-28	6.80431629220049e-28	8.64848636729553e-28	1.07847132167062e-27	1.31942692095688e-27	1.58367623074489e-27	1.86486957556583e-27	2.15441200753581e-27	2.44177125853208e-27	2.71503356291074e-27	2.96167824874564e-27	3.1695071917529e-27	3.32763598408872e-27	3.42743584603531e-27	3.46331317245623e-27	3.4332287739717e-27	3.33888975612903e-27	3.18558892802623e-27	2.98171277681991e-27	2.73798166639151e-27	2.46651801425186e-27	2.1798548820597e-27	1.88999680638258e-27	1.60762814207339e-27	1.34153576059886e-27	1.09827840207913e-27	8.8210049016876e-28	6.950591317185e-28	5.37312972813482e-28	4.07512076376047e-28	3.03228488530171e-28	2.21375572492108e-28	1.58577544743209e-28	1.11465839316304e-28	7.6893287402431e-29	5.2068773546146e-29	3.46230824275006e-29	2.26209811733529e-29	1.45357026091745e-29	9.20075697041793e-30	5.75134524987246e-30	3.56442090338771e-30	2.20328737347191e-30	1.36992754926899e-30	8.66221049640335e-31	5.63833548133467e-31	3.81772204070529e-31	2.70256527802265e-31	1.99511150097753e-31	1.5222066592317e-31	1.18601555059653e-31	9.32781630165197e-32	7.33619088266997e-32	5.73084672635114e-32	4.42629824967062e-32	3.37020496758654e-32	2.52500220935714e-32	1.85934598215858e-32	1.34476880576865e-32	9.54858474725774e-33	6.65460250788281e-33	4.55123198111924e-33	3.05434707295104e-33	2.01124695255971e-33	1.29943591869884e-33	8.2371616029758e-34	5.12304252446248e-34	3.12609805911419e-34	1.87154147897096e-34	1.09930284470117e-34	6.33513154940811e-35
-1.43939393939394	-1.43939393939394	1.1240874959727e-32	2.41549782859976e-32	5.11791037227629e-32	1.06886689975007e-31	2.19965586291686e-31	4.45898056252418e-31	8.90049491131807e-31	1.74880126504132e-30	3.38118795259462e-30	6.43076395327755e-30	1.2027923093656e-29	2.21173701413559e-29	3.99743187244892e-29	7.09959349938315e-29	1.23879863558272e-28	2.12325551217596e-28	3.5740984560335e-28	5.90785923586829e-28	9.58820628479312e-28	1.52770423000579e-27	2.3894233915697e-27	3.66827248320417e-27	5.52729081842702e-27	8.17367186990244e-27	1.186183630354e-26	1.68925611183387e-26	2.36064027714091e-26	3.23697456168693e-26	4.35522435539535e-26	5.74952633051339e-26	7.4472178896133e-26	9.46429159808156e-26	1.18006807933476e-25	1.44359318726386e-25	1.73259172577164e-25	2.04012578128339e-25	2.35680303651698e-25	2.67111272206358e-25	2.97003244719322e-25	3.239874215164e-25	3.46729989774718e-25	3.64040446945729e-25	3.74974578384825e-25	3.7891972838926e-25	3.7565165514263e-25	3.65355629238587e-25	3.48609015497229e-25	3.26327619062056e-25	2.99682736054224e-25	2.69999360891755e-25	2.38647831767676e-25	2.06941136577004e-25	1.76048299379689e-25	1.46931165824414e-25	1.20308133720754e-25	9.66446058359576e-26	7.61667607573575e-26	5.88930421774985e-26	4.46767228760167e-26	3.32529494473714e-26	2.42845888980278e-26	1.74026550805564e-26	1.22387519080574e-26	8.44854003337997e-27	5.7265108091997e-27	3.81323332770215e-27	2.4967157418073e-27	1.60964641472061e-27	1.0241466341558e-27	6.45377516802726e-28	4.04991620842334e-28	2.55074644698637e-28	1.62928337687344e-28	1.06822519449961e-28	7.26938963771426e-29	5.16827155467374e-29	3.83603607764424e-29	2.94960879005618e-29	2.32255157762311e-29	1.85068003263682e-29	1.47756258608246e-29	1.17332151949402e-29	9.22065615634143e-30	7.14757084231001e-30	5.45391561209327e-30	4.09123228278634e-30	3.01476532778978e-30	2.18121237056599e-30	1.54903331759123e-30	1.0796055780549e-30	7.38353782626331e-31	4.95485251164995e-31	3.26247158802174e-31	2.10766799984469e-31	1.33595214331619e-31	8.30824171516713e-32	5.06937834533099e-32	3.0347747309441e-32	1.78247655677778e-32	1.02718028488962e-32
-1.40909090909091	-1.40909090909091	1.11916843026277e-30	2.38191397851882e-30	5.00074323007986e-30	1.03541842280081e-29	2.11371567625006e-29	4.25294018640834e-29	8.43135882668481e-29	1.64634318571063e-28	3.16523461290735e-28	5.98970074111520e-28	1.1152555174428e-27	2.04257244445383e-27	3.67863776364776e-27	6.5130644047717e-27	1.13335224597173e-26	1.93788554315884e-26	3.25527233878566e-26	5.37111197608293e-26	8.7034054183727e-26	1.38484417404283e-25	2.16344193903277e-25	3.31798842785082e-25	4.99514870609985e-25	7.38124977965792e-25	1.07050337325458e-24	1.52368695201683e-24	2.12828415553588e-24	2.91722166816813e-24	3.92371824616209e-24	5.17845036700455e-24	6.70598576882292e-24	8.52070001576211e-24	1.06225406093404e-23	1.29931373489719e-23	1.5592846284151e-23	1.83593281294024e-23	2.12081786712458e-23	2.40359414870998e-23	2.67255549822828e-23	2.91539501177231e-23	3.12011734730181e-23	3.27601227456146e-23	3.37458059429227e-23	3.41030134204147e-23	3.38114396159106e-23	3.28875934631244e-23	3.13832476051425e-23	2.93806294057309e-23	2.69849756425598e-23	2.431538884985e-23	2.14950983951796e-23	1.86422248684998e-23	1.5861985165504e-23	1.32409974880618e-23	1.08440067864069e-23	8.71301244291151e-24	6.86849382453508e-24	5.3122315446156e-24	4.0311278670123e-24	3.00143359424676e-24	2.19287055580052e-24	1.57226943402996e-24	1.10649162796422e-24	7.64544957673447e-25	5.18917935788637e-25	3.46236811204467e-25	2.27392545726713e-25	1.47296267903501e-25	9.44098847695383e-26	6.01726567446823e-26	3.84129524043905e-26	2.48033971299846e-26	1.63911734473866e-26	1.12151434313125e-26	8.0079335903086e-27	5.97330550491609e-27	4.62569884037535e-27	3.6783678539224e-27	2.96780612817234e-27	2.40422862277793e-27	1.94012666852638e-27	1.55096823849494e-27	1.22381913104945e-27	9.50975896079218e-28	7.26664832170154e-28	5.45539303438909e-28	4.02170236091158e-28	2.91033278810845e-28	2.06698520503338e-28	1.44059348797124e-28	9.85196906200554e-29	6.61093520327993e-29	4.35260689318729e-29	2.811743872812e-29	1.78212343883964e-29	1.10823852010472e-29	6.76177909673124e-30	4.04781419548862e-30	2.37745380937239e-30	1.37004860333839e-30
-1.37878787878788	-1.37878787878788	9.3262475655399e-29	1.96479963288227e-28	4.0844629167863e-28	8.37711782044034e-28	1.69476427326671e-27	3.38118716121316e-27	6.6503911205661e-27	1.28914976704267e-26	2.4620105027355e-26	4.63079165366381e-26	8.57527515713777e-26	1.56286134547004e-25	2.80240199987402e-25	4.94246817513048e-25	8.57108388552105e-25	1.4611365310164e-24	2.44795777647222e-24	4.02976803905825e-24	6.51679173578617e-24	1.03511644418869e-23	1.61465101808641e-23	2.47310579154334e-23	3.71902394699106e-23	5.49024511468165e-23	7.9559316080401e-23	1.13159799024371e-22	1.57966498443713e-22	2.16413052875677e-22	2.9095448167891e-22	3.83857839888708e-22	4.9693878426745e-22	6.31259912507695e-22	7.86817769956132e-22	9.6225533571944e-22	1.15464336246125e-21	1.3593749667756e-21	1.57021173919306e-21	1.77950584240719e-21	1.9786020292596e-21	2.15839872735149e-21	2.31002208389049e-21	2.4255455936326e-21	2.49867489585153e-21	2.52531563564125e-21	2.50395313719204e-21	2.43579490849742e-21	2.32465734256874e-21	2.17661143740322e-21	1.99943333264655e-21	1.80192886724966e-21	1.59321363178479e-21	1.38202973036119e-21	1.17616862263682e-21	9.82048910180238e-22	8.04472925508129e-22	6.46560946093778e-22	5.09840678353765e-22	3.9445499378255e-22	2.99443868805273e-22	2.23056717313083e-22	1.63057306873629e-22	1.16993076499235e-22	8.24116724505739e-23	5.70179506229053e-23	3.87732019022631e-23	2.59442508289547e-23	1.71132738049072e-23	1.11600433021541e-23	7.22744228959293e-24	4.67919025059602e-24	3.05639248010538e-24	2.03723441088888e-24	1.40218649888589e-24	1.00559848469008e-24	7.53559374609672e-25	5.87319251374204e-25	4.71312702014624e-25	3.84787052059281e-25	3.16130595016466e-25	2.59147224908203e-25	2.10687910791853e-25	1.69199658245511e-25	1.33877036340038e-25	1.04197567263442e-25	7.9693032043467e-26	5.98589115105937e-26	4.41388618350749e-26	3.19447123588794e-26	2.26883430052467e-26	1.58123522293588e-26	1.08133026050152e-26	7.25563447822531e-27	4.77683133443636e-27	3.0856557608115e-27	1.95567065879188e-27	1.21613997555455e-27	7.42011743280096e-28	4.44199150299026e-28	2.60906678218852e-28	1.50360700861795e-28
-1.34848484848485	-1.34848484848485	6.50811890766476e-27	1.35692555069496e-26	2.79191420541723e-26	5.66868411729278e-26	1.13567881673383e-25	2.24467262767598e-25	4.37603832004163e-25	8.41250764604944e-25	1.59424642403485e-24	2.97734320269068e-24	5.47768111336966e-24	9.92446852388056e-24	1.77014867852104e-23	3.10711701500524e-23	5.36550650832073e-23	9.1124920205284e-23	1.52164833131422e-22	2.49763765217906e-22	4.02883990102752e-22	6.38518455444665e-22	9.9409257062286e-22	1.52007946125756e-21	2.28258241707209e-21	3.36550124127131e-21	4.87175697083325e-21	6.92292894144572e-21	9.65659571047782e-21	1.3220708211395e-20	1.77644980968381e-20	2.34257612334329e-20	3.03148547510788e-20	3.84963690549128e-20	4.79701062499629e-20	5.86535993398516e-20	7.03688063468042e-20	8.28356773701066e-20	9.56749224700922e-20	1.08421471999802e-19	1.20548874964335e-19	1.31503375873846e-19	1.40744875584819e-19	1.47790687091868e-19	1.52257201623095e-19	1.53894473329139e-19	1.52609385816844e-19	1.48474413377966e-19	1.41720831512984e-19	1.32717264268007e-19	1.21936340275629e-19	1.09913655748098e-19	9.72039935201173e-20	8.43397370955225e-20	7.17957037837339e-20	5.99633782634461e-20	4.91360097014125e-20	3.95045134033416e-20	3.11628285134716e-20	2.41204885067487e-20	1.83197298178015e-20	1.36544745235088e-20	9.9888847518676e-21	7.17376971506768e-21	5.05979408635979e-21	3.50707089675546e-21	2.39124039001271e-21	1.60649605955331e-21	1.06621494461368e-21	7.01902955993784e-22	4.61114661962282e-22	3.04891997290942e-22	2.05125108846839e-22	1.42099463702512e-22	1.02374383134559e-22	7.70476617197264e-23	6.03998337830072e-23	4.88762168305832e-23	4.03491214466968e-23	3.36002312417153e-23	2.79685798869163e-23	2.31185677269332e-23	1.88922546823595e-23	1.52191334603482e-23	1.20640165756936e-23	9.39942654854424e-24	7.19313480436103e-24	5.40454647690883e-24	3.9857779957882e-24	2.88477653647488e-24	2.04887577384149e-24	1.42790361146104e-24	9.76443993731278e-25	6.55167605952623e-25	4.31329665706544e-25	2.78622143029642e-25	1.76591733099354e-25	1.09818018013869e-25	6.70079102893472e-26	4.01170564644984e-26	2.35659123109179e-26	1.35829388142338e-26
-1.31818181818182	-1.31818181818182	3.80251578631624e-25	7.84753725247797e-25	1.59804631746618e-24	3.21129376087638e-24	6.36820136784767e-24	1.24618001602269e-23	2.4061563734365e-23	4.58321978633754e-23	8.61037724813489e-23	1.59499580991538e-22	2.91238589528925e-22	5.24017849223117e-22	9.28754661276657e-22	1.62092154382976e-21	2.78470510253259e-21	4.70768695250954e-21	7.82904833571103e-21	1.28042403265246e-20	2.05883730739306e-20	3.25389514219615e-20	5.05357198036499e-20	7.71110706528309e-20	1.15578724851652e-19	1.70141564065807e-19	2.45952402825558e-19	3.49095475233007e-19	4.86453285842607e-19	6.65425296311859e-19	8.93473607808821e-19	1.17748759244274e-18	1.522984284944e-18	1.93319243917121e-18	2.4081016230588e-18	2.94358787768405e-18	3.53074751156551e-18	4.15557390083927e-18	4.79909380319472e-18	5.43803803709691e-18	6.04605921234868e-18	6.59543402302746e-18	7.05911086052318e-18	7.41289867274721e-18	7.63755301550146e-18	7.7205096225545e-18	7.65704828229367e-18	7.45073703743559e-18	7.11309864900155e-18	6.66254287583269e-18	6.12270244457476e-18	5.52038213417014e-18	4.88336825824344e-18	4.23834566636921e-18	3.60913395199693e-18	3.01539263945409e-18	2.47186931202132e-18	1.98818850523789e-18	1.56911457283135e-18	1.2151767731172e-18	9.23523001768619e-19	6.88868887959594e-19	5.0442687145477e-19	3.62728923295272e-19	2.56289922904952e-19	1.78090451744577e-19	1.21883747533027e-19	8.23496468734785e-20	5.51282344568214e-20	3.67686870783629e-20	2.46262984068853e-20	1.67349640261169e-20	1.16753657668869e-20	8.45214723396949e-21	6.38742253203399e-21	5.0334288036858e-21	4.10407060211384e-21	3.42332431837605e-21	2.88767521246266e-21	2.4396306073433e-21	2.04961286744392e-21	1.70397418615649e-21	1.39735205504823e-21	1.12802048780176e-21	8.9525336756694e-22	6.97996930511199e-22	5.34357636549757e-22	4.01564230357079e-22	2.96173210927266e-22	2.1436699363453e-22	1.52252221063441e-22	1.06107592314398e-22	7.25599342952145e-23	4.86866292249093e-23	3.20540168832712e-23	2.07068677719873e-23	1.31252018997102e-23	8.16316314688614e-24	4.98165629404343e-24	2.98300696520298e-24	1.75268103904379e-24	1.01046892551365e-24
-1.28787878787879	-1.28787878787879	1.8586885080931e-23	3.79888554787411e-23	7.658855673012e-23	1.52341180903989e-22	2.9900506455581e-22	5.79136836682212e-22	1.10695233200104e-21	2.08783071334537e-21	3.88530345543859e-21	7.13240850270837e-21	1.29129233493056e-20	2.30497921317762e-20	4.05533420130865e-20	7.03003448284959e-20	1.20035223544836e-19	2.01803631154423e-19	3.33940831079762e-19	5.43734631803364e-19	8.70854235674983e-19	1.37156962767291e-18	2.12366875253075e-18	3.23180326116435e-18	4.83275829134118e-18	7.09986200689673e-18	1.02454599336562e-17	1.45201324155671e-17	2.02072048623106e-17	2.76111743673521e-17	3.70390316202505e-17	4.87741449573424e-17	6.30433927107544e-17	7.99795062008899e-17	9.95819608531125e-17	1.21680993624307e-16	1.45910152398832e-16	1.71692924135634e-16	1.98248240435036e-16	2.2461795347515e-16	2.49716824783511e-16	2.72402480762932e-16	2.91559631054989e-16	3.06190173328996e-16	3.1549915316149e-16	3.18966302952506e-16	3.16394204719034e-16	3.07926874639984e-16	2.9403634077991e-16	2.7547896389009e-16	2.53227137051629e-16	2.28384955247357e-16	2.02098019602138e-16	1.75467551852832e-16	1.49477552603365e-16	1.24941200939906e-16	1.02469579151969e-16	8.24626723939687e-17	6.51199274476012e-17	5.04657938800839e-17	3.83847603631095e-17	2.86603988738804e-17	2.10136564728472e-17	1.51368234100322e-17	1.07209762785055e-17	7.47600224245926e-18	5.14338288090157e-18	3.50266486806705e-18	2.3729564519221e-18	1.61090688774241e-18	1.10652625045177e-18	7.77970391743496e-19	5.66127310072456e-19	4.29555856799056e-19	3.40082970130136e-19	2.79179054512641e-19	2.35104893532418e-19	2.00749977138527e-19	1.72049028256351e-19	1.46857731230262e-19	1.2417875471037e-19	1.0364647538609e-19	8.51976492587847e-20	6.88724731333162e-20	5.4704707922722e-20	4.26706296820171e-20	3.26749508091274e-20	2.45581167767725e-20	1.81140966041863e-20	1.31113753025682e-20	9.31260536665069e-21	6.49045228922825e-21	4.43868105445961e-21	2.9785553806591e-21	1.9612355983589e-21	1.26714749390166e-21	8.03340825242611e-22	4.99747342583367e-22	3.05058053560862e-22	1.82725762618859e-22	1.07400637300837e-22	6.19453605071253e-23
-1.25757575757576	-1.25757575757576	7.59087363274056e-22	1.53771283164424e-21	3.07125996586964e-21	6.0497674440725e-21	1.17556257247412e-20	2.2538190291372e-20	4.26396201506261e-20	7.96075821955843e-20	1.46668906424896e-19	2.66642861294139e-19	4.78263905497687e-19	8.46180351337744e-19	1.47640729833354e-18	2.53962901640551e-18	4.30542048491909e-18	7.19108599175096e-18	1.18292131759413e-17	1.91579404927816e-17	3.05369714105265e-17	4.78901160393771e-17	7.38711868546642e-17	1.12044134754059e-16	1.67060390895624e-16	2.4480696072588e-16	3.52489022512217e-16	4.98602459617618e-16	6.92747398524553e-16	9.45236283617922e-16	1.26646196241207e-15	1.6660144203513e-15	2.15156917268897e-15	2.72761340008018e-15	3.39412239471115e-15	4.14534089809549e-15	4.96885204310817e-15	5.8451216152212e-15	6.74768032588895e-15	7.64404937670516e-15	8.49742853454601e-15	9.26906154262703e-15	9.92108676835065e-15	1.04195902826546e-14	1.07375221100453e-14	1.08571275373481e-14	1.07715894834431e-14	1.04856706119473e-14	1.00152712906013e-14	9.3859609030917e-15	8.6306718131186e-15	7.7868458353144e-15	6.89337702190896e-15	5.98769567084118e-15	5.10329029249809e-15	4.26787887545876e-15	3.50233557077821e-15	2.8203727379134e-15	2.22888773380766e-15	1.72882035307249e-15	1.31633546664508e-15	9.84144905262622e-16	7.22806855467774e-16	5.21881052028341e-16	3.70864349207576e-16	2.5987556568452e-16	1.80094955196497e-16	1.23989195479811e-16	8.53669256609468e-17	5.93140356614483e-17	4.20546647669712e-17	3.07760758412996e-17	2.34458534584747e-17	1.86402369786994e-17	1.53941225258793e-17	1.30769526996249e-17	1.12944372435863e-17	9.81355365481012e-18	8.50714497967167e-18	7.31421717617114e-18	6.2123523563959e-18	5.19920552244402e-18	4.28065159119107e-18	3.46369381671963e-18	2.75269405346604e-18	2.14783765962061e-18	1.64501727388816e-18	1.23653064047832e-18	9.12155428211084e-19	6.60300142129132e-19	4.6904094757137e-19	3.26942173893184e-19	2.23624613262116e-19	1.50091730846007e-19	9.88516913850027e-20	6.38858195792346e-20	4.05155409615711e-20	2.52139090836631e-20	1.5398037550684e-20	9.22790671030336e-21	5.42700629627017e-21	3.13216168194122e-21
-1.22727272727273	-1.22727272727273	2.58590202938369e-20	5.19701371001977e-20	1.02923151126859e-19	2.00924976152255e-19	3.86767549199049e-19	7.34310364583771e-19	1.37537513533092e-18	2.54184403584539e-18	4.63564224998578e-18	8.342992617241e-18	1.48174058334792e-17	2.5966815289078e-17	4.48943377212161e-17	7.65590355070959e-17	1.28741462674065e-16	2.13415825853057e-16	3.48641292914481e-16	5.61081823367711e-16	8.89236876826576e-16	1.38740280680373e-15	2.13027525172455e-15	3.21793849063251e-15	4.78076863043039e-15	6.98351685270947e-15	1.00275677101842e-14	1.41501366068152e-14	1.9619049168262e-14	2.67218122793738e-14	3.57480163608596e-14	4.69647497130092e-14	6.05856586184692e-14	7.67354829953788e-14	9.54131900344484e-14	1.16457999392948e-13	1.39523381479236e-13	1.6406425747768e-13	1.89341942943384e-13	2.1444978820137e-13	2.38360080381215e-13	2.59989868318745e-13	2.78280391170863e-13	2.92282255829928e-13	3.012369201414e-13	3.0464477280153e-13	3.02311309490021e-13	2.94365469745617e-13	2.81247738924836e-13	2.63669558384831e-13	2.42549268310742e-13	2.18932627322854e-13	1.93907479987506e-13	1.68522198980741e-13	1.43716208496592e-13	1.20268531190232e-13	9.87673751946489e-14	7.9600815921125e-14	6.2966092596699e-14	4.88932542637593e-14	3.72779976801241e-14	2.79185085421077e-14	2.05517791909471e-14	1.48859830449194e-14	1.0626773521864e-14	7.49661194431559e-15	5.24724987324036e-15	3.66620956317192e-15	2.57850680006848e-15	1.8449823741272e-15	1.35852227382857e-15	1.03923246664976e-15	8.29365045298718e-16	6.8852492592071e-16	5.89456188087446e-16	5.14531536670817e-16	4.5294946882949e-16	3.98574291825504e-16	3.48322370630473e-16	3.00991372243976e-16	2.56436977413493e-16	2.15015500385268e-16	1.77225969809903e-16	1.43498820200824e-16	1.14089509704634e-16	8.90442195138487e-17	6.82118344758501e-17	5.12822230382602e-17	3.78358377436113e-17	2.73940461018331e-17	1.94634093767004e-17	1.35702988417403e-17	9.2847095819924e-18	6.23387724562205e-18	4.10736396493508e-18	2.65575668709211e-18	1.68515411243386e-18	1.04935923233513e-18	6.41283119765318e-19	3.84614087235118e-19	2.26391397619216e-19	1.30786989739566e-19
