"x","y","z.1","z.2","z.3","z.4","z.5","z.6","z.7","z.8","z.9","z.10","z.11","z.12","z.13","z.14","z.15","z.16","z.17","z.18","z.19","z.20","z.21","z.22","z.23","z.24","z.25","z.26","z.27","z.28","z.29","z.30","z.31","z.32","z.33","z.34","z.35","z.36","z.37","z.38","z.39","z.40","z.41","z.42","z.43","z.44","z.45","z.46","z.47","z.48","z.49","z.50","z.51","z.52","z.53","z.54","z.55","z.56","z.57","z.58","z.59","z.60","z.61","z.62","z.63","z.64","z.65","z.66","z.67","z.68","z.69","z.70","z.71","z.72","z.73","z.74","z.75","z.76","z.77","z.78","z.79","z.80","z.81","z.82","z.83","z.84","z.85","z.86","z.87","z.88","z.89","z.90","z.91","z.92","z.93","z.94","z.95","z.96","z.97","z.98","z.99","z.100"
-1.5,-1.5,6.54014755420678e-11,8.83651084754166e-11,1.18339221571326e-10,1.57084023633395e-10,2.06676838385678e-10,2.69531500017656e-10,3.48407201682169e-10,4.46403128018419e-10,5.66935176846327e-10,7.13691392713103e-10,8.90563495652845e-10,1.10155318798197e-09,1.35065384397991e-09,1.64171079609704e-09,1.9782667648442e-09,2.3634030448221e-09,2.79959183074915e-09,3.28858048749977e-09,3.83133455171134e-09,4.42807269082582e-09,5.07843361011262e-09,5.78182184016358e-09,6.53798627759373e-09,7.34789206047145e-09,8.2149525214159e-09,9.14669312277616e-09,1.01569227875179e-08,1.12684889751059e-08,1.25166899595907e-08,1.39534094176625e-08,1.56520226217931e-08,1.77130979392182e-08,2.02708794801586e-08,2.35004842280917e-08,2.76256778876951e-08,3.29270069973625e-08,3.97499610484301e-08,4.8512719972936e-08,5.97129145574797e-08,7.39326982909961e-08,9.1841310243838e-08,1.14194214230278e-07,1.41827846587117e-07,1.75649011592064e-07,2.16618047725544e-07,2.65725065128682e-07,3.23958835389937e-07,3.92268302519951e-07,4.7151717228337e-07,5.6243260809975e-07,6.65549685273329e-07,7.81153889081974e-07,9.09224533719158e-07,1.04938246883462e-06,1.20084576703381e-06,1.36239719175659e-06,1.53236708374269e-06,1.7086348464271e-06,1.88865144984796e-06,2.06948432997551e-06,2.24788478565664e-06,2.4203765460674e-06,2.58336269819919e-06,2.73324674251371e-06,2.86656230701555e-06,2.98010511103557e-06,3.0710602274051e-06,3.13711761393324e-06,3.17656930325282e-06,3.18838254279092e-06,3.17224450924243e-06,3.12857589041971e-06,3.05851250623673e-06,2.9638560844538e-06,2.84699716404279e-06,2.7108147262204e-06,2.55855842863232e-06,2.39372015293327e-06,2.21990192144598e-06,2.04068708946106e-06,1.85952111285445e-06,1.67960719931066e-06,1.50382087634091e-06,1.33464606768218e-06,1.17413378321652e-06,1.02388311092154e-06,8.85042950473942e-07,7.58331920982849e-07,6.44073155946e-07,5.42240284035011e-07,4.52510775007752e-07,3.7432297371339e-07,3.06933503063279e-07,2.49472230416576e-07,2.00992599301108e-07,1.60515770688528e-07,1.2706764347925e-07,9.97083912996282e-08,7.75546332237972e-08,5.9794733017139e-08
-1.46969696969697,-1.46969696969697,1.85580521999491e-10,2.50740700840401e-10,3.35792980653951e-10,4.4573159009483e-10,5.86450241058731e-10,7.64796925560347e-10,9.88598632470936e-10,1.26664548328696e-09,1.60862366358097e-09,2.02498735479876e-09,2.52676192211036e-09,3.1252741454225e-09,3.83181051150225e-09,4.65721167342201e-09,5.61142020630978e-09,6.70300972815935e-09,7.93873619373301e-09,9.32316649498809e-09,1.08584551163204e-08,1.25443561350833e-08,1.43785749164988e-08,1.63575809751414e-08,1.8478020157127e-08,2.07388799372918e-08,2.31445754489634e-08,2.57091348016849e-08,2.84616687774049e-08,3.14533099886504e-08,3.47657971049754e-08,3.85218569724923e-08,4.28974966078697e-08,4.81362526008847e-08,5.45653514349181e-08,6.26136048386673e-08,7.2830694791651e-08,8.59072907259088e-08,1.0269518789163e-07,1.24226366917781e-07,1.51729562827882e-07,1.86642617128374e-07,2.30618596927982e-07,2.85523435727213e-07,3.53422722912296e-07,4.36555287761133e-07,5.37291432859351e-07,6.58074109290065e-07,8.01342018010774e-07,9.69434576596423e-07,1.16447989230074e-06,1.38826828718393e-06,1.64211545440122e-06,1.9267208825068e-06,2.24202863745612e-06,2.58709879365675e-06,2.95999860478507e-06,3.35772276096208e-06,3.77615167650459e-06,4.21005561985634e-06,4.65315061949792e-06,5.0982095087486e-06,5.53722833164115e-06,5.96164481254719e-06,6.36260194171497e-06,6.73124623315846e-06,7.05904716951888e-06,7.33812204448986e-06,7.561549086479e-06,7.72365156535764e-06,7.82023662315311e-06,7.84877480052333e-06,7.80850951861852e-06,7.70048988827134e-06,7.52752484600034e-06,7.29406140089356e-06,7.00599434487769e-06,6.67041877846493e-06,6.29533993575559e-06,5.88935683810104e-06,5.46133714646112e-06,5.02010020607308e-06,4.57412377492433e-06,4.13128748064247e-06,3.69866290731456e-06,3.28235666312856e-06,2.88740912103068e-06,2.51774803982526e-06,2.17619320293624e-06,1.8645057380631e-06,1.58347401591329e-06,1.33302701171753e-06,1.11236572493308e-06,9.20103610770353e-07,7.54407861723351e-07,6.1313464384681e-07,4.93952889048057e-07,3.94452825850675e-07,3.12236969883297e-07,2.44992690734643e-07,1.90546652777835e-07,1.46902353497831e-07
-1.43939393939394,-1.43939393939394,5.09468022009135e-10,6.8834895457177e-10,9.21837703020938e-10,1.22364364231843e-09,1.60994463583466e-09,2.09953689653777e-09,2.71390190666819e-09,3.47716135344694e-09,4.41589058520553e-09,5.55876319125214e-09,6.93600468316888e-09,8.57864257800502e-09,1.05175540119829e-08,1.27823307228876e-08,1.54000049690049e-08,1.83937085647072e-08,2.17813702788672e-08,2.55745936557952e-08,2.97778969354397e-08,3.43885380477642e-08,3.9397189397402e-08,4.47897680293034e-08,5.05507653926151e-08,5.66684557724023e-08,6.31423916997317e-08,6.99936158605168e-08,7.72780288344963e-08,8.5103345665863e-08,9.36500452611873e-08,1.03196656284995e-07,1.14149620741301e-07,1.27077819044008e-07,1.42751614229216e-07,1.62185964489748e-07,1.86686751258716e-07,2.17898968623862e-07,2.57854821305381e-07,3.0901909703481e-07,3.74328444331444e-07,4.57220445449002e-07,5.61647692525071e-07,6.92071536485309e-07,8.53429881221648e-07,1.05107344609297e-06,1.2906654223697e-06,1.5780404944101e-06,1.91902084649522e-06,2.31918905070302e-06,2.78362059251987e-06,3.3165821342453e-06,3.92120526417492e-06,4.59914918391329e-06,5.350269238825e-06,6.17231104929137e-06,7.06065189325254e-06,8.00811158751169e-06,9.00485414364901e-06,1.00383987634523e-05,1.10937542538336e-05,1.21536848074718e-05,1.31991076075224e-05,1.42096143287788e-05,1.51640999145448e-05,1.60414736893466e-05,1.68214206348546e-05,1.74851751856375e-05,1.80162667615848e-05,1.84011958436636e-05,1.86300018976557e-05,1.86966897860403e-05,1.85994891573029e-05,1.83409311099564e-05,1.79277374574048e-05,1.73705293157338e-05,1.66833726107521e-05,1.58831876136965e-05,1.49890570559135e-05,1.40214722236087e-05,1.30015584130462e-05,1.19503202076846e-05,1.08879434410297e-05,9.83318486498679e-06,8.80287304620284e-06,7.81153555046691e-06,6.87115876086505e-06,5.99107838024078e-06,5.17799136481331e-06,4.43607415505076e-06,3.76718787924655e-06,3.17114880259724e-06,2.64604162067063e-06,2.18855406037996e-06,1.79431336699358e-06,1.45820827830343e-06,1.17468365466113e-06,9.37998700310451e-07,7.42443375072597e-07,5.82510915888095e-07,4.53027196388462e-07,3.49239853385063e-07
-1.40909090909091,-1.40909090909091,1.3531350509018e-09,1.82823597713013e-09,2.44837096408641e-09,3.24994921648536e-09,4.27593426265154e-09,5.57624066375048e-09,7.20790959266624e-09,9.23498565019879e-09,1.17280158129722e-08,1.47630965800005e-08,1.8420409067493e-08,2.27822057042285e-08,2.79302476795279e-08,3.39427402582191e-08,4.08908737024329e-08,4.88351502568088e-08,5.78217610785424e-08,6.7879368972686e-08,7.90167505210631e-08,9.12218513942965e-08,1.04462907768872e-07,1.18692381200204e-07,1.338545403751e-07,1.49897597115437e-07,1.66791361621066e-07,1.84551417986317e-07,2.03270828395212e-07,2.23160343112344e-07,2.44598009548274e-07,2.68188918671602e-07,2.94835577203875e-07,3.258190211953e-07,3.62890259763163e-07,4.08370926366731e-07,4.65261093504402e-07,5.37351061093957e-07,6.29332563920656e-07,7.46903291307709e-07,8.96856939128326e-07,1.0871493275759e-06,1.32692956822125e-06,1.6265240427009e-06,1.99736028822201e-06,2.45181801579635e-06,3.00299565610354e-06,3.66438324363545e-06,4.44943625604401e-06,5.37105026705163e-06,6.44094286165659e-06,7.66895696010887e-06,9.06230809318248e-06,1.06248066936503e-05,1.23560944073037e-05,1.42509399787072e-05,1.62986446030905e-05,1.84826079827502e-05,2.07801040564577e-05,2.31623090919299e-05,2.55946144665718e-05,2.80372423014055e-05,3.04461648388685e-05,3.27743091204972e-05,3.49730084890403e-05,3.69936432821415e-05,3.87893964432492e-05,4.03170372057749e-05,4.1538638817733e-05,4.24231353815254e-05,4.29476286946216e-05,4.30983683243596e-05,4.28713462830388e-05,4.2272470305605e-05,4.13173051677002e-05,4.0030397747532e-05,3.84442265823196e-05,3.65978385657869e-05,3.45352525412909e-05,3.23037206757944e-05,2.99519430089873e-05,2.75283284024299e-05,2.50793867755224e-05,2.26483240087346e-05,2.02738935890561e-05,1.79895395553581e-05,1.58228452159872e-05,1.37952830032248e-05,1.19222440159927e-05,1.02133122751859e-05,8.67273908802939e-06,7.30006741155505e-06,6.09085458146772e-06,5.03744378990974e-06,4.12973959113978e-06,3.3559496943103e-06,2.70326353250931e-06,2.15844678038137e-06,1.70833943329495e-06,1.34025270698772e-06,1.04226648058426e-06,8.03434067402597e-07
-1.37878787878788,-1.37878787878788,3.47700276145312e-09,4.69781171464992e-09,6.29129208810431e-09,8.35099488618502e-09,1.09873087446014e-08,1.43284763641824e-08,1.85210408536168e-08,2.37295213888411e-08,3.0135113208454e-08,3.79332193575087e-08,4.73296554293463e-08,5.85354280584143e-08,7.17600763953565e-08,8.72036851768891e-08,1.05047828427111e-07,1.25445882364553e-07,1.48513350640915e-07,1.74319068449134e-07,2.02878386437899e-07,2.34149671683631e-07,2.68035691534681e-07,3.04391657270454e-07,3.43041888862763e-07,3.83807210649198e-07,4.26545291119599e-07,4.71206187475076e-07,5.17905332994773e-07,5.67016092714701e-07,6.19283782526177e-07,6.75962660371473e-07,7.3897680637392e-07,8.11104951755514e-07,8.96188127673052e-07,9.99357417980871e-07,1.12727705811625e-06,1.28839559387831e-06,1.49319480807595e-06,1.75442270842766e-06,2.08729319191131e-06,2.50963129439361e-06,3.04193953191591e-06,3.70735816626393e-06,4.53149078235473e-06,5.54206689056772e-06,6.76841589846938e-06,8.24073219809543e-06,9.98911960784981e-06,1.20424150922387e-05,1.44268063663647e-05,1.71642751371311e-05,2.02709164274894e-05,2.37552033983301e-05,2.76162847408543e-05,3.18424162706948e-05,3.64096379655407e-05,4.12808106267334e-05,4.64051212150644e-05,5.1718151841677e-05,5.71425842174129e-05,6.25895797321746e-05,6.79608367751335e-05,7.31512837713656e-05,7.80523217458015e-05,8.25554875367866e-05,8.65563717306827e-05,8.99585974432659e-05,9.26776501474145e-05,9.46443468738014e-05,9.58077461916359e-05,9.61373280270273e-05,9.56243129128492e-05,9.42820408178224e-05,9.21453864676417e-05,8.9269246652262e-05,8.5726190841979e-05,8.1603415202271e-05,7.69991781610124e-05,7.20189203962452e-05,6.67712820517062e-05,6.13642250337922e-05,5.59014495442454e-05,5.04792637964181e-05,4.51840272087307e-05,4.0090243809801e-05,3.52593377916413e-05,3.07391005552744e-05,2.65637611392861e-05,2.27546018122431e-05,1.93210192045751e-05,1.62619191444788e-05,1.35673300293028e-05,1.12201241195462e-05,9.1977471055791e-06,7.47387189581918e-06,6.01991094721662e-06,4.80634082880599e-06,3.80381152724086e-06,2.98403004065871e-06,2.32042220292223e-06,1.78858794534057e-06
-1.34848484848485,-1.34848484848485,8.64387796555407e-09,1.16788138667441e-08,1.56402017914262e-08,2.076059849901e-08,2.73144100644612e-08,3.56204123781443e-08,4.60428503330508e-08,5.89906146257589e-08,7.49139828853067e-08,9.42984407111947e-08,1.17655179465452e-07,1.45508011446651e-07,1.78376657108236e-07,2.16756647421537e-07,2.6109644686399e-07,3.11772833046038e-07,3.69066056307713e-07,4.33136830084283e-07,5.04007749457498e-07,5.81552277105219e-07,6.65494947600655e-07,7.55426897873086e-07,8.50841210481111e-07,9.51192836092437e-07,1.05598802232693e-06,1.16490819679707e-06,1.27797310647755e-06,1.39574766676363e-06,1.51959636892985e-06,1.65198816017418e-06,1.79685334791262e-06,1.95999216827086e-06,2.14953206026099e-06,2.3764272620387e-06,2.65498997374616e-06,3.00343694232973e-06,3.4444289330706e-06,4.00557330180258e-06,4.71985207607846e-06,5.62593009189289e-06,6.76829052272581e-06,8.19713948830366e-06,9.96801841400787e-06,1.21410635934949e-05,1.47798581390151e-05,1.79498331883609e-05,2.17161935675869e-05,2.61413683025651e-05,3.12820180186405e-05,3.71856682068343e-05,4.3887077600876e-05,5.14044917505654e-05,5.97359698762887e-05,6.88560043856005e-05,7.8712673038964e-05,8.92255699510569e-05,0.000100284750396213,0.000111750893880844,0.000123456839796076,0.00013521058159227,0.000146799722126193,0.000157997299712731,0.000168568798045909,0.000178280061108416,0.000186905754366955,0.000194237953430235,0.000200094407205637,0.00020432601880351,0.000206823115926984,0.000207520142402491,0.000206398490196048,0.000203487300514446,0.000198862185180735,0.000192641945907203,0.000184983489505356,0.000176075242179838,0.00016612944800369,0.000155373789774812,0.000144042791650467,0.000132369452017562,0.000120577514476345,0.000108874719442902,9.74472953256699e-05,8.64558541556159e-05,7.60327598607683e-05,6.6280945502984e-05,5.72740750566972e-05,4.90578804541245e-05,4.16524585699299e-05,3.50552866141061e-05,2.92447073493979e-05,2.41836455039816e-05,1.98233405069641e-05,1.61069144063147e-05,1.29726335166651e-05,1.03567641578685e-05,8.19596344432513e-06,6.42918282298045e-06,4.99909308238545e-06,3.85306381699647e-06
-1.31818181818182,-1.31818181818182,2.07898793355057e-08,2.80893497570348e-08,3.7617052559826e-08,4.99322974638466e-08,6.5695028997211e-08,8.56718753790198e-08,1.10738770431817e-07,1.41878938344259e-07,1.80174999006828e-07,2.26794017010509e-07,2.82964506875987e-07,3.49944744236785e-07,4.2898223509878e-07,5.2126487158835e-07,6.27865149981787e-07,7.49679829281263e-07,8.87368536369614e-07,1.04129603404376e-06,1.21148410749644e-06,1.39758023249207e-06,1.59885130134642e-06,1.81421163964111e-06,2.04229529193222e-06,2.28158304079612e-06,2.53059480940146e-06,2.78815794467601e-06,3.05376134138611e-06,3.32800438514346e-06,3.61314817238827e-06,3.91377427339087e-06,4.23755325571265e-06,4.59612104579985e-06,5.0060557030391e-06,5.48994003101295e-06,6.07748640693124e-06,6.80668912129265e-06,7.72495640797898e-06,8.89015948936159e-06,1.03715199786912e-05,1.22502408929431e-05,1.46197717893729e-05,1.75855870260702e-05,2.12643500843724e-05,2.57823387014139e-05,3.12730176447419e-05,3.78736704100834e-05,4.57210393890636e-05,5.49459765971338e-05,6.56671730214032e-05,7.79841116297692e-05,9.19694729767894e-05,0.000107661307407561,0.000125055366965918,0.000144098055197252,0.000164680495778069,0.000186634233548133,0.000209729057790058,0.000233673373602374,0.000258117442219523,0.000282659668135913,0.00030685593680965,0.00033023181220777,0.000352297202265454,0.000372562908284393,0.000390558307892199,0.000405849296030357,0.000418055537621784,0.000426866078192786,0.000432052418762562,0.000433478286952918,0.000431105519833578,0.000424995702501427,0.000415307462583434,0.000402289584912852,0.000386270361961878,0.000367643814830566,0.000346853590328747,0.000324375450097037,0.000300699311453415,0.000276311776287189,0.000251679999105872,0.00022723760843432,0.000203373221008229,0.000180421891590429,0.000158659639292864,0.000138300999515048,0.000119499382186831,0.000102349881819353,8.68940889936597e-05,7.31263985013236e-05,6.10012949167367e-05,5.04411174255215e-05,4.13438555508204e-05,3.35905980081595e-05,2.70523398845422e-05,2.1595940683802e-05,1.7089110541321e-05,1.34043785705513e-05,1.04220620056051e-05,8.03230536937465e-06
-1.28787878787879,-1.28787878787879,4.83765788337922e-08,6.53618806353965e-08,8.75320627252206e-08,1.16188547890821e-07,1.52866890049531e-07,1.99350822665489e-07,2.57678315661166e-07,3.30136814658081e-07,4.19244756173653e-07,5.2771659628164e-07,6.58409019051954e-07,8.14246758088407e-07,9.98127608463776e-07,1.21280774472787e-06,1.46077038350201e-06,1.74408309505618e-06,2.06425160289227e-06,2.42208060852544e-06,2.81755490985111e-06,3.24975669876738e-06,3.71683727491245e-06,4.2160633519192e-06,4.74395953192294e-06,5.29656927804602e-06,5.86985674169084e-06,6.46027103595707e-06,7.06549292202889e-06,7.68538130111638e-06,8.32313323669962e-06,8.98666624585633e-06,9.69022496879888e-06,1.04562056215322e-05,1.13171803417065e-05,1.23180891029508e-05,1.3518548803944e-05,1.49952071205639e-05,1.68440427624368e-05,1.91824844247943e-05,2.21511891718551e-05,2.59152892373212e-05,3.066488717101e-05,3.66145566457177e-05,4.40015945208799e-05,5.30827738086179e-05,6.4129371841301e-05,7.74202974253274e-05,9.32332180255775e-05,0.000111833694007883,0.000133462459972317,0.000158321148381627,0.000186556919760452,0.000218246635126863,0.000253381365616579,0.000291852165193252,0.000333438118099665,0.000377797697634053,0.000424464424266773,0.000472847681203056,0.000522239332812983,0.000571826501970397,0.000620710510290396,0.000667931592096543,0.000712498586514919,0.000753422424365079,0.000789751890844701,0.000820609892898389,0.000845228318028304,0.000862979557475524,0.000873402889128674,0.000876224170448891,0.000871367663535406,0.000858959276840472,0.000839321026136098,0.00081295705101131,0.000780532030814983,0.000742843286395937,0.000700788198215031,0.00065532879354513,0.000607455442806231,0.000558151556815435,0.000508361003567235,0.000458959685706922,0.000410732366137191,0.000364355431556867,0.00032038587556781,0.000279256395616086,0.000241276158043593,0.000206636512850373,0.000175420746614686,0.000147616852672696,0.00012313226908026,0.000101809577926431,8.34422606572583e-05,6.77897470137427e-05,5.45911630192324e-05,4.35773600211303e-05,3.44809780371751e-05,2.70444514520642e-05,2.1025995688502e-05,1.62037154585258e-05
-1.25757575757576,-1.25757575757576,1.08907634432329e-07,1.4714565537869e-07,1.9705601233405e-07,2.61568431093979e-07,3.44139648925684e-07,4.48784988497041e-07,5.80091907296883e-07,7.43209140232144e-07,9.43804861707058e-07,1.18798760128796e-06,1.48218458872444e-06,1.83297389646836e-06,2.24686927413351e-06,2.73005996348754e-06,3.28811201551742e-06,3.92564260142739e-06,4.64598434014633e-06,5.45086250820664e-06,6.34011384812e-06,7.31148120622857e-06,8.36052305797291e-06,9.48068078394901e-06,1.06635490555766e-05,1.18993956497578e-05,1.31779762812049e-05,1.44896875189283e-05,1.58270964640182e-05,1.71868795090527e-05,1.85721939895678e-05,1.99954955418435e-05,2.14817999689478e-05,2.30723706431269e-05,2.48287900054608e-05,2.68373455379812e-05,2.92136257271744e-05,3.21071793733911e-05,3.57060421090503e-05,4.0240878109736e-05,4.59884249515357e-05,5.32738691920943e-05,6.24717250635477e-05,7.40047458836438e-05,8.83403760439544e-05,0.000105984260184372,0.00012747037484358,0.000153347444754008,0.000184161456806208,0.000220434291441146,0.000262638750567727,0.000311170563605375,0.000366318282803979,0.00042823231298316,0.000496894631129991,0.000572091006090877,0.000653387695047345,0.000740114640976334,0.000831357099126115,0.00092595736539658,0.00102252786264837,0.00111947627433649,0.00121504272596376,0.00130734824592128,0.00139445294280635,0.00147442157885783,0.00154539356393311,0.00160565390305192,0.00165370135450521,0.0016883100305952,0.00170858091463494,0.001713980268389,0.00170436263300281,0.00167997703196537,0.00164145599853329,0.00158978809378067,0.00152627557362551,0.00145247972729024,0.00137015708122295,0.00128119009500532,0.00118751614448263,0.0010910584909062,0.000993662594375744,0.000897040585751354,0.000802726018366598,0.000712040242637251,0.000626070948341557,0.000545662662147985,0.000471418323802658,0.000403710532142546,0.000342700675532304,0.000288363948697301,0.000240518203189237,0.000198854663915859,0.000162968742666448,0.000132389459684365,0.000106606312883162,8.50927797095252e-05,6.73259714567571e-05,5.28022623123908e-05,4.1048970441228e-05,3.1632367443951e-05
-1.22727272727273,-1.22727272727273,2.37203841234601e-07,3.20487156063059e-07,4.29192945874342e-07,5.69702054623101e-07,7.49543031033314e-07,9.7746079851913e-07,1.26344600349575e-06,1.61871110344532e-06,2.05559881876391e-06,2.58740921225902e-06,3.22813366624229e-06,3.9920876481045e-06,4.89343956460588e-06,5.94564026671784e-06,7.16076680479945e-06,8.54880461175646e-06,1.01169040058282e-05,1.18686591941985e-05,1.38034701359093e-05,1.5916058919955e-05,1.81962219455891e-05,2.06289064189256e-05,2.31947038765726e-05,2.58708541458778e-05,2.86328500634628e-05,3.14567262713844e-05,3.43221044682048e-05,3.72160525895005e-05,4.01377963858577e-05,4.31042983566397e-05,4.61566902148291e-05,4.93675098031082e-05,5.28486500591258e-05,5.6759874404637e-05,6.1317688038176e-05,6.68042767874796e-05,7.35761342618928e-05,8.20718956209459e-05,9.28187863307236e-05,0.000106436983752085,0.000123641088497605,0.000145237824633814,0.000172119049126942,0.000205249169213161,0.000245646159407942,0.000294355553306122,0.000352417070164715,0.000420823926204618,0.000500475369553519,0.00059212354804994,0.000696316440371283,0.000813339210453438,0.000943156929788242,0.00108536209178854,0.00123913065489827,0.00140319043863506,0.00157580551252661,0.0017547797330704,0.00193748179329897,0.00212089307600743,0.0023016782973455,0.00247627747235014,0.00264101623128705,0.00279223008384605,0.00292639699068663,0.0030402716750109,0.00313101458815653,0.00319630840002375,0.00323445534634028,0.00324444971581281,0.00322602114275201,0.00317964608671176,0.00310652680069774,0.00300853906484225,0.00288815183904838,0.00274832362124844,0.00259238156581033,0.00242389023147373,0.00224651714354728,0.0020639021686983,0.00187953705276212,0.00169666043938686,0.00151817237409146,0.001346570824384,0.00118391123558774,0.00103178870969724,0.000891341139047024,0.000763270621207692,0.000647879771079685,0.000545119146054736,0.000454641898707361,0.000375861934617619,0.000308012230109933,0.000250200495894696,0.000201459994988254,0.000160793977157564,0.000127212825567585,9.97635832905375e-05,7.7552009302614e-05,5.97576895176412e-05
