"x","y","z.1","z.2","z.3","z.4","z.5","z.6","z.7","z.8","z.9","z.10","z.11","z.12","z.13","z.14","z.15","z.16","z.17","z.18","z.19","z.20","z.21","z.22","z.23","z.24","z.25","z.26","z.27","z.28","z.29","z.30","z.31","z.32","z.33","z.34","z.35","z.36","z.37","z.38","z.39","z.40","z.41","z.42","z.43","z.44","z.45","z.46","z.47","z.48","z.49","z.50","z.51","z.52","z.53","z.54","z.55","z.56","z.57","z.58","z.59","z.60","z.61","z.62","z.63","z.64","z.65","z.66","z.67","z.68","z.69","z.70","z.71","z.72","z.73","z.74","z.75","z.76","z.77","z.78","z.79","z.80","z.81","z.82","z.83","z.84","z.85","z.86","z.87","z.88","z.89","z.90","z.91","z.92","z.93","z.94","z.95","z.96","z.97","z.98","z.99","z.100"
-1.5,-1.5,2.52116760057873e-310,4.81524943722005e-309,8.45306835549254e-308,1.36391872765062e-306,2.02274494408711e-305,2.75722543397272e-304,3.45447415348001e-303,3.97804910030272e-302,4.21053082188663e-301,4.09620876351566e-300,3.66273782900582e-299,3.01028840224377e-298,2.27399181344827e-297,1.5788766728591e-296,1.00759508344746e-295,5.91020290540024e-295,3.18637776176801e-294,1.57895827522593e-293,7.1915510052009e-293,3.01059957662122e-292,1.15840906510379e-291,4.09684391924133e-291,1.33172762811668e-290,3.97887156663968e-290,1.09265473457348e-289,2.75793802667031e-289,6.39829962849043e-289,1.36434173691364e-288,2.67399306068187e-288,4.81699179751908e-288,7.97572291392137e-288,1.21378768958392e-287,1.69782889040025e-287,2.18284867794535e-287,2.57947819371647e-287,2.8016805265119e-287,2.79694471546405e-287,2.56641965577148e-287,2.16446208872163e-287,1.67784104359591e-287,1.19544655410718e-287,7.8286708697477e-288,4.71220770923873e-288,2.60698982346969e-288,1.32566187432751e-288,6.19590452066009e-289,2.66167598966978e-289,1.05095513678081e-289,3.81409659322378e-290,1.27226540371798e-290,3.90069746338997e-291,1.09922181324697e-291,2.84712757882669e-292,6.77808542898503e-293,1.48315202243091e-293,2.98292832659655e-294,5.51414888732934e-295,9.36898790391196e-296,1.46313833145345e-296,2.1001804818902e-297,2.77080758523872e-298,3.35996410420668e-299,3.74491036669731e-300,3.83642521898261e-301,3.6123561925127e-302,3.12631631163524e-303,2.48687402487694e-304,1.81824823974518e-305,1.22188711568741e-306,7.54722877810486e-308,4.28472017463897e-309,2.23581535197116e-310,1.07232868421955e-311,4.72713965183629e-313,1.91534698337273e-314,7.13304588466186e-316,2.441635366824e-317,7.68178206810429e-319,2.22033101241056e-320,6.07700744384733e-322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.46969696969697,-1.46969696969697,2.33401696101929e-300,4.45780512727753e-299,7.82558244248166e-298,1.26267267672818e-296,1.87259308115652e-295,2.55255181110344e-294,3.19804254943913e-293,3.68275162021171e-292,3.89797582040494e-291,3.79214008639921e-290,3.39084645060577e-289,2.78682947569874e-288,2.10518945900999e-287,1.4616739202904e-286,9.3279955360799e-286,5.47147829749592e-285,2.94984741637242e-284,1.46174946502699e-283,6.65770970601958e-283,2.78711755049526e-282,1.07241835182188e-281,3.7927280922068e-281,1.23287117738226e-280,3.68351303179115e-280,1.01154507920216e-279,2.55321150526877e-279,5.92334275372343e-279,1.26306428428427e-278,2.47549791959841e-278,4.45941814462917e-278,7.38367117357845e-278,1.12368612489579e-277,1.57179610812884e-277,2.02081203589848e-277,2.38799905501949e-277,2.59370692338332e-277,2.58932265979438e-277,2.37590987497006e-277,2.00379031504736e-277,1.55329199382111e-277,1.10670648368049e-277,7.24753505739886e-278,4.36241236074744e-278,2.41346844875642e-278,1.22725569490233e-278,5.73597178534072e-279,2.46409516601559e-279,9.72940914780659e-280,3.5309695900412e-280,1.17782293688323e-280,3.6111419274583e-281,1.01762467216347e-281,2.63578036215605e-282,6.27493639540062e-283,1.37305507624066e-283,2.76150038495808e-284,5.10482405470542e-285,8.67351168736524e-286,1.35452703624393e-286,1.94428044331641e-287,2.56512573401451e-288,3.11054814306846e-289,3.46691917705384e-290,3.55164072318031e-291,3.34420472904766e-292,2.8942444312492e-293,2.3022690541358e-294,1.68327652033321e-295,1.13118431651687e-296,6.98698490011787e-298,3.96665796699868e-299,2.06984690181793e-300,9.92727866728633e-302,4.37623587948953e-303,1.77316745596409e-304,6.60354742455488e-306,2.2603899642835e-307,7.11161045442231e-309,2.05651115194114e-310,5.46603864839009e-312,1.33534304052255e-313,2.99841345184313e-315,6.18826411037174e-317,1.17386538992359e-318,2.04740803636613e-320,3.45845952088873e-322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.43939393939394,-1.43939393939394,1.43976553386637e-290,2.74984898777865e-289,4.82730162942222e-288,7.78894339643831e-287,1.15513084115295e-285,1.57457129899561e-284,1.97274977489616e-283,2.27174820745849e-282,2.40451176054141e-281,2.33922575582125e-280,2.09168310506006e-279,1.71908820277018e-278,1.2986106236273e-277,9.01650572565074e-277,5.75408263010459e-276,3.37514507909014e-275,1.81964771671347e-274,9.01697173079837e-274,4.10688573149207e-273,1.71926590453227e-272,6.61533743818279e-272,2.33958847292167e-271,7.60510936989172e-271,2.27221789150971e-270,6.23983356964357e-270,1.57497823758277e-269,3.65388292803021e-269,7.79135906393913e-269,1.52703970759335e-268,2.75084399208888e-268,4.5547035125454e-268,6.93158866329613e-268,9.69580725673404e-268,1.24656142744774e-267,1.47306501439741e-267,1.59995830751675e-267,1.59725382348139e-267,1.46560766294457e-267,1.23606138077773e-267,9.58166247341655e-268,6.82684776972114e-268,4.47072636440433e-268,2.69100484497141e-268,1.48877610636184e-268,7.57046961150793e-269,3.53830096480318e-269,1.52000578621249e-269,6.00169928704186e-270,2.1781196935144e-270,7.26553788945611e-271,2.22757493308462e-271,6.2773362458057e-272,1.62591179792831e-272,3.87076755825761e-273,8.46985006685698e-274,1.70346365742237e-274,3.14897014032278e-275,5.35035664746736e-276,8.35555769538741e-277,1.19935202365453e-277,1.58232766810647e-278,1.91877783006387e-279,2.13860945067728e-280,2.19087092259735e-281,2.06291161497924e-282,1.78534836756612e-283,1.42018146536598e-284,1.03834871557184e-285,6.97784213076103e-287,4.31000296690394e-288,2.44687914040973e-289,1.27680915522236e-290,6.12375740336228e-292,2.69953204337798e-293,1.09379898558123e-294,4.07347509673765e-296,1.39434786130045e-297,4.38687969076542e-299,1.26858284267716e-300,3.37178956711902e-302,8.23721898347481e-304,1.84960623530965e-305,3.81730156096008e-307,7.24122728133198e-309,1.26254366751924e-310,2.02329476078619e-312,2.98023441954543e-314,4.0347833912702e-316,5.02076920288562e-318,5.74351313290449e-320,6.07700744384733e-322,0,0,0,0,0,0,0,0,0
-1.40909090909091,-1.40909090909091,5.91786444786164e-281,1.13026969838248e-279,1.98416450486001e-278,3.20148733193049e-277,4.74793122209692e-276,6.47195621846431e-275,8.10858814659818e-274,9.33756060639371e-273,9.8832582837201e-272,9.61491339131225e-271,8.59743949256145e-270,7.06596365795291e-269,5.3376757846561e-268,3.70605194465399e-267,2.36509904928126e-266,1.3872849818845e-265,7.47929315756442e-265,3.70624348578371e-264,1.68805214688262e-263,7.0666940617393e-263,2.71910038266837e-262,9.61640425943682e-262,3.12592607557189e-261,9.33949113789119e-261,2.56475712747887e-260,6.47362884811275e-260,1.50185452507709e-259,3.20248023731996e-259,6.27658723590003e-259,1.13067867211503e-258,1.87211856949964e-258,2.84908903879693e-258,3.98526506967761e-258,5.12373810909437e-258,6.054735198122e-258,6.57630436220219e-258,6.56518812865154e-258,6.02408326624286e-258,5.08057979514039e-258,3.93834816968981e-258,2.8060374171112e-258,1.83760146458588e-258,1.10608300335377e-258,6.11931245727422e-259,3.11168810427917e-259,1.45434690138362e-259,6.24767572699207e-260,2.46687685641842e-260,8.95271956399618e-261,2.98635209990934e-261,9.15599530320947e-262,2.5801718420137e-262,6.68298092429206e-263,1.59100055655809e-263,3.48136021280212e-264,7.00174212540863e-265,1.29432035647311e-265,2.19915566506287e-266,3.43438264984829e-267,4.92969342234536e-268,6.50383719175973e-269,7.88674739462979e-270,8.79032071821119e-271,9.00513090678143e-272,8.47918010613797e-273,7.33831263097605e-274,5.83736808731553e-275,4.26792195476311e-276,2.86810058895681e-277,1.77153936935414e-278,1.0057400801282e-279,5.24806526352008e-281,2.51704637136703e-282,1.10958793541401e-283,4.49583905160923e-285,1.67431938199668e-286,5.73118429345627e-288,1.80313798864703e-289,5.21425267301507e-291,1.38590576600351e-292,3.38574192065761e-294,7.60243157327799e-296,1.56902444194598e-297,2.97635971710814e-299,5.18942986747857e-301,8.31634305607207e-303,1.22496495733812e-304,1.65841590385194e-306,2.06367718464143e-308,2.36030752845005e-310,2.48126951847458e-312,2.3974955484474e-314,2.12921829158527e-316,1.73805377287909e-318,1.30285110808337e-320,8.89318162514244e-323,0,0,0,0
-1.37878787878788,-1.37878787878788,1.62077873010792e-271,3.095571217895e-270,5.43420967508701e-269,8.76820111696649e-268,1.30035859947503e-266,1.77253282073457e-265,2.22077191670067e-264,2.55736164985175e-263,2.70681677696769e-262,2.63332274893017e-261,2.35465802689161e-260,1.93521897501703e-259,1.46187724133309e-258,1.01500975537887e-257,6.47750933625813e-257,3.79948206572069e-256,2.04842123898307e-255,1.01506221412079e-254,4.62322013172751e-254,1.93541901590255e-253,7.44704460178546e-253,2.63373106348024e-252,8.56125469034934e-252,2.5578903778842e-251,7.02433085584081e-251,1.77299091514502e-250,4.11326396869058e-250,8.77092045225188e-250,1.71902535775291e-249,3.09669130014309e-249,5.12733938464175e-249,7.80305621489714e-249,1.09148036253303e-248,1.40328420594242e-248,1.6582647461075e-248,1.80111158070012e-248,1.79806707789451e-248,1.64986982599536e-248,1.3914640505518e-248,1.07863080939871e-248,7.68514686867797e-249,5.03280428666254e-249,3.02932893118594e-249,1.67595110037032e-249,8.52225987604029e-250,3.98315056911484e-250,1.71110710270504e-250,6.75625735866774e-251,2.45196177007496e-251,8.17899089612288e-252,2.50763472371654e-252,7.06654851811821e-253,1.83032804940023e-253,4.35741621630401e-254,9.53471410397268e-255,1.91763004442776e-255,3.54487148802308e-256,6.02302527022151e-257,9.40605243014515e-258,1.35013944346421e-258,1.78126434529507e-259,2.16001439153411e-260,2.40748413857617e-261,2.46631613553703e-262,2.32226926275296e-263,2.00980963372224e-264,1.59873246173021e-265,1.16889414392694e-266,7.8551248550428e-268,4.85187408889281e-269,2.75451074887097e-270,1.43733480098531e-271,6.89366111814028e-273,3.03892820352205e-274,1.23131584765581e-275,4.58560897181505e-277,1.56965095177094e-278,4.93841606748798e-280,1.4280742429302e-281,3.79570468036697e-283,9.2728356934489e-285,2.08214626222896e-286,4.29722825605773e-288,8.15162385914499e-290,1.42127579808121e-291,2.27767161633858e-293,3.35492162303384e-295,4.54205268688365e-297,5.65197817965312e-299,6.4643863620495e-301,6.79567583571083e-303,6.56623653068701e-305,5.83148162744781e-307,4.7601410356699e-309,3.57140620684083e-311,2.46284566616529e-313,1.56103870306363e-315,9.09430586825149e-318,4.86951100541133e-320,2.61854792295861e-322
-1.34848484848485,-1.34848484848485,2.95779397389896e-262,5.64917450970069e-261,9.91700613483397e-260,1.60012788282784e-258,2.3730523786517e-257,3.23473327004149e-256,4.05273443593529e-255,4.66698427788185e-254,4.93972815231158e-253,4.8056073186046e-252,4.29706607316662e-251,3.53162272607758e-250,2.66781121614088e-249,1.85231313058803e-248,1.18209460861254e-247,6.93375652838541e-247,3.73820796921105e-246,1.85240886271135e-245,8.43701383649965e-245,3.53198778122535e-244,1.35902718334308e-243,4.80635245259394e-243,1.56236177817345e-242,4.66794915405095e-242,1.28188524254898e-241,3.23556924615501e-241,7.50638386480408e-241,1.60062413356144e-240,3.1370863397017e-240,5.65121854187089e-240,9.35699189612067e-240,1.42399650752266e-239,1.99186598358502e-239,2.56088352206551e-239,3.02620299257852e-239,3.28688725259288e-239,3.28133127391579e-239,3.01088292223584e-239,2.53931266616229e-239,1.96841655758769e-239,1.40247897722386e-239,9.18447276166304e-240,5.52828750526792e-240,3.05847920051939e-240,1.55524552992008e-240,7.26893712195066e-241,3.12263614508527e-241,1.23296393313105e-241,4.47463775788554e-242,1.49260163562695e-242,4.57623652807672e-243,1.28958963401318e-243,3.3402050142206e-244,7.95194254903488e-245,1.74001047897251e-245,3.49952430215146e-246,6.46911220251867e-247,1.09915483264392e-247,1.71653073345066e-248,2.46389850190568e-249,3.25066760556659e-250,3.94185670906086e-251,4.39346957168078e-252,4.50083334797344e-253,4.2379591124439e-254,3.66774481672701e-255,2.91756124632649e-256,2.13314005752228e-257,1.43349862536161e-258,8.85428935275073e-260,5.02676589476884e-261,2.62302318475868e-262,1.25803904061544e-263,5.54580542347389e-265,2.24705476688245e-266,8.36837641519145e-268,2.86448977346661e-269,9.01222167035329e-271,2.60612339323489e-272,6.92686308872671e-274,1.69221972470638e-275,3.79975348550227e-277,7.8421042460645e-279,1.48760736616684e-280,2.59371676504454e-282,4.15657190851962e-284,6.12246860941431e-286,8.28888961423868e-288,1.03144165122778e-289,1.17969976732212e-291,1.24015749572906e-293,1.19828662360107e-295,1.06419962139482e-297,8.68688373140394e-300,6.51753598138919e-302,4.49450001377907e-304,2.84877306659484e-306,1.65963598664622e-308,8.88681934625148e-311,4.37379456223685e-313
-1.31818181818182,-1.31818181818182,3.5966451093058e-253,6.8693343859767e-252,1.20589709292768e-250,1.9457379923281e-249,2.88560571762883e-248,3.9334002473125e-247,4.92808070796554e-246,5.67500178855941e-245,6.00665535117907e-244,5.84356588342218e-243,5.22518529502782e-242,4.29441456465755e-241,3.24402922612244e-240,2.25239248326412e-239,1.43741409935666e-238,8.43137200756614e-238,4.54561995294003e-237,2.25250889070638e-236,1.02593164271072e-235,4.29485846079179e-235,1.65256217112885e-234,5.84447194345173e-234,1.89981481118255e-233,5.67617504720294e-233,1.55875841541173e-232,3.93441676629838e-232,9.12768056665566e-232,1.94634141562555e-231,3.81466263005719e-231,6.87181985150466e-231,1.13779996620704e-230,1.73156415659087e-230,2.42208721972532e-230,3.1140063141541e-230,3.67982969368848e-230,3.99681889856665e-230,3.99006288927199e-230,3.66120065573661e-230,3.08777638933471e-230,2.39357297421639e-230,1.70539907511371e-230,1.11682182815891e-230,6.72233705557104e-231,3.71907720855212e-231,1.89116152988747e-231,8.83894792407133e-232,3.79709135035867e-232,1.49927063809167e-232,5.44111050306596e-233,1.81498724051016e-233,5.56465349476461e-234,1.56812687011924e-234,4.06165271210321e-235,9.66947504215447e-236,2.11583368412434e-236,4.25538322117432e-237,7.86636958214937e-238,1.33656023746206e-238,2.08728257072705e-239,2.99607359125021e-240,3.95277620381904e-241,4.79325458307097e-242,5.34241087749674e-243,5.47296405350831e-244,5.15331186236169e-245,4.45993752432442e-246,3.54772251947709e-247,2.59387494565698e-248,1.74311862732363e-249,1.07667188718738e-250,6.11249226984692e-252,3.18956746267931e-253,1.5297616940794e-254,6.74363865170301e-256,2.73239398452352e-257,1.01758540619889e-258,3.48318818975865e-260,1.09587628402199e-261,3.16901750128455e-263,8.42298964590705e-265,2.05772065034704e-266,4.62045861964047e-268,9.53591286858294e-270,1.80891426348315e-271,3.15393117729281e-273,5.0543459137927e-275,7.444854769597e-277,1.00791989826351e-278,1.25422175050366e-280,1.43450199580187e-282,1.50801793135062e-284,1.45710340945495e-286,1.29405508342822e-288,1.05631554698725e-290,7.92525236673949e-293,5.46526278845646e-295,3.46407684634234e-297,2.01809918175389e-299,1.08062749876261e-301,5.31848628135887e-304
-1.28787878787879,-1.28787878787879,2.91415555834296e-244,5.56582824944934e-243,9.77069351922356e-242,1.57652005964835e-240,2.33804104719839e-239,3.18700894173026e-238,3.99294154695577e-237,4.59812891588684e-236,4.86684879900604e-235,4.73470674134399e-234,4.23366836638852e-233,3.47951815276877e-232,2.62845107418263e-231,1.82498461854981e-230,1.16465431330779e-229,6.83145780818736e-229,3.68305548421284e-228,1.82507893466154e-227,8.31253646466336e-227,3.47987780788944e-226,1.3389764708074e-225,4.73544085181972e-225,1.53931112229431e-224,4.59907951538994e-224,1.26297265981687e-223,3.18783254578048e-223,7.39563673693546e-223,1.57700896407847e-222,3.09080262784702e-222,5.56784201213618e-222,9.21894140095112e-222,1.40298725302266e-221,1.96247853820134e-221,2.52310094753492e-221,2.98155522176447e-221,3.23839341736904e-221,3.23291940992488e-221,2.966461179115e-221,2.50184834152273e-221,1.93937507794175e-221,1.38178718584585e-221,9.04896756141656e-222,5.44672466262152e-222,3.01335523439121e-222,1.53229986244816e-222,7.16169321025908e-223,3.07656562477129e-223,1.21477312019562e-223,4.40862017514201e-224,1.47058019894579e-224,4.50871998474556e-225,1.27056338090722e-225,3.29092454205812e-226,7.83462176125616e-227,1.71433883975181e-227,3.44789327667863e-228,6.37366868843246e-229,1.08293820252532e-229,1.69120550794798e-230,2.42754681651172e-231,3.20270814374141e-232,3.88369963201274e-233,4.32864952181818e-234,4.43442928227465e-235,4.1754334213968e-236,3.61363191162491e-237,2.87451634468851e-238,2.10166829182048e-239,1.412349178228e-240,8.72365558633259e-242,4.95260236389469e-243,2.58432381720688e-244,1.23947827626045e-245,5.4639841251631e-247,2.21390233466193e-248,8.24491167547964e-250,2.8222278738156e-251,8.87925781361167e-253,2.56767336057993e-254,6.82466604285543e-256,1.66725317713373e-257,3.74369296051429e-259,7.72640398215787e-261,1.46565961343911e-262,2.55544977638849e-264,4.0952469819829e-266,6.0321393799523e-268,8.16659760104548e-270,1.01622404285182e-271,1.16229479919901e-273,1.22186055079539e-275,1.18060743007731e-277,1.04849871087466e-279,8.55871982171595e-282,6.42137803583144e-284,4.4281893882804e-286,2.80674304693275e-288,1.63515017064043e-290,8.7557056411109e-293,4.30926479190895e-295
-1.25757575757576,-1.25757575757576,1.57330655641672e-235,3.00490275186788e-234,5.27504307849383e-233,8.51138273568327e-232,1.26227142179942e-230,1.72061577238157e-229,2.15572604926241e-228,2.48245714436829e-227,2.62753476035136e-226,2.55619334915829e-225,2.2856906463103e-224,1.87853686242614e-223,1.41905919551927e-222,9.85280353337545e-222,6.2877845712313e-221,3.6881961019878e-220,1.98842344576414e-219,9.85331271342359e-219,4.48780705562688e-218,1.87873102760625e-217,7.22892233331297e-217,2.55658966904412e-216,8.31049744892749e-216,2.48297033778228e-215,6.81858976502951e-215,1.72106040435755e-214,3.99278737776373e-214,8.51402213169729e-214,1.66867548471504e-213,3.00598989524853e-213,4.9771607443853e-213,7.57450641714231e-213,1.05951114295985e-212,1.36218232022586e-212,1.60969453624457e-212,1.74835741824944e-212,1.74540208807857e-212,1.60154550098976e-212,1.35070837386755e-212,1.04703794961823e-212,7.46005060233991e-213,4.88539455256902e-213,2.94060055082726e-213,1.62686285993519e-213,8.27264475162312e-214,3.8664849615651e-214,1.66098915047587e-214,6.55836806035622e-215,2.38014434678216e-215,7.93943004369244e-216,2.43418665169181e-216,6.85957085907228e-217,1.77671814150868e-217,4.22978844914117e-218,9.25544441483267e-219,1.8614630801359e-219,3.44104297796295e-220,5.84661217818767e-221,9.13055121288813e-222,1.31059415461962e-222,1.72909150240794e-223,2.09674804265983e-224,2.33696945494927e-225,2.39407827558051e-226,2.25425050417144e-227,1.95094274929951e-228,1.55190593772539e-229,1.13465749019927e-230,7.62504996667747e-232,4.70976375836872e-233,2.6738317316888e-234,1.39523557913239e-235,6.69174729221065e-237,2.94991866130411e-238,1.19525087586617e-239,4.45129748826783e-241,1.52367621879928e-242,4.79377094128506e-244,1.38624626078387e-245,3.68452932068702e-247,9.00123636465248e-249,2.02116065372852e-250,4.17136338055879e-252,7.91286457966834e-254,1.37964694089198e-255,2.21095911298782e-257,3.2566567026584e-259,4.40901695735774e-261,5.48643297526274e-263,6.27504589972682e-265,6.59663197717966e-267,6.37391289920399e-269,5.66067880633668e-271,4.62071754611334e-273,3.46680050036296e-275,2.3907094554049e-277,1.51531620552469e-279,8.82791730702082e-282,4.72706707629588e-284,2.32650394563614e-286
-1.22727272727273,-1.22727272727273,5.65977874210175e-227,1.08097716803188e-225,1.89763249642469e-224,3.06186626035728e-223,4.54086766895007e-222,6.18970562058544e-221,7.75496181738441e-220,8.93033710869513e-219,9.45223614071774e-218,9.1955940938124e-217,8.2224935715427e-216,6.75780744117671e-215,5.10489252201796e-214,3.54442599661866e-213,2.26195386948375e-212,1.32678359823511e-211,7.15311100480935e-211,3.5446091582851e-210,1.61443389087017e-209,6.75850588900593e-209,2.60051670106653e-208,9.1970197259882e-208,2.98960016428344e-207,8.93218314934278e-207,2.45290455785847e-206,6.19130502743401e-206,1.43635659142098e-205,3.06281568465699e-205,6.00285666080156e-205,1.08136822453678e-204,1.79047291050152e-204,2.72483635655584e-204,3.81146219069411e-204,4.90028485720619e-204,5.79067988396744e-204,6.289502699504e-204,6.27887125903021e-204,5.76136472179048e-204,4.85900873213068e-204,3.76659139623027e-204,2.68366227062445e-204,1.75746114017442e-204,1.05784520391745e-204,5.85244083314113e-205,2.97598311040747e-205,1.39092083456469e-205,5.97520600312351e-206,2.35929296666106e-206,8.5622791603431e-207,2.85611318065529e-207,8.75668976452561e-208,2.46764700185146e-208,6.39152694105126e-209,1.52161483556492e-209,3.32953330895131e-210,6.69638652760399e-211,1.23787326669379e-211,2.10324746375133e-212,3.28460450185099e-213,4.71470271615746e-214,6.22019591199646e-215,7.54279549996348e-216,8.40696274880987e-217,8.61240476971222e-218,8.10939140638166e-219,7.01827872997959e-220,5.58279244101517e-221,4.08179201163282e-222,2.74301877976968e-223,1.69428010228406e-224,9.61878372731518e-226,5.01918992330764e-227,2.40727451913406e-228,1.06119728028795e-229,4.29976933048411e-231,1.6013000121861e-232,5.48123946817722e-234,1.72450066231671e-235,4.98685194627513e-237,1.32546451043817e-238,3.23808506134569e-240,7.2708790818071e-242,1.50059712919702e-243,2.84655657843469e-245,4.96311169737825e-247,7.95365590344262e-249,1.17154255166552e-250,1.58609010656293e-252,1.97367738580851e-254,2.25737127256277e-256,2.37305794394274e-258,2.29293747048172e-260,2.03636019956133e-262,1.66224681283555e-264,1.24713922133407e-266,8.6002858495528e-269,5.45116533943849e-271,3.17573564303003e-273,1.70050475996719e-275,8.36931435450792e-278
