"x","y","z.1","z.2","z.3","z.4","z.5","z.6","z.7","z.8","z.9","z.10","z.11","z.12","z.13","z.14","z.15","z.16","z.17","z.18","z.19","z.20","z.21","z.22","z.23","z.24","z.25","z.26","z.27","z.28","z.29","z.30","z.31","z.32","z.33","z.34","z.35","z.36","z.37","z.38","z.39","z.40","z.41","z.42","z.43","z.44","z.45","z.46","z.47","z.48","z.49","z.50","z.51","z.52","z.53","z.54","z.55","z.56","z.57","z.58","z.59","z.60","z.61","z.62","z.63","z.64","z.65","z.66","z.67","z.68","z.69","z.70","z.71","z.72","z.73","z.74","z.75","z.76","z.77","z.78","z.79","z.80","z.81","z.82","z.83","z.84","z.85","z.86","z.87","z.88","z.89","z.90","z.91","z.92","z.93","z.94","z.95","z.96","z.97","z.98","z.99","z.100"
-1.5,-1.5,7.90258761342255e-72,8.21282622223491e-70,7.52910249365035e-68,6.07385725090657e-66,4.303343790787e-64,2.67364212056758e-62,1.45495323494817e-60,6.92886859836695e-59,2.8857610774681e-57,1.05059446775724e-55,3.34221517660931e-54,9.28854160001187e-53,2.25472792849575e-51,4.77987020140549e-50,8.84853546486175e-49,1.4303084525566e-47,2.01868788607836e-46,2.48756293311807e-45,2.67628963092438e-44,2.51384365680853e-43,2.06150363405494e-42,1.47593671588559e-41,9.22550362335112e-41,5.03455119814798e-40,2.39890646014751e-39,9.98276948738034e-39,3.6306410585206e-38,1.15645124016497e-37,3.24614454352537e-37,8.1715851883209e-37,1.92996439248049e-36,4.68483454877096e-36,1.29424455569986e-35,4.07672614231918e-35,1.32379645846737e-34,4.0404638152733e-34,1.10682282075562e-33,2.67272186169151e-33,5.65325966120806e-33,1.04513904554977e-32,1.68759189537239e-32,2.37948262347369e-32,2.92953979694925e-32,3.14941308596246e-32,2.95667935624103e-32,2.42423107228881e-32,1.73626745817947e-32,1.08654988155886e-32,5.94363165293226e-33,2.84378278991807e-33,1.191248674037e-33,4.37536116459832e-34,1.4122656988509e-34,4.01976084476266e-35,1.01406149475457e-35,2.28357437224341e-36,4.63377625713996e-37,8.56639689991653e-38,1.45822170312111e-38,2.30228098405595e-39,3.37538479255585e-40,4.57109634219276e-41,5.66303989919169e-42,6.34832443456393e-43,6.37629478528482e-44,5.69390821108822e-45,4.49517750552533e-46,3.12531359097089e-47,1.90859904215252e-48,1.02199420554001e-49,4.79270667029339e-51,1.96679891267483e-52,7.05894371193956e-54,2.21484906570421e-55,6.07357490113674e-57,1.455272047286e-58,3.04628298602667e-60,5.57013896064691e-62,8.89585120861602e-64,1.24079550866333e-65,1.51139202738159e-67,1.60767100223375e-69,1.49328977832616e-71,1.21117120305034e-73,8.57773190672146e-76,5.30442897582096e-78,2.86417938474082e-80,1.35037845560251e-82,5.5591032414802e-85,1.99825073868767e-87,6.27184060566437e-90,1.71887909900399e-92,4.11346857819086e-95,8.59592564172271e-98,1.56859118934882e-100,2.49961287943874e-103,3.47854187162731e-106,4.22767553354473e-109,4.48753351541376e-112,4.16045712260592e-115
-1.46969696969697,-1.46969696969697,3.04606656857171e-69,3.10396310936393e-67,2.80187745175207e-65,2.23360066170615e-63,1.56835199587528e-61,9.67896402779262e-60,5.24111244622856e-58,2.48690404462122e-56,1.03301355670235e-54,3.75356762422008e-53,1.19244216964068e-51,3.31064052562852e-50,8.03048984859899e-49,1.7015143214967e-47,3.14866370103447e-46,5.08822129147276e-45,7.17992750844119e-44,8.84633685562996e-43,9.51652150732815e-42,8.93822868670828e-41,7.32949636423217e-40,5.247355575338e-39,3.27980941013982e-38,1.78979644760033e-37,8.52763945758093e-37,3.54812508104212e-36,1.28985256628207e-35,4.10322483615727e-35,1.14745214382875e-34,2.85790751021918e-34,6.56544505599065e-34,1.50345502961837e-33,3.82578648302937e-33,1.12538075609923e-32,3.52468922848817e-32,1.06017972865915e-31,2.88888103748566e-31,6.96310412089096e-31,1.47186184838744e-30,2.72046261902363e-30,4.39242132649106e-30,6.19324041807363e-30,7.62527900899941e-30,8.19843551316404e-30,7.6980866091398e-30,6.31358255200769e-30,4.52386259899279e-30,2.83291777409333e-30,1.55123861374524e-30,7.4334994899505e-31,3.12114716000097e-31,1.15043342948411e-31,3.73318427847107e-32,1.07108006590514e-32,2.73374830891274e-33,6.2591718783337e-34,1.29892471789619e-34,2.47019686548117e-35,4.34395047453474e-36,7.09279660486533e-37,1.07267553478798e-37,1.49070487619973e-38,1.88361745290694e-39,2.14161754152244e-40,2.17204858893225e-41,1.95229837954599e-42,1.54801523945616e-43,1.0794276583522e-44,6.60514848508068e-46,3.54178796484576e-47,1.66260994500133e-48,6.82797456060616e-50,2.45198657147398e-51,7.69691996280524e-53,2.1114249231671e-54,5.06067767233347e-56,1.05962081891667e-57,1.93798403728554e-59,3.09576617713277e-61,4.31890248078746e-63,5.26189165237099e-65,5.5982877215314e-67,5.20115130588227e-69,4.2195361430809e-71,2.98912550406538e-73,1.8489872507222e-75,9.98694497352479e-78,4.71022152580532e-80,1.93982736841257e-82,6.97594668011124e-85,2.19062932174206e-87,6.00716879430432e-90,1.43852622890394e-92,3.00834095600394e-95,5.49433002652582e-98,8.76397467072689e-101,1.22098451520233e-103,1.48583405717232e-106,1.57948489837652e-109,1.46685253217372e-112
-1.43939393939394,-1.43939393939394,9.73542855156357e-67,9.6626503663638e-65,8.53607116352707e-63,6.6891021219391e-61,4.63480809544842e-59,2.8315530231802e-57,1.52169092891916e-55,7.17993395912768e-54,2.97010527602146e-52,1.07596330273925e-50,3.41063490335196e-49,9.4540282815253e-48,2.29057920080742e-46,4.84927107921545e-45,8.96820625791039e-44,1.44862750204855e-42,2.04350129324746e-41,2.51721590561347e-40,2.70747689155418e-39,2.54265373827516e-38,2.08484234708278e-37,1.49249456497612e-36,9.32825178129627e-36,5.09021964097868e-35,2.42513786357756e-34,1.00891192951645e-33,3.66650071104036e-33,1.16526673425859e-32,3.24961424583952e-32,8.0296236128835e-32,1.80564467149748e-31,3.93859818526273e-31,9.26715534585338e-31,2.52658917650966e-30,7.56594339139386e-30,2.23236588323655e-29,6.03983125055977e-29,1.45214705717366e-28,3.06685990715336e-28,5.66676777097962e-28,9.14857214543481e-28,1.2899267885682e-27,1.58828805771697e-27,1.70789695511086e-27,1.60402655600799e-27,1.31601649877609e-27,9.43490985020362e-28,5.91334822403607e-28,3.24221381586328e-28,1.55671801337977e-28,6.55574172729348e-29,2.4272577478434e-29,7.92956762452803e-30,2.29772178574712e-30,5.94884815260613e-31,1.38918070552726e-31,2.95782349073616e-32,5.80072973529072e-33,1.05469772226648e-33,1.77884150914123e-34,2.76732834596292e-35,3.93296496318381e-36,5.05239337816902e-37,5.81129665325565e-38,5.9404245112188e-39,5.367693147487e-40,4.27128553237536e-41,2.98556559413168e-42,1.82997632411945e-43,9.8244162875273e-45,4.61592380442807e-46,1.8969355044814e-47,6.81567764854483e-49,2.14040304951521e-50,5.87370927033118e-52,1.40826235334678e-53,2.94951196536451e-55,5.39593358977889e-57,8.62178970520065e-59,1.20313752380499e-60,1.46622043577182e-62,1.56039269299962e-64,1.45013413910451e-66,1.17683317700567e-68,8.33969706143339e-71,5.16075794354432e-73,2.78873030454917e-75,1.31593352958377e-77,5.42254257637294e-80,1.95129682609849e-82,6.13207598606362e-85,1.68294883335594e-87,4.03396442134044e-90,8.44526301422398e-93,1.54433203558648e-95,2.46686870033537e-98,3.44244419699274e-101,4.19709488082691e-104,4.47143855303648e-107,4.16323907455949e-110
-1.40909090909091,-1.40909090909091,2.60389025162235e-64,2.50122880288676e-62,2.14792473037466e-60,1.6440118733497e-58,1.11775575438056e-56,6.72827911230687e-55,3.57498295973785e-53,1.67243844703696e-51,6.87437719912803e-50,2.47865948122293e-48,7.82994007886868e-47,2.16495746363511e-45,5.23583011038729e-44,1.10698771619891e-42,2.04529993879344e-41,3.30147930170304e-40,4.65490381517146e-39,5.73192562490412e-38,6.16357474668652e-37,5.78727788501984e-36,4.7446270609179e-35,3.39624795008603e-34,2.12253839282915e-33,1.15815424445447e-32,5.51746305281486e-32,2.29515103333301e-31,8.33875212206052e-31,2.64831626230622e-30,7.3703770035622e-30,1.81046804064647e-29,4.00553791437669e-29,8.39935046760862e-29,1.83981179179642e-28,4.62636711971703e-28,1.31215491361016e-27,3.77596374084236e-27,1.01192564738234e-26,2.42473108731148e-26,5.11482929443132e-26,9.44694362998386e-26,1.52493287477741e-25,2.15009985413665e-25,2.64762266656739e-25,2.84748200622884e-25,2.67507181606579e-25,2.19575748243032e-25,1.57532311498947e-25,9.88410977120254e-26,5.42828803186694e-26,2.61286196821806e-26,1.10449982746121e-26,4.11259710564428e-27,1.35486177656319e-27,3.9741544754813e-28,1.04673802701292e-28,2.50110335106992e-29,5.47954920797582e-30,1.11000848071385e-30,2.08609016498949e-31,3.62643972497476e-32,5.78457922777541e-33,8.37930839979262e-34,1.09123818054692e-34,1.2670368048203e-35,1.30347694450556e-36,1.1828791045426e-37,9.4401875742971e-39,6.61192467374151e-40,4.05855813324424e-41,2.18117895363429e-42,1.02563009297597e-43,4.21752714864092e-45,1.51613207968204e-46,4.7633425818462e-48,1.30765693075378e-49,3.13628222425633e-51,6.57087627950753e-53,1.20247960063025e-54,1.92197294183997e-56,2.68292413715722e-58,3.27072320491382e-60,3.48210153650311e-62,3.23738080402082e-64,2.62843541440651e-66,1.86359711727237e-68,1.15388174978664e-70,6.23923979113214e-73,2.94627203270001e-75,1.2150599872466e-77,4.37645656008443e-80,1.37678958055595e-82,3.78317771947706e-85,9.08069586750673e-88,1.90409870292367e-90,3.48826511478538e-93,5.58380000328381e-96,7.81110942276146e-99,9.55070732757938e-102,1.02093126985731e-104,9.54382531881046e-108
-1.37878787878788,-1.37878787878788,5.86814919926716e-62,5.43140659564192e-60,4.50686902355383e-58,3.34677694453214e-56,2.21806663280188e-54,1.3076535234469e-52,6.83459606824949e-51,3.15693153878793e-49,1.28516256896356e-47,4.60051936856616e-46,1.44553231658465e-44,3.98120062340275e-43,9.60075033304751e-42,2.02561475365879e-40,3.73692516594411e-39,6.02546927205265e-38,8.48886881830321e-37,1.04470109012868e-35,1.12291185814443e-34,1.05404396016716e-33,8.63960311752173e-33,6.18335488583784e-32,3.8639499761934e-31,2.10816754567594e-30,1.00425757061929e-29,4.17709586663811e-29,1.51732212538683e-28,4.81635362505678e-28,1.33839276930784e-27,3.27331232964776e-27,7.15363967395696e-27,1.45392575945875e-26,2.99080028877454e-26,6.92593515875192e-26,1.84322282814648e-25,5.13723116689099e-25,1.3593912858441e-24,3.24246558752336e-24,6.82881056434192e-24,1.26055089479143e-23,2.03442054561177e-23,2.86841692594214e-23,3.5324947026679e-23,3.79995400443549e-23,3.57117335554501e-23,2.9330051095372e-23,2.10615633838689e-23,1.32330140517847e-23,7.28274725737593e-24,3.51661877452851e-24,1.4936296683181e-24,5.60111125984589e-25,1.86452709693634e-25,5.55085880551201e-26,1.49196504862452e-26,3.65901636092586e-27,8.26719298898894e-28,1.73086669277753e-28,3.35761530411263e-29,5.99903321578891e-30,9.77860423118732e-31,1.43927029081107e-31,1.89549306283544e-32,2.21779430919384e-33,2.29345497599779e-34,2.08862753984622e-35,1.67094045262339e-36,1.17235305413752e-37,7.20526338308001e-39,3.87599534196545e-40,1.82392679085344e-41,7.50480312005134e-43,2.69924897016392e-44,8.48429203874027e-46,2.33012283660392e-47,5.59077776635479e-49,1.17178912616631e-50,2.14523626767429e-52,3.43022581452748e-54,4.79041343307336e-56,5.84269129879721e-58,6.22350168331258e-60,5.78942691153849e-62,4.70344937482012e-64,3.33720397034534e-66,2.06796665228964e-68,1.11921060863376e-70,5.29059654390841e-73,2.18445629681427e-75,7.87869187445893e-78,2.48238172738568e-80,6.83321201901535e-83,1.64349842396306e-85,3.45428394487148e-88,6.34542200258274e-91,1.01897506052698e-93,1.43079599952551e-96,1.75730162382796e-99,1.8886801446598e-102,1.77732722457042e-105
-1.34848484848485,-1.34848484848485,1.11665558282978e-59,9.95017925715192e-58,7.95013220177515e-56,5.69668227721106e-54,3.65627785823174e-52,2.09695746524873e-50,1.07132083523748e-48,4.85912346189438e-47,1.95020698350917e-45,6.90583089163555e-44,2.15224598215366e-42,5.8917369918301e-41,1.41446854973538e-39,2.97456938930584e-38,5.4745267071557e-37,8.81194226913656e-36,1.2398995076771e-34,1.52452816862413e-33,1.63759016081799e-32,1.53643286362214e-31,1.25892868725197e-30,9.00793254188351e-30,5.62801686177457e-29,3.07023822858289e-28,1.46240126867723e-27,6.08204290514083e-27,2.20891296745673e-26,7.00880873454352e-26,1.94546523568425e-25,4.74268146375294e-25,1.0270027487555e-24,2.03718725330195e-24,3.97333310098736e-24,8.4917745632197e-24,2.10302460183038e-23,5.63086936569584e-23,1.46531333237957e-22,3.47371763772856e-22,7.29997411133916e-22,1.34649901329796e-21,2.17259860652087e-21,3.06316846634123e-21,3.77278883831154e-21,4.05953001727866e-21,3.81688405863898e-21,3.13712591478286e-21,2.25531963063082e-21,1.41950921357243e-21,7.83303078702402e-22,3.79751785722938e-22,1.62262130456209e-22,6.13878091558925e-23,2.06969633658588e-23,6.27188003013097e-24,1.72569670727466e-24,4.3556519737214e-25,1.01630568846434e-25,2.19798449281178e-26,4.3910293606594e-27,8.03755303811426e-28,1.33446609132923e-28,1.99026542866869e-29,2.645268905076e-30,3.11446427991887e-31,3.23446835881579e-32,2.95427363782002e-33,2.36838204730195e-34,1.66419555868717e-35,1.02397501151634e-36,5.51327102350551e-38,2.5962644920359e-39,1.06892957450426e-40,3.84671866938179e-42,1.20971264362006e-43,3.32395491453849e-45,7.97914103220457e-47,1.67318949847547e-48,3.06473065519582e-50,4.90316447187724e-52,6.85146712531136e-54,8.36191842553948e-56,8.91335789460011e-58,8.29836978532668e-60,6.74789059002204e-62,4.79269315553263e-64,2.97334234993801e-66,1.61133688886895e-68,7.62837328612526e-71,3.15512102063884e-73,1.14019836449974e-75,3.60060954305278e-78,9.93722835810003e-81,2.39731701181207e-83,5.05654454549895e-86,9.32770205142853e-89,1.50539213646893e-91,2.12663360482798e-94,2.63142373005731e-97,2.85452044576841e-100,2.71800386001653e-103
-1.31818181818182,-1.31818181818182,1.7882870364334e-57,1.53867156487508e-55,1.18412236086964e-53,8.1671114889944e-52,5.05231733034068e-50,2.80140287653289e-48,1.38956016319472e-46,6.14822799288703e-45,2.41851287429307e-43,8.42970849827892e-42,2.59536246239315e-40,7.039577964698e-39,1.67844839116772e-37,3.51179869534828e-36,6.43918718602397e-35,1.03364900823276e-33,1.45153664325625e-32,1.78218877365178e-31,1.91237340895233e-30,1.79289785707388e-29,1.46827795643865e-28,1.05017811289495e-27,6.55950348447114e-27,3.57765610512099e-26,1.70382787539492e-25,7.08516978868455e-25,2.57280921556507e-24,8.16079698031193e-24,2.26332323063714e-23,5.50436971953868e-23,1.1838041402293e-22,2.30486269382841e-22,4.30289123263039e-22,8.53317672987417e-22,1.95441737200695e-21,4.98230707840657e-21,1.26858135822568e-20,2.98273600142148e-20,6.2498608585381e-20,1.15161958061729e-19,1.85753905923833e-19,2.61886755082851e-19,3.22604646245646e-19,3.47241161074854e-19,3.26677099898285e-19,2.68750226925557e-19,1.93489274749307e-19,1.22054084890317e-19,6.75778170804292e-20,3.29278817208179e-20,1.4175121909514e-20,5.42145133299405e-21,1.85616614852641e-21,5.74292199945313e-22,1.62235949647716e-22,4.22275210199613e-23,1.01785708999669e-23,2.2704309576844e-24,4.65774514077583e-25,8.70581565281644e-26,1.46785981812622e-26,2.21314258463141e-27,2.96361428763089e-28,3.50722010675393e-29,3.65527792750175e-30,3.34696309138429e-31,2.68804575172806e-32,1.89137966687481e-33,1.1649969788603e-34,6.27799980657574e-36,2.9585718310156e-37,1.21890095517623e-38,4.38909863359606e-40,1.38109387649963e-41,3.79709528813794e-43,9.12041871500968e-45,1.9137257828582e-46,3.50770421992166e-48,5.61603381403118e-50,7.85402922200627e-52,9.59423935663289e-54,1.02373875803683e-55,9.54200204266933e-58,7.76924252640606e-60,5.52624035125229e-62,3.43417485853953e-64,1.86463371906505e-66,8.84685008915457e-69,3.66829047606295e-71,1.32949797526476e-73,4.21256432850535e-76,1.16720991795435e-78,2.82900983831501e-81,6.00046832757223e-84,1.11440376054826e-86,1.81355675514812e-89,2.58875169295038e-92,3.2457665431024e-95,3.5811200300359e-98,3.48554935313353e-101
-1.28787878787879,-1.28787878787879,2.3922018047951e-55,1.99893393696991e-53,1.48757212075801e-51,9.89019269134647e-50,5.88902944342755e-48,3.14462975797912e-46,1.50575167065354e-44,6.4560798776075e-43,2.47237485060791e-41,8.42953234757382e-40,2.55013456114802e-38,6.82320173670861e-37,1.61004281609968e-35,3.34251188672788e-34,6.09342981666436e-33,9.73991140905319e-32,1.36350855113798e-30,1.67031854454802e-29,1.78938650776571e-28,1.67559914048633e-27,1.37103775544364e-26,9.80019243796081e-26,6.11854494812181e-25,3.33606889135933e-24,1.58839493501397e-23,6.60391239790331e-23,2.39760780693277e-22,7.60291695008267e-22,2.10723189856586e-21,5.11562972969131e-21,1.09460890086052e-20,2.10128178034681e-20,3.78757963035925e-20,7.02477741266123e-20,1.48332205590991e-19,3.5670854916057e-19,8.83148757262499e-19,2.05394208685663e-18,4.28681332071785e-18,7.88809743830075e-18,1.27176186314223e-17,1.79290500232666e-17,2.20900111729672e-17,2.378716313938e-17,2.23950501407858e-17,1.84458112899326e-17,1.33047142792209e-17,8.41628947926445e-18,4.6796262791559e-18,2.29461856199446e-18,9.96991177755189e-19,3.86393344164816e-19,1.34727183470771e-19,4.26885131946593e-20,1.24122955897377e-20,3.3353647399208e-21,8.29911175617184e-22,1.90480005172219e-22,4.00003261191492e-23,7.61036046126424e-24,1.29967375468306e-24,1.97713771371231e-25,2.66392875380105e-26,3.166017210927e-27,3.30956919391073e-28,3.03698407196668e-29,2.44305437227832e-30,1.72117880798818e-31,1.06126128733657e-32,5.72406107459525e-34,2.69966751461681e-35,1.11306152634033e-36,4.01087752345579e-38,1.26299599641529e-39,3.47500569598947e-41,8.3533918082667e-43,1.75427838358851e-44,3.21845193693184e-46,5.15824152115598e-48,7.22210215543206e-50,8.8336760967219e-52,9.43954322942285e-54,8.81282643255204e-56,7.18894162991476e-58,5.1243585368502e-60,3.19218494433245e-62,1.73808754450545e-64,8.27306289894382e-67,3.44324125685582e-69,1.25341880824014e-71,3.99216872260584e-74,1.11303870228312e-76,2.7181440848984e-79,5.81917256283658e-82,1.09338024704981e-84,1.80580815091037e-87,2.62700272506808e-90,3.37537465049752e-93,3.84387782943021e-96,3.89626138689451e-99
-1.25757575757576,-1.25757575757576,2.64838280786298e-53,2.16369567603214e-51,1.56678277719524e-49,1.00898141761428e-47,5.79767881461933e-46,2.98084553029988e-44,1.37385158203648e-42,5.67920140946473e-41,2.10377053546049e-39,6.96868417775775e-38,2.05803609436279e-36,5.40065179941074e-35,1.25510865285357e-33,2.57537375562916e-32,4.65368939748738e-31,7.38983933105556e-30,1.02950834302901e-28,1.25668413428444e-27,1.34277802902103e-26,1.25502299504437e-25,1.02550562337662e-24,7.32309393273466e-24,4.56876350193174e-23,2.48978571079166e-22,1.18501224975401e-21,4.92542277778062e-21,1.78779125985327e-20,5.66757240099444e-20,1.57000099326921e-19,3.80629139401638e-19,8.11364094961666e-19,1.54105776722091e-18,2.70226278264661e-18,4.73067193399618e-18,9.21288045933808e-18,2.0719138690254e-17,4.95150444725051e-17,1.13511561187162e-16,2.35666271383064e-16,4.32839463595758e-16,6.97423415874745e-16,9.83132099996584e-16,1.21157917211112e-15,1.30536889880955e-15,1.2301256315979e-15,1.01472130525023e-15,7.33608147167347e-16,4.65709315644984e-16,2.60320790525316e-16,1.28650311787671e-16,5.65343717549641e-17,2.22610044044845e-17,7.92841205936401e-18,2.57979112137596e-18,7.73426678325086e-19,2.14579110270685e-19,5.50218316412859e-20,1.29567557120717e-20,2.7762960231745e-21,5.36135461466461e-22,9.25323798881752e-23,1.41804793791601e-23,1.92041770707974e-24,2.29059424929147e-25,2.40067884358931e-26,2.20723653023452e-27,1.77827288971181e-28,1.25438432215009e-29,7.74266237312419e-31,4.18012774309517e-32,1.97327754959917e-33,8.14293731339341e-35,2.93690366379449e-36,9.25669726549873e-38,2.54940504170877e-39,6.13494222516313e-41,1.28989740506597e-42,2.3695587842337e-44,3.80322023481446e-46,5.33359657836582e-48,6.53575071751244e-50,6.99855801418767e-52,6.54938612092707e-54,5.35703117101245e-56,3.83041291785746e-58,2.39468399956215e-60,1.30929484065814e-62,6.26250553039545e-65,2.62153057002613e-67,9.60920737304909e-70,3.08639764154634e-72,8.69478567404433e-75,2.15111304122228e-77,4.6817846167963e-80,8.98456005980958e-83,1.52479697313974e-85,2.29709445527671e-88,3.08547947622681e-91,3.71321816219698e-94,4.02258432921166e-97
-1.22727272727273,-1.22727272727273,2.40522165672589e-51,1.93329612569376e-49,1.37138728287328e-47,8.61046771516468e-46,4.80098726951285e-44,2.385279841921e-42,1.0592235940375e-40,4.21381642771652e-39,1.50344971399233e-37,4.80952687664438e-36,1.37722605571196e-34,3.52077239698339e-33,8.0091843046078e-32,1.61578857905116e-30,2.88165620144842e-29,4.53053768155363e-28,6.26472181126083e-27,7.60493425076194e-26,8.09296610665583e-25,7.54162651074694e-24,6.14911897326953e-23,4.38418620316707e-22,2.73212668151437e-21,1.4876764116293e-20,7.0763921701542e-20,2.93997485568871e-19,1.06676739769319e-18,3.38072480425355e-18,9.36070381281411e-18,2.26702302621511e-17,4.8187899946978e-17,9.07981402118602e-17,1.55859084982385e-16,2.60012579030025e-16,4.68827848318139e-16,9.79075742998608e-16,2.23994427326137e-15,5.03949919918964e-15,1.03895000967322e-14,1.90344324661204e-14,3.06445927627955e-14,4.31932435087881e-14,5.32452557825205e-14,5.74060647501816e-14,5.41610432125235e-14,4.47616120138961e-14,3.24558740383666e-14,2.06951548961526e-14,1.16447303067048e-14,5.81056314839515e-15,2.58862007501196e-15,1.03853017799743e-15,3.78904526701888e-16,1.26896339131762e-16,3.92594936858197e-17,1.12351841238472e-17,2.96164930706332e-18,7.13321124530149e-19,1.55487666700599e-19,3.04013497718192e-20,5.29308711853973e-21,8.16132976661457e-22,1.11003933691495e-22,1.32813678607966e-23,1.39520943236079e-24,1.28511924807621e-25,1.03690760963814e-26,7.32369629684512e-28,4.52580054367591e-29,2.44609481726054e-30,1.15596141208091e-31,4.77546979638378e-33,1.72435376304981e-34,5.44162239664358e-36,1.50069571635811e-37,3.61662449791076e-39,7.61653446332077e-41,1.40172466576503e-42,2.25443880659692e-44,3.16894643748299e-46,3.8934466647568e-48,4.18169139102828e-50,3.92680625763389e-52,3.22468725999373e-54,2.31639394686758e-56,1.45600680375023e-58,8.01189636399668e-61,3.86175884017772e-63,1.63175742437441e-65,6.05071910623729e-68,1.97178068087531e-70,5.65768484407575e-73,1.43297513568935e-75,3.2140852876046e-78,6.40934486217268e-81,1.14153225258059e-83,1.8245671231839e-86,2.62858386268054e-89,3.42393236047682e-92,4.03705716231189e-95
