"x","y","z.1","z.2","z.3","z.4","z.5","z.6","z.7","z.8","z.9","z.10","z.11","z.12","z.13","z.14","z.15","z.16","z.17","z.18","z.19","z.20","z.21","z.22","z.23","z.24","z.25","z.26","z.27","z.28","z.29","z.30","z.31","z.32","z.33","z.34","z.35","z.36","z.37","z.38","z.39","z.40","z.41","z.42","z.43","z.44","z.45","z.46","z.47","z.48","z.49","z.50","z.51","z.52","z.53","z.54","z.55","z.56","z.57","z.58","z.59","z.60","z.61","z.62","z.63","z.64","z.65","z.66","z.67","z.68","z.69","z.70","z.71","z.72","z.73","z.74","z.75","z.76","z.77","z.78","z.79","z.80","z.81","z.82","z.83","z.84","z.85","z.86","z.87","z.88","z.89","z.90","z.91","z.92","z.93","z.94","z.95","z.96","z.97","z.98","z.99","z.100"
-1.5,-1.5,7.08938742647001e-227,5.40295837466869e-225,3.63983383281463e-223,2.16749516813274e-221,1.14093536982723e-219,5.30872228375797e-218,2.18345779223949e-216,7.93825851814892e-215,2.55112159183967e-213,7.24706954295403e-212,1.81978020639437e-210,4.03924865081856e-209,7.92514660165412e-208,1.37448187957108e-206,2.10715107912439e-205,2.85546753154545e-204,3.4204530505076e-203,3.6217199360558e-202,3.38977512824996e-201,2.80447572759524e-200,2.05096020807286e-199,1.32582901446189e-198,7.576044642649e-198,3.8266808368455e-197,1.70854593055126e-196,6.74304048850655e-196,2.35239128500456e-195,7.25417512400209e-195,1.97738476785078e-194,4.76451834719999e-194,1.0147790440991e-193,1.91050703392854e-193,3.17943868211826e-193,4.67710291590717e-193,6.08174290429569e-193,6.99042925106614e-193,7.10238626367584e-193,6.37865899648834e-193,5.06383022507172e-193,3.55347726310603e-193,2.20420811838935e-193,1.20858251304222e-193,5.85766682631931e-194,2.50956054164109e-194,9.50375734469973e-195,3.18139542034023e-195,9.41379234917509e-196,2.46227313844165e-196,5.69288604050354e-197,1.16346521421688e-197,2.1018366747419e-198,3.35636495688389e-199,4.73766163446327e-200,5.91130750090071e-201,6.51970150393384e-202,6.35618491215186e-203,5.47759581451009e-204,4.17261286116176e-205,2.80964112475559e-206,1.6723156695279e-207,8.79853399767687e-209,4.09191895279027e-210,1.68216417360885e-211,6.11271833399498e-213,1.96347347710361e-214,5.57494186559885e-216,1.39920160986787e-217,3.10416571982964e-219,6.08743238272663e-221,1.05523223914486e-222,1.61691280857239e-224,2.1900286726081e-226,2.62202995853656e-228,2.77491795770368e-230,2.59589603226022e-232,2.14658994670705e-234,1.56904549665394e-236,1.01378679875061e-238,5.79005082300013e-241,2.92309391745097e-243,1.30445112567837e-245,5.14561754760968e-248,1.79420410055609e-250,5.53007263071489e-253,1.50665728168838e-255,3.62846354185245e-258,7.72423897781662e-261,1.45349415327113e-263,2.41766167302547e-266,3.55469555822629e-269,4.61991458890147e-272,5.30750156452876e-275,5.38977907995162e-278,4.83811789645334e-281,3.83889805430089e-284,2.69253501885268e-287,1.66932459028906e-290,9.14839421521953e-294,4.43173312381711e-297,1.89769746638424e-300
-1.46969696969697,-1.46969696969697,3.81918695771784e-220,2.91064685919566e-218,1.96081143144453e-216,1.16764108512918e-214,6.1462428748533e-213,2.85980574264994e-211,1.17622261517039e-209,4.27630278268166e-208,1.37427325942209e-206,3.90394147096765e-205,9.80299787874975e-204,2.17590438084307e-202,4.26919399187393e-201,7.40418176811212e-200,1.13509779871792e-198,1.53820584675278e-197,1.84255538051666e-196,1.95097415183411e-195,1.8260275196169e-194,1.51073373956285e-193,1.10482456166316e-192,7.14205965538473e-192,4.08111064274156e-191,2.06137968914487e-190,9.20369739977641e-190,3.6323808299386e-189,1.26719985452732e-188,3.90772094036201e-188,1.06518894876884e-187,2.56657783131413e-187,5.46646910458406e-187,1.02916267180289e-186,1.7127178312625e-186,2.51948789246844e-186,3.27614709557049e-186,3.76564321240083e-186,3.82595275292987e-186,3.43609127851959e-186,2.72781200760657e-186,1.91420671517458e-186,1.18737496362121e-186,6.51045875579222e-187,3.15544016034198e-187,1.35186385676088e-187,5.11953618019295e-188,1.71377154264361e-188,5.0710733011809e-189,1.32639079670619e-189,3.06667506280305e-190,6.26741818809135e-191,1.1322288986022e-191,1.80802506617799e-192,2.55210952624763e-193,3.18433550874763e-194,3.51206852054598e-195,3.42398450500801e-196,2.95070131588148e-197,2.24772594989993e-198,1.51351286934533e-199,9.0085216385513e-201,4.73964248126079e-202,2.20425731170828e-203,9.06157409708068e-205,3.29283258951056e-206,1.05769464597434e-207,3.00314021653268e-209,7.53729586292729e-211,1.67216899089029e-212,3.27921141603616e-214,5.68438282033556e-216,8.71007447594475e-218,1.1797366403888e-219,1.41244945944715e-221,1.49480800449898e-223,1.39837149340119e-225,1.15633683042861e-227,8.45222022742253e-230,5.46112225979952e-232,3.11901629418806e-234,1.57462824396457e-236,7.02688878226435e-239,2.77186944909033e-241,9.66511694048152e-244,2.97896982069361e-246,8.11614398764075e-249,1.95460061981498e-251,4.16093537196052e-254,7.82976194040723e-257,1.30235923647546e-259,1.91486288006496e-262,2.48868090462613e-265,2.85907402485429e-268,2.9033957284194e-271,2.60622385988653e-274,2.06795864041846e-277,1.45042951897529e-280,8.99240918383992e-284,4.92810713137724e-287,2.38731028679398e-290,1.02226207160771e-293
-1.43939393939394,-1.43939393939394,1.56036824448316e-213,1.18915957220602e-211,8.01090855842795e-210,4.77036253254296e-208,2.51100996878198e-206,1.16834870747197e-204,4.80532921539864e-203,1.74702900167867e-201,5.61439703045047e-200,1.59489444021401e-198,4.00485131103367e-197,8.88927458786659e-196,1.74410082530759e-194,3.02483774479927e-193,4.63722017661937e-192,6.28403230549204e-191,7.52738440029537e-190,7.97030092182166e-189,7.45985240101955e-188,6.17178237573823e-187,4.51352439071411e-186,2.91773454001052e-185,1.66724924542592e-184,8.42131734153848e-184,3.75996906173402e-183,1.48392936987413e-182,5.17686570419513e-182,1.59641304164868e-181,4.35159357494611e-181,1.04851843727808e-180,2.23320450578855e-180,4.20441516295882e-180,6.99692731253955e-180,1.0292806251894e-179,1.33839682454543e-179,1.53836949327734e-179,1.56300756571229e-179,1.40373833232231e-179,1.11438663633493e-179,7.8200636295074e-180,4.85075491786272e-180,2.65970232016468e-180,1.28908449434372e-180,5.52273734675764e-181,2.09147195739902e-181,7.00123014300266e-182,2.07167351077234e-182,5.41867274313026e-183,1.25282145814753e-183,2.56041341549582e-184,4.62546772506542e-185,7.38628168253901e-186,1.04260721654387e-186,1.30088898735066e-187,1.43477697123339e-188,1.39879221745774e-189,1.20544296507664e-190,9.18258116407415e-192,6.1831179913723e-193,3.68022983697045e-194,1.93627482652228e-195,9.00499976577683e-197,3.70190322990866e-198,1.34521303562378e-199,4.32097468322355e-201,1.22686570233191e-202,3.07919348310385e-204,6.83127205532811e-206,1.33964841086972e-207,2.32222734288636e-209,3.5583059322257e-211,4.81954993433214e-213,5.7702460600227e-215,6.106703459589e-217,5.71273368416238e-219,4.72395525387325e-221,3.45296535663942e-223,2.23101924336836e-225,1.27420428322305e-227,6.4327911888432e-230,2.87067810639197e-232,1.13238521202949e-234,3.94846716276124e-237,1.21699143340432e-239,3.31566894019693e-242,7.98508328276112e-245,1.69985700162433e-247,3.19867396868684e-250,5.32049712448061e-253,7.82274365254148e-256,1.01669487454848e-258,1.16801069296758e-261,1.18611733322248e-264,1.06471441879465e-267,8.44818212497088e-271,5.9254051316445e-274,3.67364748478005e-277,2.01326785783298e-280,9.75282180501446e-284,4.17622287384322e-287
-1.40909090909091,-1.40909090909091,4.83481142101997e-207,3.68455794046419e-205,2.48210983711123e-203,1.4780377932279e-201,7.77997737384686e-200,3.6199185937481e-198,1.48883464117194e-196,5.41278666308025e-195,1.7394894461135e-193,4.9413866934204e-192,1.24080004074927e-190,2.75410484132019e-189,5.40361850208376e-188,9.37161179667168e-187,1.43671021511307e-185,1.9469251130097e-184,2.33213887247591e-183,2.46936103594629e-182,2.31121175121911e-181,1.91214047870011e-180,1.39837845448684e-179,9.03970977707604e-179,5.1654606361469e-178,2.6090860654984e-177,1.16491037608901e-176,4.59749603726335e-176,1.6038913322644e-175,4.94598997350023e-175,1.34820591087705e-174,3.24850782578076e-174,6.91888792333013e-174,1.30260684411271e-173,2.16777943625304e-173,3.18890440817865e-173,4.14660414967974e-173,4.76615673996355e-173,4.84248992432763e-173,4.34904390163082e-173,3.4525781396739e-173,2.42280186023632e-173,1.50285450129873e-173,8.24025458128318e-174,3.99382449497471e-174,1.71104714686736e-174,6.47977057228941e-175,2.16911178536667e-175,6.41843120169772e-176,1.67880594348191e-176,3.88147467255e-177,7.93263854473433e-178,1.43305621017218e-178,2.28840788416833e-179,3.23019168821754e-180,4.03039679842578e-181,4.44520674719735e-182,4.33371926180864e-183,3.73468720184335e-184,2.84493495965415e-185,1.91564530831336e-186,1.1402038628721e-187,5.99894064797506e-189,2.78991692619852e-190,1.14691868388311e-191,4.16772094936739e-193,1.33871856972299e-194,3.80105883248872e-196,9.53991587303496e-198,2.11645552914731e-199,4.1504807069161e-201,7.19469355386307e-203,1.1024295635236e-204,1.49318648627454e-206,1.78772988336007e-208,1.89197066355174e-210,1.76991147748677e-212,1.4635694727089e-214,1.06979309000743e-216,6.91211386326594e-219,3.94772260264764e-221,1.99299873013661e-223,8.89389637395965e-226,3.50834066443773e-228,1.22330879701546e-230,3.77046652691294e-233,1.0272561018373e-235,2.47392778870965e-238,5.26647415688715e-241,9.9100887801089e-244,1.64838928246006e-246,2.423631946454e-249,3.14991042565696e-252,3.61871506663233e-255,3.67481281832469e-258,3.29868393811451e-261,2.61740446102443e-264,1.83580107562978e-267,1.13816454020995e-270,6.23747949780135e-274,3.02160618382332e-277,1.29387177644576e-280
-1.37878787878788,-1.37878787878788,1.13613819794782e-200,8.6582026216606e-199,5.83251098810997e-197,3.47307026240094e-195,1.82810388325041e-193,8.50583055926801e-192,3.49832788920384e-190,1.27183772290848e-188,4.0872373218159e-187,1.16105983559896e-185,2.91545021926026e-184,6.47116807032975e-183,1.26965442307403e-181,2.20198317954603e-180,3.37573173354872e-179,4.57453744966938e-178,5.47963550367776e-177,5.80204757105877e-176,5.43045167558445e-175,4.49278473380749e-174,3.28564170215222e-173,2.12397637899856e-172,1.21367949231373e-171,6.1303202538664e-171,2.73707755763669e-170,1.08022895185647e-169,3.7685065241288e-169,1.16211060237714e-168,3.16774617598821e-168,7.63269653504165e-168,1.62566222912395e-167,3.06060530077357e-167,5.09341451026305e-167,7.49264911973323e-167,9.74285957463366e-167,1.11985594804616e-166,1.13779113543899e-166,1.0218510477326e-166,8.11217488714561e-167,5.69261319072558e-167,3.53110557603606e-167,1.93612943280062e-167,9.38388608213167e-168,4.02027462857226e-168,1.52248621444373e-168,5.0965427287196e-169,1.50807389606842e-169,3.94452059030392e-170,9.11990855310343e-171,1.86385185757856e-171,3.36710724221854e-172,5.3768405465565e-173,7.58965467611344e-174,9.46981566366004e-175,1.04444526232644e-175,1.01825017435386e-176,8.77501670234849e-178,6.68445586453824e-179,4.50099798051229e-180,2.67902166427699e-181,1.40951039350155e-182,6.55518554799824e-184,2.69479879861327e-185,9.79247226987296e-187,3.14545158658122e-188,8.93096339125825e-190,2.24149751928739e-191,4.97282144065236e-193,9.75196462693602e-195,1.69046435864539e-196,2.59026721818135e-198,3.5083892300505e-200,4.20044805473731e-202,4.44537207257471e-204,4.15858195271163e-206,3.43880113554109e-208,2.51358460467812e-210,1.62406947318353e-212,9.27556446205871e-215,4.68274751403925e-217,2.08970886570364e-219,8.24319318104489e-222,2.87428494088904e-224,8.85908381497176e-227,2.41363975669778e-229,5.81273789339979e-232,1.23741016425059e-234,2.32847332520032e-237,3.87305357312752e-240,5.69456285329375e-243,7.40102594291315e-246,8.50252879765835e-249,8.63433601634341e-252,7.75058403213614e-255,6.14985055081632e-258,4.3133961263292e-261,2.67423011524795e-264,1.46555747782456e-267,7.09956248473432e-271,3.04007968567157e-274
-1.34848484848485,-1.34848484848485,2.02481689256704e-194,1.54301582976444e-192,1.03941303006879e-190,6.18924567859602e-189,3.25775136360762e-187,1.51575090659693e-185,6.23399744885845e-184,2.26638459016321e-182,7.28330056978526e-181,2.06895009508199e-179,5.19515553242568e-178,1.15311736411976e-176,2.26242716070556e-175,3.92375243135835e-174,6.01525839437839e-173,8.15140568748291e-172,9.76418765800129e-171,1.03386777234321e-169,9.67651667199774e-169,8.00567929445418e-168,5.85466897684064e-167,3.78470000127829e-166,2.16264624069735e-165,1.0923564475053e-164,4.8771723238827e-164,1.924848833236e-163,6.7150605666917e-163,2.07075156380785e-162,5.64456920832814e-162,1.36006082825426e-161,2.89674706915482e-161,5.45365327222054e-161,9.07588877475134e-161,1.33510522028876e-160,1.73606708972148e-160,1.99545615988373e-160,2.02741450398201e-160,1.82082235010355e-160,1.44549724171153e-160,1.01435884756757e-160,6.29202785258612e-161,3.44996198735286e-161,1.67210151587414e-161,7.1636709178883e-162,2.71289677065637e-162,9.08145769048221e-163,2.68721560291255e-163,7.02868553989919e-164,1.62506361557116e-164,3.32117126320199e-165,5.99980074272065e-166,9.58091603780804e-167,1.35238981601086e-167,1.68741303475841e-168,1.86108220969088e-169,1.8144055507052e-170,1.56360778448598e-171,1.19109371173782e-172,8.02026447011374e-174,4.77371070832814e-175,2.51158657897077e-176,1.1680592153219e-177,4.80182375767746e-179,1.74490674478069e-180,5.60483557008054e-182,1.59139570026487e-183,3.99409264062614e-185,8.86100000369046e-187,1.73768874799056e-188,3.01221447025603e-190,4.61556042898158e-192,6.25154902733861e-194,7.48471883931196e-196,7.9211454790934e-198,7.41011823453575e-200,6.12755100301877e-202,4.47892078327995e-204,2.89390637904868e-206,1.65279968790973e-208,8.34412144594286e-211,3.72362262156362e-213,1.46884291532344e-215,5.1216476217168e-218,1.57858759719357e-220,4.30083049943997e-223,1.03576353375236e-225,2.20492365027844e-228,4.14907365081015e-231,6.9013393312501e-234,1.01470609385234e-236,1.31877833724697e-239,1.51505357306995e-242,1.53854011607525e-245,1.38106560176486e-248,1.09583316864762e-251,7.68597953686513e-255,4.76517281549562e-258,2.61145614463174e-261,1.26506100938947e-264,5.41707529180671e-268
-1.31818181818182,-1.31818181818182,2.73683241119861e-188,2.08553461781436e-186,1.40482496829148e-184,8.36490271292601e-183,4.40283044092017e-181,2.04849155621318e-179,8.42493399737552e-178,3.06286654277594e-176,9.84278829207929e-175,2.79599313600352e-173,7.02071634098588e-172,1.55830938289295e-170,3.05740177027826e-169,5.30246243673363e-168,8.1288421711585e-167,1.1015534334062e-165,1.31949591414192e-164,1.39712731137699e-163,1.30764313482818e-162,1.08185164276346e-161,7.91172720090422e-161,5.11446190396217e-160,2.92249365134597e-159,1.47615559056942e-158,6.59076126613181e-158,2.6011408744581e-157,9.07438043618426e-157,2.79830392267374e-156,7.62776925260176e-156,1.837913045294e-155,3.91450729048344e-155,7.36977062416507e-155,1.22646608653979e-154,1.80418810445154e-154,2.34602576188401e-154,2.69654965895442e-154,2.73973619120045e-154,2.46055878137467e-154,1.95336504666995e-154,1.37074839622614e-154,8.50269781154011e-155,4.66208732296236e-155,2.25958520608173e-155,9.68058715713205e-156,3.66605800856074e-156,1.22721773014176e-156,3.63135379987403e-157,9.4981748532468e-158,2.1960205988893e-158,4.48804611834486e-159,8.1077969591381e-160,1.29471168888071e-160,1.82754434817441e-161,2.28027607717892e-162,2.51496292947967e-163,2.4518866849151e-164,2.11297253773213e-165,1.60957775000974e-166,1.08381390157495e-167,6.45092695363233e-169,3.39401831035145e-170,1.57845021024943e-171,6.48891735995307e-173,2.35796985489843e-174,7.5740628309956e-176,2.15052357492378e-177,5.397394492428e-179,1.19742622280622e-180,2.34821586080877e-182,4.07053898916087e-184,6.23721148723008e-186,8.44799543514549e-188,1.01144324965979e-189,1.07041951779191e-191,1.00136214072475e-193,8.28043143279949e-196,6.05256430391233e-198,3.91066404427938e-200,2.23350152741549e-202,1.12757814199193e-204,5.03189641746425e-207,1.98491258693411e-209,6.92110962584306e-212,2.1332154478263e-214,5.81190304889132e-217,1.39967321349434e-219,2.97961115031577e-222,5.60682730428913e-225,9.32608603648804e-228,1.37121736648875e-230,1.78212368238853e-233,2.04735911966246e-236,2.07909752965009e-239,1.86629523279761e-242,1.48084799037141e-245,1.03864052415854e-248,6.43938951467712e-252,3.52897662878853e-255,1.70953321388304e-258,7.32033766734045e-262
-1.28787878787879,-1.28787878787879,2.8055938831302e-182,2.13783460466716e-180,1.43999901632508e-178,8.57406603047117e-177,4.5128000102578e-175,2.0996088301926e-173,8.63500097156307e-172,3.13918536470478e-170,1.0087908956244e-168,2.86559080086985e-167,7.19540681731651e-166,1.59707065323242e-164,3.13343024406194e-163,5.43428813344466e-162,8.33089553093805e-161,1.12892952672439e-159,1.3522838372424e-158,1.4318402517093e-157,1.34012958740687e-156,1.10872643867733e-155,8.10825268767151e-155,5.24149661973117e-154,2.99508000230978e-153,1.51281756210738e-152,6.75444457278338e-152,2.66573904137882e-151,9.29973316237926e-151,2.86779545828167e-150,7.81718984049208e-150,1.8835533342972e-149,4.01171379354519e-149,7.55277766974529e-149,1.25692158490936e-148,1.84898922743817e-148,2.40428130777343e-148,2.76350893550679e-148,2.80776756759936e-148,2.52165758833526e-148,2.0018694447261e-148,1.40478563979355e-148,8.71382904431987e-149,4.77785182084407e-149,2.31569298585684e-149,9.92096561028532e-150,3.75708972504859e-150,1.25769069113551e-150,3.72152363909347e-151,9.73402309332087e-152,2.2505497429306e-152,4.59948824978514e-153,8.3091206211472e-154,1.32686049948977e-154,1.87292384453696e-155,2.3368972814339e-156,2.57741160015701e-157,2.51276911202607e-158,2.16543943448421e-159,1.64954492548988e-160,1.11072591522487e-161,6.61110890785002e-163,3.4782946444758e-164,1.61764445850302e-165,6.65004264377948e-167,2.41652023307525e-168,7.76213319536572e-170,2.20392288909597e-171,5.53141635337743e-173,1.22715932748811e-174,2.40652404629254e-176,4.17161391795295e-178,6.39208673418834e-180,8.6577663296087e-182,1.0365582447935e-183,1.09699894494654e-185,1.02622681560816e-187,8.48604160802738e-190,6.20285464538415e-192,4.00776917762383e-194,2.28896128365875e-196,1.15557687463792e-198,5.15684272907567e-201,2.03419967459709e-203,7.09296674315878e-206,2.18618502892008e-208,5.95621762680845e-211,1.43442831155536e-213,3.05359747984294e-216,5.74604969790833e-219,9.55766086948066e-222,1.40526588910186e-224,1.82637536967465e-227,2.09819683752743e-230,2.13072334314382e-233,1.91263698172523e-236,1.51761874868307e-239,1.06443088590616e-242,6.59928534250142e-246,3.61660459957355e-249,1.75198354882934e-252,7.50213834535489e-256
-1.25757575757576,-1.25757575757576,2.18134159064866e-176,1.6620623256293e-174,1.11947352552612e-172,6.66530967278775e-171,3.50803864114112e-169,1.63208915397869e-167,6.71208012051277e-166,2.44007218351111e-164,7.84114135831955e-163,2.22733700778842e-161,5.59270305238104e-160,1.24132654353415e-158,2.43544411295426e-157,4.22374438576649e-156,6.47506288784866e-155,8.77438925745427e-154,1.05103225266297e-152,1.11286164551e-151,1.04157867059024e-150,8.61724761956528e-150,6.30188550628146e-149,4.07378175373339e-148,2.32782440236811e-147,1.17578466809897e-146,5.24965076021082e-146,2.07184858042622e-145,7.22787343440089e-145,2.22888647474582e-144,6.07561441632833e-144,1.46391976016625e-143,3.11794987897615e-143,5.87010340604679e-143,9.76893276715346e-143,1.43705443995611e-142,1.86863310711496e-142,2.1478283201079e-142,2.18222631045548e-142,1.95985842794648e-142,1.555873549228e-142,1.09181378265373e-142,6.77247671589714e-143,3.71339491479489e-143,1.79978000410837e-143,7.71067449904258e-144,2.92004792279049e-144,9.7748982928304e-145,2.89240546425865e-145,7.56538015223624e-146,1.74914975429624e-146,3.57476819517233e-147,6.45793145062185e-148,1.03124921034249e-148,1.4556550771143e-149,1.81625984627582e-150,2.00318996203022e-151,1.95294916990644e-152,1.68300108226351e-153,1.28204273239558e-154,8.63267234074561e-156,5.13821962513427e-157,2.70336520602946e-158,1.257249368144e-159,5.16847930879175e-161,1.87814356945629e-162,6.03280715566405e-164,1.71291080050047e-165,4.29907183629036e-167,9.53760442460076e-169,1.87037444142378e-170,3.24221986183801e-172,4.96799344379818e-174,6.72890218947786e-176,8.05623389121756e-178,8.52598504344944e-180,7.97593701847255e-182,6.59543606511718e-184,4.82092042314136e-186,3.11487813524166e-188,1.77900351808916e-190,8.98125863265336e-193,4.00794956818281e-195,1.58100026506674e-197,5.51272446892028e-200,1.69912480354972e-202,4.62923173907469e-205,1.11485199089354e-207,2.37328642266348e-210,4.46588715361675e-213,7.42830939872006e-216,1.09218667352305e-218,1.41947716723232e-221,1.63073952843083e-224,1.65601945669325e-227,1.48652056272803e-230,1.17950845291142e-233,8.27286335197266e-237,5.12903120231445e-240,2.81086367457874e-243,1.36166662828355e-246,5.83094084953697e-250
-1.22727272727273,-1.22727272727273,1.28633857046743e-170,9.80044533551235e-169,6.60061664925415e-167,3.92977455114089e-165,2.06819759499954e-163,9.62177140122815e-162,3.95689404950432e-160,1.43842861806862e-158,4.62226816963179e-157,1.31296626478358e-155,3.29672324219874e-154,7.31713336435027e-153,1.43558272756533e-151,2.48968034810127e-150,3.81668674843568e-149,5.17197641824433e-148,6.19517041267305e-147,6.55958481541205e-146,6.13939454739728e-145,5.07926184692203e-144,3.71450828496152e-143,2.40119576091333e-142,1.37207918111153e-141,6.93036385274736e-141,3.09426892270081e-140,1.22119537603613e-139,4.26027128502463e-139,1.31375478020659e-138,3.58109849391414e-138,8.62865459355882e-138,1.83778511974866e-137,3.45996078341588e-137,5.75800976595932e-137,8.4702918198709e-137,1.10141018181356e-136,1.26597323730164e-136,1.28624788776347e-136,1.15517964114834e-136,9.17062788473588e-137,6.43536676210423e-137,3.99183163098913e-137,2.18874820380478e-137,1.06082577059149e-137,4.54482314565357e-138,1.72113358562053e-138,5.76151680550428e-139,1.70484047239525e-139,4.45918324103455e-140,1.03098310506094e-140,2.10703831745578e-141,3.80643110207329e-142,6.07838447423639e-143,8.57991555831994e-144,1.07053904802584e-144,1.18071930487476e-145,1.15110639536492e-146,9.91993715284982e-148,7.55661029311994e-149,5.08826569554254e-150,3.02856700607935e-151,1.59341625323753e-152,7.41047333433338e-154,3.0464026528628e-155,1.10701450339565e-156,3.55585437197204e-158,1.00962308385635e-159,2.53395691647078e-161,5.62165035878931e-163,1.10243523397568e-164,1.91102772717552e-166,2.92823239645761e-168,3.96614642158445e-170,4.74850166935578e-172,5.02538218701635e-174,4.70117314240252e-176,3.88747891121476e-178,2.84154471859901e-180,1.83597005483279e-182,1.04857944745192e-184,5.29372940528127e-187,2.36236382902194e-189,9.31872466224214e-192,3.24930758846926e-194,1.00149738343102e-196,2.72855971237421e-199,6.57115566159063e-202,1.39886143444113e-204,2.63228123914531e-207,4.37839086524372e-210,6.43756191365989e-213,8.36667613192858e-216,9.61189784663229e-219,9.76090272192378e-222,8.76184313173663e-225,6.95225386118768e-228,4.87618848982121e-231,3.02315497917205e-234,1.65679057541577e-237,8.02631402892326e-241,3.43791515470628e-244
