"x","y","z.1","z.2","z.3","z.4","z.5","z.6","z.7","z.8","z.9","z.10","z.11","z.12","z.13","z.14","z.15","z.16","z.17","z.18","z.19","z.20","z.21","z.22","z.23","z.24","z.25","z.26","z.27","z.28","z.29","z.30","z.31","z.32","z.33","z.34","z.35","z.36","z.37","z.38","z.39","z.40","z.41","z.42","z.43","z.44","z.45","z.46","z.47","z.48","z.49","z.50","z.51","z.52","z.53","z.54","z.55","z.56","z.57","z.58","z.59","z.60","z.61","z.62","z.63","z.64","z.65","z.66","z.67","z.68","z.69","z.70","z.71","z.72","z.73","z.74","z.75","z.76","z.77","z.78","z.79","z.80","z.81","z.82","z.83","z.84","z.85","z.86","z.87","z.88","z.89","z.90","z.91","z.92","z.93","z.94","z.95","z.96","z.97","z.98","z.99","z.100"
-1.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46566978765025e-311,4.68262764989455e-293,1.80643055890155e-276,3.13789448618977e-261,2.45437467685053e-247,8.64428536934685e-235,1.3708959215193e-223,9.78983695038395e-214,3.14840920578338e-205,4.56286939145079e-198,2.99142863211281e-192,9.0669216907227e-188,1.41836742360787e-184,1.60831090721756e-182,1.74101504236239e-181,7.59350575838577e-181,1.77770370571638e-180,2.2644717314638e-181,1.9566487193592e-183,2.66322352058233e-185,4.92096668852421e-188,4.16202314560215e-192,1.59811589782321e-197,2.82307677188123e-204,2.3702227320974e-212,1.01041373641043e-221,2.38850139325458e-232,3.26184859011777e-244,2.53518497477779e-257,1.48429462725957e-271,1.49573645245195e-286,1.53015526005926e-302,8.79535662726587e-320,0,0,0,0,0,0
-1.46969696969697,-1.46969696969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27513125702876e-304,1.94918334712915e-286,7.5194199193692e-270,1.30617510674824e-254,1.02165420195274e-240,3.59825671998315e-228,5.7064688250373e-217,4.07509678811669e-207,1.31054143461727e-198,1.89924418765416e-191,1.24486998121039e-185,3.76840586401422e-181,5.85954479554297e-178,6.53991019295674e-176,6.97223603325413e-175,2.94474474820804e-174,6.83873088601593e-174,8.69974058712884e-175,7.86353653416441e-177,1.1693434845116e-178,2.16486148392302e-181,1.83239858875807e-185,7.05043158168744e-191,1.25214036857711e-197,1.06488341890483e-205,4.65796567866374e-215,1.14272499006061e-225,1.61906942485435e-237,1.32472939679936e-250,9.55609306429007e-265,1.23192664504149e-279,1.3460857799071e-295,8.01725009496912e-313,0,0,0,0,0,0
-1.43939393939394,-1.43939393939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75251158319277e-317,7.1397489008094e-298,6.11686891328135e-280,2.35972188101119e-263,4.0989996701334e-248,3.20612465514614e-234,1.12919412382256e-221,1.79078658286998e-210,1.27883300356761e-200,4.11267028801719e-192,5.95988398524738e-185,3.90559739735327e-179,1.18085004647472e-174,1.82541407819447e-171,2.00571094303423e-169,2.10555693020268e-168,8.61232279852115e-168,1.98363905781553e-167,2.52009854201726e-168,2.39278995681694e-170,3.87164369838438e-172,7.18050736314998e-175,6.0832186712808e-179,2.34618082518205e-184,4.19243261750623e-191,3.61746389475754e-199,1.62709400011134e-208,4.14605873919899e-219,6.09589098207817e-231,5.32998301240455e-244,4.94571868506274e-258,7.81480784311666e-273,9.00388214220612e-289,5.5553376980354e-306,0,0,0,0,0,0
-1.40909090909091,-1.40909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8779359608404e-311,1.68916795361197e-291,1.44716839317876e-273,5.58278258169815e-257,9.69767841039658e-242,7.58525693747351e-228,2.67152036125975e-215,4.23675775169529e-204,3.0255419621364e-194,9.72994935451202e-186,1.40996718241027e-178,9.2378071776913e-173,2.78978115188409e-168,4.28823372561717e-165,4.63938625342602e-163,4.79499688437212e-162,1.89960504510224e-161,4.33833237153653e-161,5.50435003812923e-162,5.51366005693479e-164,9.66624234181916e-166,1.79568623511069e-168,1.52285458071057e-172,5.88952529791273e-178,1.0598436589276e-184,9.29467495476099e-193,4.30788419415677e-202,1.14079824199932e-212,1.74247411256016e-224,1.66553171619673e-237,2.04973665515376e-251,3.79803693294799e-266,4.57851373330188e-282,2.92536445221766e-299,9.66985776106134e-318,0,0,0,0,0
-1.37878787878788,-1.37878787878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58348997181951e-304,3.01284051501431e-285,2.58120428911886e-267,9.95758504045996e-251,1.72970120131406e-235,1.35292462949397e-221,4.76498768283581e-209,7.55678126425327e-198,5.39642271609105e-188,1.73544481926976e-179,2.51474741247161e-172,1.64728246258255e-166,4.96915895741174e-162,7.59647669087122e-159,8.09373618624909e-157,8.23450085167787e-156,3.15994643720194e-155,7.15415127550236e-155,9.06521344693553e-156,9.6222420542118e-158,1.81978862343654e-159,3.38580445854416e-162,2.87481946013197e-166,1.11535166003291e-171,2.02334127170401e-178,1.80690884971268e-186,8.64671727180558e-196,2.38053353324097e-206,3.78733030854707e-218,4.08570140507943e-231,6.74178418783493e-245,1.40942291644261e-259,1.76984188432071e-275,1.17041521356388e-292,3.98095652147365e-311,0,0,0,0,0
-1.34848484848485,-1.34848484848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03912374162863e-319,2.12927640084218e-298,4.05128565526862e-279,3.47087602462029e-261,1.33896969413801e-244,2.32588270863444e-229,1.81924137191204e-215,6.40735063411834e-203,1.01613986053524e-191,7.25641610002513e-182,2.33359011801437e-173,3.38137916463691e-166,2.21454671094141e-160,6.67316877694918e-156,1.01475191847253e-152,1.06496278414498e-150,1.06638763676846e-149,3.96435462132381e-149,8.89550689193127e-149,1.12574609168868e-149,1.27188797981387e-151,2.58332330437037e-153,4.81344626904207e-156,4.09268086423852e-160,1.59368083552538e-165,2.91773971806543e-172,2.65863014396402e-180,1.31601001819328e-189,3.76769406851743e-200,6.27567377811023e-212,7.95748849581985e-225,1.74071192738654e-238,3.98555880519262e-253,5.20057748420225e-269,3.55675258342546e-286,1.24226666712239e-304,0,0,0,0,0
-1.31818181818182,-1.31818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10842194898951e-313,2.1585503243716e-292,4.10698393210382e-273,3.51859465761572e-255,1.35737824642416e-238,2.35785963171665e-223,1.84425283148469e-209,6.49544057714154e-197,1.03010985483914e-185,7.35617122035228e-176,2.3656575562028e-167,3.42773692035312e-160,2.2444970427748e-154,6.75642442332136e-150,1.02215955824928e-146,1.05685909036618e-144,1.04141337037769e-143,3.7509784344681e-143,8.33993732364598e-143,1.0541469039879e-143,1.27343042866994e-145,2.76519798903968e-147,5.1596596083682e-150,4.3941122144721e-154,1.71830568061678e-159,3.17893874231056e-166,2.96174557955591e-174,1.51899881594705e-183,4.52396785947622e-194,7.95993644592684e-206,1.24162709132066e-218,3.49301976271939e-232,8.57853976207121e-247,1.16159121446247e-262,8.20629408420156e-280,2.93673442040729e-298,5.11782839901114e-318,0,0,0,0
-1.28787878787879,-1.28787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90418432803965e-307,1.64970286939849e-286,3.13882104152993e-267,2.68913614717536e-249,1.03739568280931e-232,1.80202784829688e-217,1.40949652048881e-203,4.96423293834406e-191,7.87276002242782e-180,5.62205272054958e-170,1.80797619243446e-161,2.61960114825514e-154,1.71502514543553e-148,5.15746739412736e-144,7.76400691971957e-141,7.91037831955168e-139,7.66942596130681e-138,2.67669450460963e-137,5.89571751268861e-137,7.44335929329139e-138,9.65726951649063e-140,2.23182387021015e-141,4.17028495399269e-144,3.55815056551669e-148,1.39819420532163e-153,2.61754256299527e-160,2.49891984932892e-168,1.32985373183046e-177,4.12308542989999e-188,7.775006165131e-200,1.55762368337676e-212,5.40505559277482e-226,1.40461822429397e-240,1.97190489756536e-256,1.43686799974323e-273,5.25661481258531e-292,9.28185886838219e-312,0,0,0,0
-1.25757575757576,-1.25757575757576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94065645841247e-323,2.24950663993086e-301,9.5052314307247e-281,1.8085208538273e-261,1.54942213541145e-243,5.97724974099794e-227,1.03828950322707e-211,8.12121431493006e-198,2.86028365462121e-185,4.5361133910391e-174,3.23930194228559e-164,1.04171054517433e-155,1.50930466683447e-148,9.87959302795988e-143,2.96817841077354e-138,4.4469151345674e-135,4.46555066030361e-133,4.25927569319339e-132,1.44058215196527e-131,3.14264046245741e-131,3.96327344841956e-132,5.54711141544613e-134,1.35824398793724e-135,2.54156199472734e-138,2.17317638444893e-142,8.58753678861885e-148,1.62932758859921e-154,1.59739954231032e-162,8.83185665353395e-172,2.85482640609824e-182,5.89744124765505e-194,1.56600020455684e-206,6.4142747960062e-220,1.74902943557983e-234,2.54364585866487e-250,1.90826820389305e-267,7.12064807258398e-286,1.27176179026873e-305,0,0,0,0
-1.22727272727273,-1.22727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04127892133693e-317,9.77141951333165e-296,4.12888774063429e-275,7.85586299128433e-256,6.73038853018604e-238,2.5964010823488e-221,4.51012774247448e-206,3.52769759483824e-192,1.24245157611119e-179,1.97039913510999e-168,1.40708839468749e-158,4.52496196510568e-150,6.5559055021668e-143,4.29066471688742e-137,1.28788378099579e-132,1.9205906790174e-129,1.90129855932416e-127,1.78378877977734e-126,5.84742935342083e-126,1.26310458571807e-125,1.59135728876135e-126,2.41310341760007e-128,6.23274295377836e-130,1.16798749242757e-132,1.00118599260373e-136,3.98178735803144e-142,7.66940802749941e-149,7.73866681096102e-157,4.45003523104294e-166,1.50407070094287e-176,3.51022169595688e-188,1.2510411408896e-200,5.817073700609e-214,1.65600335728608e-228,2.49248263955886e-244,1.9212326302511e-261,7.29625165766927e-280,1.31604113883278e-299,1.10127232458014e-320,0,0,0
