"x"	"y"	"z.1"	"z.2"	"z.3"	"z.4"	"z.5"	"z.6"	"z.7"	"z.8"	"z.9"	"z.10"	"z.11"	"z.12"	"z.13"	"z.14"	"z.15"	"z.16"	"z.17"	"z.18"	"z.19"	"z.20"	"z.21"	"z.22"	"z.23"	"z.24"	"z.25"	"z.26"	"z.27"	"z.28"	"z.29"	"z.30"	"z.31"	"z.32"	"z.33"	"z.34"	"z.35"	"z.36"	"z.37"	"z.38"	"z.39"	"z.40"	"z.41"	"z.42"	"z.43"	"z.44"	"z.45"	"z.46"	"z.47"	"z.48"	"z.49"	"z.50"	"z.51"	"z.52"	"z.53"	"z.54"	"z.55"	"z.56"	"z.57"	"z.58"	"z.59"	"z.60"	"z.61"	"z.62"	"z.63"	"z.64"	"z.65"	"z.66"	"z.67"	"z.68"	"z.69"	"z.70"	"z.71"	"z.72"	"z.73"	"z.74"	"z.75"	"z.76"	"z.77"	"z.78"	"z.79"	"z.80"	"z.81"	"z.82"	"z.83"	"z.84"	"z.85"	"z.86"	"z.87"	"z.88"	"z.89"	"z.90"	"z.91"	"z.92"	"z.93"	"z.94"	"z.95"	"z.96"	"z.97"	"z.98"	"z.99"	"z.100"
-1.5	-1.5	0	3.05191349082613e-177	9.24099977997551e-177	2.15176188949012e-176	4.53356998259248e-176	9.05303533633919e-176	1.74398299598534e-175	3.26597553762406e-175	5.96697988207749e-175	1.06545798424129e-174	1.86120645403532e-174	3.18331136898562e-174	5.33667909249921e-174	8.78862988775664e-174	1.42868926958843e-173	2.31747795357901e-173	3.83730478123453e-173	6.76069047058559e-173	1.34048967345094e-172	3.10902947027917e-172	8.314862846423e-172	2.43191925278227e-171	7.39401678125457e-171	2.26476426968605e-170	6.87912740615645e-170	2.0572733863864e-169	6.03861013462628e-169	1.73733865043735e-168	4.89650215726597e-168	1.35156100920905e-167	3.65332519409707e-167	9.6699508115992e-167	2.50630834029819e-166	6.36084187207991e-166	1.58074571414579e-165	3.84658170103328e-165	9.16541154941322e-165	2.13841345015834e-164	4.88531696113034e-164	1.09283309086263e-163	2.39372134418643e-163	5.13393816302399e-163	1.07816085398223e-162	2.21702682696415e-162	4.46386815724174e-162	8.80041865056313e-162	1.69881229436328e-161	3.2109686025582e-161	5.94256340710777e-161	1.07685488490155e-160	1.91066530123428e-160	3.31936189587206e-160	5.64632170178921e-160	9.40407601041144e-160	1.53357355472271e-159	2.44866588296669e-159	3.82815366928552e-159	5.85979720698811e-159	8.78228819134655e-159	1.28873358641299e-158	1.85160128230405e-158	2.60470875500539e-158	3.58754003634129e-158	4.83792089722194e-158	6.38768855573483e-158	8.25753120250022e-158	1.04514562249896e-157	1.29515595871927e-157	1.57139227422645e-157	1.8666507274109e-157	2.17098117616196e-157	2.47207847484123e-157	2.75600706333096e-157	3.00821570182729e-157	3.21474783192478e-157	3.36351120065445e-157	3.445447448248e-157	3.45544470201533e-157	3.39286539525957e-157	3.26161354373469e-157	3.06973161256239e-157	2.82858485422649e-157	2.55174813403037e-157	2.25374668585089e-157	1.94881238709354e-157	1.64980096599038e-157	1.36737818421856e-157	1.10953322719999e-157	8.81425428612985e-158	6.85525291495458e-158	5.21979084601651e-158	3.89111014692475e-158	2.83977456662002e-158	2.02900565984487e-158	1.41928908046945e-158	9.71954316865186e-159	6.51639547303916e-159	4.27715337440322e-159	2.74844637179918e-159	1.72903596547454e-159
-1.46969696969697	-1.46969696969697	2.79531234419262e-171	5.90489754029332e-171	1.22109327194094e-170	2.47195136307891e-170	4.89875675300038e-170	9.50358043411952e-170	1.80486758182118e-169	3.35554571774872e-169	6.10727969275809e-169	1.08821837496488e-168	1.89848615824499e-168	3.24350966274022e-168	5.42948985129145e-168	8.91569318024207e-168	1.44015149291345e-167	2.30295125887071e-167	3.69744905594158e-167	6.13303916182126e-167	1.1028737851657e-166	2.27167850530179e-166	5.4817655968325e-166	1.50081654221506e-165	4.40757565347161e-165	1.32812106063642e-164	4.00430386178193e-164	1.19347377597003e-163	3.4973944898922e-163	1.0053197158678e-162	2.83176103550156e-162	7.81298114821299e-162	2.11108584097697e-161	5.58586027722878e-161	1.44728609918142e-160	3.67190922022018e-160	9.12219022252617e-160	2.21908412668296e-159	5.28584274121133e-159	1.2328752397256e-158	2.81570471512987e-158	6.29675575550185e-158	1.37881822456243e-157	2.9563527657731e-157	6.20673479762313e-157	1.275928732306e-156	2.56829269828154e-156	5.06192896767456e-156	9.76876238932307e-156	1.84592282734562e-155	3.41536041394381e-155	6.1873836440797e-155	1.09754805254194e-154	1.90627045717305e-154	3.24181660086422e-154	5.39801128553517e-154	8.8007366378098e-154	1.40489096634158e-153	2.19585188169022e-153	3.36046024799345e-153	5.03533368776135e-153	7.38737259979756e-153	1.0611639655445e-152	1.49246522676646e-152	2.05519810592146e-152	2.77095465740662e-152	3.65788403943842e-152	4.72774206534835e-152	5.98273127569304e-152	7.41251641590023e-152	8.99188771739453e-152	1.06795688197713e-151	1.24186051102411e-151	1.41386130369344e-151	1.57599322656338e-151	1.71994320850003e-151	1.83774302862471e-151	1.92249443883854e-151	1.96903650209474e-151	1.97446557174568e-151	1.93843509942472e-151	1.86319223509951e-151	1.75334584681124e-151	1.6153992581406e-151	1.45711356867929e-151	1.286788134815e-151	1.11255048325624e-151	9.41738604371022e-152	7.80437170471005e-152	6.3320075298797e-152	5.02967365472861e-152	3.91139903986557e-152	2.97795015037535e-152	2.21970251547888e-152	1.61980699451628e-152	1.1572362425417e-152	8.09413011934416e-153	5.54251523643978e-153	3.71562049990869e-153	2.43861224070792e-153	1.56689652854723e-153	9.85651311087039e-154
-1.43939393939394	-1.43939393939394	2.22516734849844e-165	4.70050137975064e-165	9.72031254975472e-165	1.96775429783897e-164	3.89956565005708e-164	7.56513424906427e-164	1.43672222419915e-163	2.67107738328648e-163	4.86140363238433e-163	8.66179735729898e-163	1.51094295868868e-162	2.58068557980664e-162	4.31712536702851e-162	7.07819208872391e-162	1.1392298406935e-161	1.80664403230728e-161	2.84687867343263e-161	4.53962274729217e-161	7.58789054104762e-161	1.40250966262393e-160	3.00999115780574e-160	7.52545244637839e-160	2.09437523290484e-159	6.14308824439136e-159	1.829200968108e-158	5.42121780554499e-158	1.58449871882372e-157	4.54864354441028e-157	1.28028646490245e-156	3.53056089392231e-156	9.53572622355112e-156	2.52219431504895e-155	6.5326981404395e-155	1.65685530138134e-154	4.11480348352267e-154	1.00065230874459e-153	2.38278562312447e-153	5.55588050399482e-153	1.26848582636915e-152	2.83584065711827e-152	6.20783549761532e-152	1.33063644612687e-151	2.79278893728104e-151	5.73951143576701e-151	1.1549639911057e-150	2.27571173588072e-150	4.39055981381996e-150	8.29420815567175e-150	1.53419608444463e-149	2.77866522842767e-149	4.92764596292279e-149	8.55636240523437e-149	1.45473445889421e-148	2.42170722360965e-148	3.94731125435017e-148	6.29972221449514e-148	9.84419444788057e-148	1.50617762209157e-147	2.25635739383263e-147	3.30958664446458e-147	4.75304869518697e-147	6.68346842456311e-147	9.20155358109053e-147	1.24036225734646e-146	1.6370523367373e-146	2.11544504947107e-146	2.67648389555306e-146	3.31550566245345e-146	4.02120055492491e-146	4.77508489172179e-146	5.55168047672745e-146	6.31952516877352e-146	7.04303241969284e-146	7.6850878307631e-146	8.21014002987704e-146	8.58743707652016e-146	8.79400198148993e-146	8.81694786295285e-146	8.65480852498013e-146	8.317693461527e-146	7.82624451106984e-146	7.20954388066556e-146	6.50226831688891e-146	5.7414762215253e-146	4.96343947266072e-146	4.20088969309012e-146	3.48095291762329e-146	2.82391943302237e-146	2.24286285236635e-146	1.74400771304546e-146	1.32766461202537e-146	9.89513453439993e-147	7.22017037345033e-147	5.15780243765816e-147	3.60721970242321e-147	2.4698481963969e-147	1.65560552624665e-147	1.08650467494575e-147	6.98061466763838e-148	4.39078625697225e-148
-1.40909090909091	-1.40909090909091	1.3838750532471e-159	2.92333148931761e-159	6.04524313224467e-159	1.22378192725722e-158	2.42520764579858e-158	4.70488085693379e-158	8.93518517857727e-158	1.66117235920219e-157	3.02332174643964e-157	5.38664117741817e-157	9.39568912047132e-157	1.60452533027591e-156	2.68314176415873e-156	4.39530311397005e-156	7.05959453287876e-156	1.11415705893062e-155	1.7363514910412e-155	2.70193864437523e-155	4.29714529366898e-155	7.2858491776738e-155	1.39294282948172e-154	3.11613027308815e-154	8.02446772922039e-154	2.25482108332826e-153	6.57615843197654e-153	1.93059491423971e-152	5.61844771191792e-152	1.60961028542221e-151	4.52567461045159e-151	1.24720489767225e-150	3.36699955233022e-150	8.90218181378648e-150	2.30491058650383e-149	5.84381953544673e-149	1.45082796914464e-148	3.5270138085571e-148	8.39591536848293e-148	1.95702727435887e-147	4.46675584006688e-147	9.9828084408154e-147	2.18462626948114e-146	4.68127495345036e-146	9.82228217054201e-146	2.01799724436363e-145	4.05963755808063e-145	7.99670517834366e-145	1.54237726699699e-144	2.91289219224362e-144	5.38655391987183e-144	9.75324061986193e-144	1.72916605661862e-143	3.00173809806811e-143	5.1021792456233e-143	8.49149041134146e-143	1.38374448948791e-142	2.20785283426967e-142	3.44925292097669e-142	5.27617418702169e-142	7.90225133976895e-142	1.15882711726167e-141	1.66387626856558e-141	2.33914125958516e-141	3.21975923882359e-141	4.33930687653543e-141	5.7259275652903e-141	7.3977280991079e-141	9.35785762544114e-141	1.15898707109034e-140	1.40541113125568e-140	1.66858905910326e-140	1.93961342028635e-140	2.20749309156813e-140	2.45980412383008e-140	2.68359720259484e-140	2.86647673577687e-140	2.99772969626693e-140	3.06936240278012e-140	3.07690601619508e-140	3.01987794176751e-140	2.90183290667719e-140	2.72999619979705e-140	2.51453168854633e-140	2.26754771706784e-140	2.0019759350746e-140	1.73046665059419e-140	1.46442950197136e-140	1.21331473760203e-140	9.84185995922481e-141	7.81589209215672e-141	6.07682287097945e-141	4.62562324382214e-141	3.44713762369979e-141	2.51501586558036e-141	1.79645214780482e-141	1.2562685735291e-141	8.60083031332084e-142	5.76485583479241e-142	3.78290887352747e-142	2.430255066493e-142	1.52850054548794e-142
-1.37878787878788	-1.37878787878788	6.72410798732196e-154	1.420415831032e-153	2.93731717133536e-153	5.9462165042472e-153	1.17837947287935e-152	2.28604248552198e-152	4.34148538799432e-152	8.07138142797363e-152	1.46897433545763e-151	2.61722153689673e-151	4.56492957077349e-151	7.79493310158485e-151	1.30321608195241e-150	2.13374670202443e-150	3.42309771480135e-150	5.38741145732197e-150	8.34202424058187e-150	1.27923464514978e-149	1.97113384738089e-149	3.14256035673199e-149	5.4430637393874e-149	1.08159291711206e-148	2.51667425250319e-148	6.62964665394216e-148	1.86942444280301e-147	5.40170460324469e-147	1.56073115896309e-146	4.45654613989355e-146	1.25101531278912e-145	3.44456119798153e-145	9.29373961126839e-145	2.45613910328274e-144	6.35689182251367e-144	1.61113978503011e-143	3.99856083814851e-143	9.71738869279503e-143	2.31242344657192e-142	5.38833967087063e-142	1.22944982683605e-141	2.74684111862485e-141	6.00927198920461e-141	1.28728435038952e-140	2.70016388790833e-140	5.54584137250187e-140	1.11533439648887e-139	2.1963508029907e-139	4.23502401781203e-139	7.99587847944584e-139	1.47819315517827e-138	2.67577395338213e-138	4.74263183802629e-138	8.23075485274957e-138	1.39864881102444e-137	2.32715301100493e-137	3.7912892553873e-137	6.04773974534067e-137	9.44586917538901e-137	1.44454768028672e-136	2.16302441066736e-136	3.17123924758839e-136	4.55232340612853e-136	6.39841182740452e-136	8.80531157637279e-136	1.1864493549967e-135	1.56525142752669e-135	2.02184537576949e-135	2.55704991649812e-135	3.1663318620313e-135	3.83882354002741e-135	4.55683086575363e-135	5.29601583955265e-135	6.0263704840861e-135	6.71399730003341e-135	7.32358783649038e-135	7.82136687424571e-135	8.17816942196167e-135	8.37226379069391e-135	8.3915415715195e-135	8.23476778828838e-135	7.91171177981543e-135	7.44213953526772e-135	6.85381199937147e-135	6.1797711902515e-135	5.4552826261929e-135	4.71482539137799e-135	3.98948043865358e-135	3.30497612774227e-135	2.68052888035513e-135	2.1284907709816e-135	1.65470710834854e-135	1.25941122954509e-135	9.3844768838694e-136	6.84617016963512e-136	4.88966924298525e-136	3.4190427380108e-136	2.34057162645382e-136	1.56866725615777e-136	1.02927249657727e-136	6.61180021110848e-137	4.15813027937514e-137
-1.34848484848485	-1.34848484848485	2.55256938348998e-148	5.39210044545259e-148	1.11504630825787e-147	2.25726401056333e-147	4.47328282775671e-147	8.67810625745797e-147	1.64808008464762e-146	3.06398563106627e-146	5.57636204269121e-146	9.93511313354846e-146	1.73283219667833e-145	2.95877530845403e-145	4.94609777270647e-145	8.09587723705484e-145	1.29791381732284e-144	2.03945845924007e-144	3.14621802889058e-144	4.78337101544998e-144	7.22990194174227e-144	1.10695707465652e-143	1.77972464330684e-143	3.17099756720099e-143	6.5667608182446e-143	1.58223779862808e-142	4.23379543950882e-142	1.19175437367751e-141	3.40197759073532e-141	9.66099450901169e-141	2.70506734012763e-140	7.43858675654429e-140	2.005500756575e-139	5.29738297340303e-139	1.37047937149364e-138	3.4721558636279e-138	8.61423789835486e-138	2.09273612856773e-137	4.97836584804215e-137	1.15966095786932e-136	2.64511955724576e-136	5.90783239647917e-136	1.29204697553571e-135	2.76690627766269e-135	5.80196796013778e-135	1.1912958849028e-134	2.3951133659362e-134	4.71512571837748e-134	9.08907892692413e-134	1.71555430326769e-133	3.17063054756508e-133	5.73775423613304e-133	1.01669787687785e-132	1.76398173890317e-132	2.99672544108684e-132	4.9848147324568e-132	8.1189295054319e-132	1.29477610976907e-131	2.02178612862589e-131	3.09114117958399e-131	4.62747439586666e-131	6.78280333226922e-131	9.73448328679624e-131	1.36789740426403e-130	1.88204306904519e-130	2.53535906412435e-130	3.34411923893775e-130	4.31871840447647e-130	5.46081383415568e-130	6.76063850058773e-130	8.19491470689844e-130	9.7258165938316e-130	1.13013721369548e-129	1.28575523742287e-129	1.43220779752999e-129	1.56197100544244e-129	1.66785280086542e-129	1.74364841407624e-129	1.78474108724184e-129	1.78856735238527e-129	1.75488169458177e-129	1.68578261177235e-129	1.58549622743211e-129	1.45994848073501e-129	1.31618610707823e-129	1.1617249885864e-129	1.00390921902498e-129	8.4935546453035e-130	7.03537630956904e-130	5.70541026032e-130	4.52988363162578e-130	3.52116824158664e-130	2.67969298063065e-130	1.99655291546446e-130	1.45637478569046e-130	1.04006638007426e-130	7.27182819607031e-131	4.97759886390281e-131	3.33571567272023e-131	2.18851807952465e-131	1.40573155823837e-131	8.83985166776874e-132
-1.31818181818182	-1.31818181818182	7.57054575063022e-143	1.59921606395361e-142	3.30705647299247e-142	6.69469193186055e-142	1.32670423284011e-141	2.57378459802163e-141	4.88792939507108e-141	9.08725005053669e-141	1.65384687341259e-140	2.94655399252265e-140	5.13916089909922e-140	8.77474334736798e-140	1.46674440122401e-139	2.40040142074448e-139	3.84677884764579e-139	6.03906733950054e-139	9.29638261836012e-139	1.40634836137172e-138	2.10150041922799e-138	3.13761708243448e-138	4.79401921162473e-138	7.82499272189078e-138	1.44308912635352e-137	3.11485974248605e-137	7.72481767832255e-137	2.08554574726836e-136	5.83473612565286e-136	1.64179809304407e-135	4.57782531937652e-135	1.25633977163692e-134	3.38364113984667e-134	8.93187045654633e-134	2.30965929204487e-133	5.84926632737373e-133	1.45064213335287e-132	3.52294666732937e-132	8.3778068894856e-132	1.95087290061896e-131	4.44835652568527e-131	9.9320873474821e-131	2.17145300443335e-130	4.64866261228561e-130	9.7447803513049e-130	2.00023604824545e-129	4.02026168954082e-129	7.91206701992199e-129	1.52470844575167e-128	2.87702407904735e-128	5.31567758836539e-128	9.61680456963376e-128	1.70356430213193e-127	2.95488370025221e-127	5.01851119554592e-127	8.34565742346931e-127	1.35892615164313e-126	2.1666027518729e-126	3.38227824040644e-126	5.16992745913166e-126	7.73754358620067e-126	1.13387132001717e-125	1.62691512242713e-125	2.28562483493421e-125	3.14399889575781e-125	4.23443702987459e-125	5.583972890511e-125	7.20980852952412e-125	9.11455473400684e-125	1.12817631144521e-124	1.36724642827824e-124	1.62234584510264e-124	1.88480072626087e-124	2.14393366816412e-124	2.38769976394235e-124	2.60356926733306e-124	2.77957374964333e-124	2.90539728864923e-124	2.97337541765223e-124	2.97926760348463e-124	2.92269504494732e-124	2.80718095365973e-124	2.63978736560735e-124	2.43040054020781e-124	2.19076548419072e-124	1.93340055675682e-124	1.67053087575107e-124	1.41316450942567e-124	1.17040275933622e-124	9.49032813728103e-125	7.53406387844168e-125	5.85569529336403e-125	4.45582055889387e-125	3.31952498367205e-125	2.42115288426394e-125	1.72888271676746e-125	1.20866221540755e-125	8.2725523573771e-126	5.54329978419891e-126	3.6365586102317e-126	2.33563699896113e-126	1.46862798881514e-126
-1.28787878787879	-1.28787878787879	1.75422574911754e-137	3.70565435534721e-137	7.66300041614324e-137	1.55126969252722e-136	3.07418706893513e-136	5.96386520843721e-136	1.13260881081322e-135	2.10565272538677e-135	3.83220295563488e-135	6.8275641161714e-135	1.19080318352264e-134	2.03317311839278e-134	3.39841630566187e-134	5.56115156948643e-134	8.91007652201053e-134	1.39806405767981e-133	2.14950203431255e-133	3.24241068702925e-133	4.81291799282538e-133	7.07805986203689e-133	1.04684293310257e-132	1.60451353271882e-132	2.67772233747646e-132	5.13510238123915e-132	1.15243724605909e-131	2.92141948557625e-131	7.91005848189728e-131	2.19177223500914e-130	6.06878935983607e-130	1.66018151051914e-129	4.46426347755161e-129	1.17741564089961e-128	3.04289755255067e-128	7.70280110100775e-128	1.90958866315643e-127	4.63584544818794e-127	1.10205194403039e-126	2.56538589547911e-126	5.84759832559641e-126	1.30519237918233e-125	2.85260861216445e-125	6.10490917420957e-125	1.27933516994476e-124	2.62516342451704e-124	5.27465385855412e-124	1.03775757942751e-123	1.99922133152516e-123	3.77126899391433e-123	6.96585521761528e-123	1.25985417648365e-122	2.23112344679486e-122	3.86885954435946e-122	6.56896441766326e-122	1.09210390916193e-121	1.77779888036154e-121	2.83368391567884e-121	4.4225095225831e-121	6.75823391518166e-121	1.01121430055052e-120	1.4814847703172e-120	2.12516985405479e-120	2.9849085474877e-120	4.10494933363614e-120	5.52741947726486e-120	7.28741273571946e-120	9.40717237469727e-120	1.18898974384889e-119	1.47139364046719e-119	1.78282985624112e-119	2.11504537329243e-119	2.45672624971881e-119	2.79395666547063e-119	3.11104960998224e-119	3.39169774720011e-119	3.62033589336777e-119	3.78356068927248e-119	3.87142878859653e-119	3.87845908231102e-119	3.80419855804095e-119	3.65327057804939e-119	3.434898427618e-119	3.16197240424876e-119	2.84979164486411e-119	2.5146512553793e-119	2.1724551825331e-119	1.8375159018856e-119	1.52165934854264e-119	1.23369748890313e-119	9.79272852685303e-120	7.61029424284879e-120	5.79029662472555e-120	4.31321158093812e-120	3.14557671071277e-120	2.24594115252607e-120	1.56997982007576e-120	1.07445054184751e-120	7.19903908559383e-121	4.72234251496643e-121	3.03273467825226e-121	1.90679712929022e-121
-1.25757575757576	-1.25757575757576	3.17581061982205e-132	6.70862347751807e-132	1.38728840624628e-131	2.80837187777203e-131	5.56540787055354e-131	1.07967716072494e-130	2.05043209327229e-130	3.81198766927784e-130	6.93764936236784e-130	1.23602798715039e-129	2.1557587333903e-129	3.68069440638511e-129	6.1520735664634e-129	1.00666688643506e-128	1.61267531497272e-128	2.52966166369111e-128	3.88657958900808e-128	5.85302466734888e-128	8.65456972613257e-128	1.26150639619589e-127	1.82903772632206e-127	2.68928328298483e-127	4.16006532949472e-127	7.14769522710245e-127	1.4287919375726e-126	3.31844598676665e-126	8.53827413034665e-126	2.30657199037124e-125	6.31228282154705e-125	1.71763962069345e-124	4.60731427577164e-124	1.21361238430474e-123	3.13412719120006e-123	7.9296501420979e-123	1.96500202440978e-122	4.76857235046346e-122	1.13319935236645e-121	2.63697625934249e-121	6.00873481866293e-121	1.34070752996013e-120	2.92925704448607e-120	6.2668882414573e-120	1.31285327903301e-119	2.69307836538024e-119	5.40940021976489e-119	1.06393552549671e-118	2.04902047415201e-118	3.86403245028502e-118	7.13505574484479e-118	1.29007436630343e-117	2.28397579353687e-117	3.95937106696589e-117	6.72074521781914e-117	1.11702712101749e-116	1.81787320227934e-116	2.89678024904218e-116	4.51978840170276e-116	6.90509616700488e-116	1.03292529196348e-115	1.51291355573302e-115	2.16972056049661e-115	3.04674736785761e-115	4.18900130704496e-115	5.63928988607382e-115	7.43321476489728e-115	9.59324965405967e-115	1.21224413275882e-114	1.49985126550508e-114	1.81693146050638e-114	2.15506137278973e-114	2.50270693723095e-114	2.84569356338682e-114	3.16805404060058e-114	3.45320131079478e-114	3.68531526387276e-114	3.85078623777994e-114	3.93953345993308e-114	3.94602118755904e-114	3.86983018674055e-114	3.71570253011858e-114	3.49305306353234e-114	3.21501752156169e-114	2.8971711008613e-114	2.55609111071741e-114	2.2079471281222e-114	1.86728219128536e-114	1.54610506679015e-114	1.25335660559783e-114	9.94754179525187e-115	7.72967524513606e-115	5.88044232302226e-115	4.37986730104088e-115	3.1938394939585e-115	2.28016034223521e-115	1.5937377942387e-115	1.09060272886298e-115	7.30657052003487e-116	4.79244310402586e-116	3.07748436334426e-116	1.93477021471208e-116
-1.22727272727273	-1.22727272727273	4.49197146547106e-127	9.48888349843779e-127	1.96222029566983e-126	3.97223502016284e-126	7.87184681509913e-126	1.52711894158334e-125	2.90017122637052e-125	5.39174066451913e-125	9.81271108983149e-125	1.74825139700041e-124	3.04911682082849e-124	5.20595753165494e-124	8.70133867675754e-124	1.42375855756727e-123	2.28068553421257e-123	3.57689460675188e-123	5.49333409986141e-123	8.26489419045119e-123	1.21937706478816e-122	1.76822567832406e-122	2.53360752099285e-122	3.62982435254109e-122	5.32925193644923e-122	8.37673721445829e-122	1.49076194558028e-121	3.10562428738899e-121	7.41852331122094e-121	1.92447819883286e-120	5.16494655030256e-120	1.39298540142781e-119	3.72134367275927e-119	9.78338781405426e-119	2.52393720309446e-118	6.38171637481104e-118	1.58066672896025e-117	3.83434198309113e-117	9.1085227131699e-117	2.11881829255176e-116	4.82636376379013e-116	1.07652216702541e-115	2.35125763017153e-115	5.02863598390147e-115	1.0531048483959e-114	2.15954988203044e-114	4.33634550823552e-114	8.52613702123345e-114	1.64152417046488e-113	3.09462139041095e-113	5.71257247922512e-113	1.03256772060437e-112	1.82753885887873e-112	3.16719321733822e-112	5.37453560437812e-112	8.93026485669982e-112	1.45292530473846e-111	2.31460195050145e-111	3.6104549611239e-111	5.51440471180779e-111	8.24678963542082e-111	1.20758928159395e-110	1.73141074203338e-110	2.43066975518428e-110	3.34114452254019e-110	4.49683014591457e-110	5.92595141525244e-110	7.6462507404476e-110	9.65998162566522e-110	1.19492282245863e-109	1.44723042782064e-109	1.71620150300978e-109	1.99264592841693e-109	2.26527937953786e-109	2.52139977414143e-109	2.74782131836475e-109	2.93197769699085e-109	3.06306914606563e-109	3.13310890097007e-109	3.13772831022541e-109	3.0766278120058e-109	2.95360905071904e-109	2.77618335136772e-109	2.55481261811992e-109	2.30188931976326e-109	2.03059368356102e-109	1.75377382355854e-109	1.48297855727007e-109	1.22773798892655e-109	9.95141585367285e-110	7.89716592541296e-110	6.13569454886099e-110	4.66725122493975e-110	3.4758620259736e-110	2.53435082132287e-110	1.80914245571642e-110	1.26438585757415e-110	8.65139921638299e-111	5.79551441018838e-111	3.8009803265883e-111	2.440598586074e-111	1.53424008176969e-111
