"Label","Area","Mean","StdDev","Mode","Min","Max","X","Y","XM","YM","Perim.","BX","BY","Width","Height","Major","Minor","Angle","Circ.","Feret","IntDen","Median","Skew","Kurt","X.Area","RawIntDen","Ch","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity","Counter","Count","File_ID","Channel","X.Pixel","Y.Pixel","X.Pixel.Centered","Y.Pixel.Centered","X.Scaled","Y.Scaled"
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,255,0,255,255,255,778,814.333312988,778.5,814.5,0,778,815,1,1,1.128379167,1.128379167,0,0,0,255,255,NA,NA,100,255,1,778,684,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",778,814.333312988,26.5,66.833312988,0.216326530612245,0.692573191585492
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,242,0,242,242,242,777.666687012,817,777.5,816.5,0,777,817,1,1,1.128379167,1.128379167,0,0,0,242,242,NA,NA,100,242,1,777,682,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",777.666687012,817,26.166687012,69.5,0.213605608261225,0.72020725388601
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,241,0,241,241,241,779,818,779.5,817.5,0,779,818,1,1,1.128379167,1.128379167,0,0,0,241,241,NA,NA,100,241,1,779,681,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",779,818,27.5,70.5,0.224489795918367,0.730569948186529
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,167,0,167,167,167,783.333312988,825.666687012,783.5,825.5,0,783,826,1,1,1.128379167,1.128379167,0,0,0,167,167,NA,NA,100,167,1,783,673,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",783.333312988,825.666687012,31.833312988,78.166687012,0.259863779493877,0.810017481989637
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,203,0,203,203,203,780.333312988,820.333312988,780.5,820.5,0,780,821,1,1,1.128379167,1.128379167,0,0,0,203,203,NA,NA,100,203,1,780,678,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",780.333312988,820.333312988,28.833312988,72.833312988,0.23537398357551,0.754749357388601
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,203,0,203,203,203,780.333312988,820.333312988,780.5,820.5,0,780,821,1,1,1.128379167,1.128379167,0,0,0,203,203,NA,NA,100,203,1,780,678,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",780.333312988,820.333312988,28.833312988,72.833312988,0.23537398357551,0.754749357388601
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,55,0,55,55,55,783.333312988,816,783.5,815.5,0,783,816,1,1,1.128379167,1.128379167,0,0,0,55,55,NA,NA,100,55,1,783,683,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",783.333312988,816,31.833312988,68.5,0.259863779493877,0.709844559585492
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,60,0,60,60,60,784,816,784.5,815.5,0,784,816,1,1,1.128379167,1.128379167,0,0,0,60,60,NA,NA,100,60,1,784,683,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",784,816,32.5,68.5,0.26530612244898,0.709844559585492
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,201,0,201,201,201,785,821,785.5,820.5,0,785,821,1,1,1.128379167,1.128379167,0,0,0,201,201,NA,NA,100,201,1,785,678,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",785,821,33.5,73.5,0.273469387755102,0.761658031088083
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,255,0,255,255,255,785.666687012,821.666687012,785.5,821.5,0,785,822,1,1,1.128379167,1.128379167,0,0,0,255,255,NA,NA,100,255,1,785,677,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",785.666687012,821.666687012,34.166687012,74.166687012,0.278911730710204,0.768566704787565
